scope,policy,window,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
union,control,full,MEASURED,2023-01-03,2026-09-11,896,6.5087580441559476,5.5087580441559476,0.66183013609062291,0.33466426752273981,0.33466426752273981,1.3678521124347196,198,53.689309576837417,50.393981650244449,167674.10304096661,310915.85666800366,0.53194120574922554,45
union,control,bull,MEASURED,2023-01-03,2026-06-30,843,9.3060810226261879,8.3060810226261879,0.8955752935512693,0.30557893804803971,0.30557893804803971,1.6613830964488443,180,51.605180533751962,44.713235160212548,124221.77911800415,232078.61610697248,0.55265512141987549,45
union,control,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.79673430028410064,-0.20326569971589936,-0.69446004078541956,0.33466426752273981,0.33466426752273981,-1.9726979256021406,18,93.921428571428578,5.6807464900318987,43452.323922962467,78837.240561031198,0.34727145643351121,0
union,control,july_august,MEASURED,2026-07-01,2026-08-31,44,0.69940913133369309,-0.30059086866630691,-0.88242991564318873,0.32225234384789503,0.33466426752273981,-4.8901060567560535,18,107.77868852459017,5.6807464900318987,43452.323922962467,78837.240561031198,0.24388756805343367,0
union,control,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.3719549760692424,0.37195497606924244,0.59022791119165174,0.33466426752273981,0.33466426752273981,1.1604611157968452,53,77.743975903614455,11.361584749580807,77408.236750972923,145386.63879910353,0.61179474318149507,20
union,treatment,full,MEASURED,2023-01-03,2026-09-11,896,7.8863304398308136,6.8863304398308136,0.75063230757244326,0.46086551345727411,0.46086551345727411,1.320098891298582,166,45.012249443207132,78.24066521162537,305765.18852064048,574261.84323138185,0.75831669527700518,1
union,treatment,bull,MEASURED,2023-01-03,2026-06-30,843,13.061303254029937,12.061303254029937,1.0890472003249423,0.33400295295996119,0.33400295295996119,1.6807042497909799,138,39.563971742543174,65.028623658592466,185365.06532098967,333303.38409746287,0.76328073937748564,1
union,treatment,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.83893580229706544,-0.16106419770293456,-0.60003001462975214,0.42055092197641941,0.42055092197641941,-0.76750546501553496,33,172.18928571428572,15.465240399980265,149107.2067010084,292149.05438071414,0.64310450571938671,0
union,treatment,july_august,MEASURED,2026-07-01,2026-08-31,44,0.61245377159148828,-0.38754622840851172,-0.94690448571747343,0.41791379334653744,0.42055092197641941,-3.595854212972458,28,167.65573770491804,13.212041553032906,120400.12319965086,240958.45913391892,0.61851004525607356,0
union,treatment,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.4047707984902467,0.40477079849024666,0.64633292417180677,0.46086551345727411,0.46086551345727411,1.1161530940583746,46,67.475903614457835,22.056250272111548,184624.74088299446,361760.77935927641,0.86969346564338368,0
chatgpt_5,control,full,MEASURED,2023-01-03,2026-09-11,896,9.2303360090729889,8.2303360090729889,0.82694963292584678,0.39135611644665103,0.39135611644665103,1.5656785665390112,194,52.604677060133632,41.078764875135207,176656.84661377349,316601.54949423776,0.50102329221272557,59
chatgpt_5,control,bull,MEASURED,2023-01-03,2026-06-30,843,10.498658559824378,9.4986585598243778,0.96225034907060936,0.39135611644665103,0.39135611644665103,1.7009726842390058,192,55.045525902668757,40.096810534869483,162879.91848431883,298455.86679910071,0.53019299009648435,59
chatgpt_5,control,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.81231274823322586,-0.18768725176677414,-0.66197492774060751,0.18957024685058776,0.18957024685058776,-3.6066290004848174,3,15.653571428571428,0.98839647803585229,13882.842109454672,18285.182695137049,0.17367341344662243,0
chatgpt_5,control,july_august,MEASURED,2026-07-01,2026-08-31,44,0.87919194213964369,-0.12080805786035631,-0.5374169768654975,0.12080805786035631,0.18957024685058776,-3.5897125306034789,2,11.975409836065575,0.98195434026571915,13776.928129454673,18145.682695137053,0.044640435710586152,0
chatgpt_5,control,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.1677786245840085,0.1677786245840085,0.25547756891721085,0.18957024685058776,0.26388554494230732,0.73803009517448814,30,44.006024096385545,4.8561943034335826,42055.503826231376,73467.696526329324,0.55622167772747066,13
chatgpt_5,treatment,full,MEASURED,2023-01-03,2026-09-11,896,17.679275554906361,16.679275554906361,1.179014551695905,0.40343180812578361,0.40343180812578361,1.7023829908546846,78,21.150334075723833,40.962341605690852,224483.8570953001,407923.71786475269,0.64424203672788616,0
chatgpt_5,treatment,bull,MEASURED,2023-01-03,2026-06-30,843,25.906896174735721,24.906896174735721,1.5422587810070891,0.40343180812578361,0.40343180812578361,1.9732203854047441,74,21.21546310832025,38.737360132725257,169977.23229117706,318364.29599252058,0.67615055771255994,0
chatgpt_5,treatment,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.7723747219129562,-0.2276252780870438,-0.74016191958994515,0.32100749190343048,0.32100749190343048,-2.3558215570120891,4,20.871428571428574,2.2249814729655957,54506.62480412305,89559.421872232138,0.2792895026538107,0
chatgpt_5,treatment,july_august,MEASURED,2026-07-01,2026-08-31,44,0.6824158106653897,-0.3175841893346103,-0.89853065382766883,0.3175841893346103,0.32100749190343048,-5.1318642635584073,4,23.95081967213115,2.2249814729655957,54506.62480412305,89559.421872232138,0.16468056264768419,0
chatgpt_5,treatment,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.6528863100705744,0.6528863100705744,1.0899386220278577,0.32100749190343048,0.32100749190343048,1.5938222613292412,13,19.069277108433734,7.0665974278141448,104687.64517196125,187926.10141679386,0.71178614491041836,0
joint_optical_leader_removal,control,full,MEASURED,2023-01-03,2026-09-11,896,1.3791126793824653,0.37911267938246529,0.091072494205644672,0.35331033491094144,0.35331033491094144,0.42819974552095613,217,58.841314031180403,58.138335014926838,70027.379840274152,126584.90756616354,0.46184967500255453,54
joint_optical_leader_removal,control,bull,MEASURED,2023-01-03,2026-06-30,843,1.9750586794373197,0.97505867943731972,0.21546215550734726,0.35331033491094144,0.35331033491094144,0.73520869569878278,197,56.479003139717427,52.525849190323349,60887.972230329353,110012.38895609927,0.4776413878445025,54
joint_optical_leader_removal,control,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.74782749550649108,-0.25217250449350892,-0.7804598865298048,0.31153247826094344,0.31153247826094344,-3.308467750831718,25,130.44642857142858,6.2579462207912719,9964.9242593848012,19114.874610063911,0.29184672753756902,2
joint_optical_leader_removal,control,july_august,MEASURED,2026-07-01,2026-08-31,44,0.69826415475177916,-0.30173584524822084,-0.88357767202994919,0.31153247826094344,0.31153247826094344,-5.0255610441323135,20,119.75409836065575,5.6124858246034872,9139.4076099448012,16572.518610064268,0.25376406475848273,0
joint_optical_leader_removal,control,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.1943687393379931,0.19436873933799315,0.29763290757735672,0.31153247826094344,0.31153247826094344,0.87348262663573084,48,70.409638554216869,10.658495605485355,16676.651322953476,31503.21173867703,0.44017172650837649,9
joint_optical_leader_removal,treatment,full,MEASURED,2023-01-03,2026-09-11,896,1.2879119993839903,0.28791199938399026,0.071017417337206235,0.65040328246837842,0.65040328246837842,0.38516584756814543,163,44.198775055679292,81.036363075277563,94438.005661568153,169948.25457899953,0.71104933559476302,3
joint_optical_leader_removal,treatment,bull,MEASURED,2023-01-03,2026-06-30,843,2.2269346924354458,1.2269346924354458,0.25801596275686633,0.65040328246837842,0.65040328246837842,0.74785416125758719,140,40.137362637362635,69.833194509357043,75883.523366763315,132385.20653476531,0.70979512507434939,2
joint_optical_leader_removal,treatment,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.80606378723560368,-0.19393621276439632,-0.67532491645715642,0.3936254875836388,0.3936254875836388,-1.0566809723234054,24,125.22857142857143,11.748574911624445,20400.650450143043,39994.648269905025,0.71172744002461907,1
joint_optical_leader_removal,treatment,july_august,MEASURED,2026-07-01,2026-08-31,44,0.67023451763269737,-0.32976548236730263,-0.90890442122835113,0.3845756704423704,0.3936254875836388,-2.7315303247056524,23,137.71721311475412,11.203168565920524,18554.482294804839,37563.048044234223,0.68083868482012377,1
