scope,policy,window,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
union,current_leader,full,MEASURED,2023-01-03,2026-09-11,896,10.391757415410929,9.3917574154109289,0.88661588672360025,0.44179980543735087,0.44179980543735087,1.4378736561797785,161,43.656458797327396,76.678192704442253,379312.54302328592,724342.49248629063,0.76155025819369881,2
union,current_leader,bull,MEASURED,2023-01-03,2026-06-30,843,16.735827130498151,15.735827130498151,1.2429215109573315,0.33946591463781028,0.33946591463781028,1.7827120189515289,133,38.130494505494504,63.186369458690237,215879.54265101199,393690.64070433134,0.76795498987354049,1
union,current_leader,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.77330084948566291,-0.22669915051433709,-0.73853211330314339,0.3742563132496296,0.3742563132496296,-1.4302975335680028,32,166.97142857142859,15.707512138924843,208933.50330142656,404668.56506776961,0.58861115215047344,1
union,current_leader,july_august,MEASURED,2026-07-01,2026-08-31,44,0.62891288971041692,-0.37108711028958308,-0.93776720290840976,0.3742563132496296,0.3742563132496296,-3.3689922706182349,27,161.66803278688525,12.996289124999437,160867.90852295392,320795.96978196094,0.59174773140002912,1
union,current_leader,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.7051314248368397,0.70513142483683966,1.1875503775998211,0.44179980543735087,0.44179980543735087,1.555700088285505,47,68.942771084337352,21.0389531888177,244244.15637676851,478715.04280858778,0.8583537355301345,1
union,treatment,full,MEASURED,2023-01-03,2026-09-11,896,10.76844874803993,9.7684487480399298,0.90491988765224551,0.44039745893156068,0.44039745893156068,1.4565441685791116,162,43.92761692650334,76.865045976751873,393935.16517837544,752998.08392514102,0.75519662994660597,2
union,treatment,bull,MEASURED,2023-01-03,2026-06-30,843,17.277071606180392,16.277071606180392,1.2634820433442147,0.3430563651537788,0.3430563651537788,1.8012588881558771,134,38.417189952904238,63.337474175222439,224582.95603777151,410222.36665503256,0.761323174837091,1
union,treatment,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.77199572634910307,-0.22800427365089693,-0.74082650628520275,0.37281995861291617,0.37281995861291617,-1.450570197347234,32,166.97142857142859,15.728529390272309,216350.35488115845,419001.60693179711,0.58602349554386524,1
union,treatment,july_august,MEASURED,2026-07-01,2026-08-31,44,0.63021704843660775,-0.36978295156339225,-0.93699048025582221,0.37281995861291617,0.37281995861291617,-3.3618107722487602,27,161.66803278688525,13.026655099667448,166669.05867060393,332466.21727011021,0.58955165581866753,1
union,treatment,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.6974255841648993,0.6974255841648993,1.1730642487337759,0.44039745893156068,0.44039745893156068,1.5476357651679769,47,68.942771084337352,21.094817399606871,253297.35736805538,496451.15323095629,0.85664415929023408,1
chatgpt_5,current_leader,full,MEASURED,2023-01-03,2026-09-11,896,26.38996492023518,25.38996492023518,1.4290401268487329,0.43604406446289934,0.43604406446289934,1.7956426003893677,96,26.031180400890872,50.069999708151329,326862.02416087774,588362.77497957763,0.68806967793359131,2
chatgpt_5,current_leader,bull,MEASURED,2023-01-03,2026-06-30,843,31.910601792605259,30.910601792605259,1.6988038195128192,0.43604406446289934,0.43604406446289934,1.9493028402032819,94,26.949372056514914,49.070423895786355,286766.29281326855,535552.42338112346,0.72895921331660529,2
chatgpt_5,current_leader,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,1.0206941173925117,0.020694117392511702,0.11279721871440507,0.17909413601292823,0.17909413601292823,0.44925288412998277,2,10.435714285714287,0.99957581236496906,40095.731347609217,52810.351598454123,0.17628149889538025,0
chatgpt_5,current_leader,july_august,MEASURED,2026-07-01,2026-08-31,44,0.82699677968312735,-0.17300322031687265,-0.67934559692559171,0.17300322031687265,0.17909413601292823,-3.7787033893897575,2,11.975409836065575,0.99957581236496906,40095.731347609217,52810.351598454123,0.045404877331808889,0
chatgpt_5,current_leader,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.9731938488024061,0.97319384880240611,1.7100350552805388,0.17909413601292823,0.17909413601292823,1.9370774245288238,19,27.870481927710845,9.0458046071954143,162797.302074684,293319.97152232932,0.67160177886984862,0
chatgpt_5,treatment,full,MEASURED,2023-01-03,2026-09-11,896,27.483207350832089,26.483207350832089,1.4559234609906357,0.41198107582315502,0.41198107582315502,1.8141565295428352,96,26.031180400890872,50.093572153667317,338459.42201875965,610027.49922287138,0.68793953264721475,2
chatgpt_5,treatment,bull,MEASURED,2023-01-03,2026-06-30,843,33.232211640063056,32.232211640063056,1.730386377654721,0.41198107582315502,0.41198107582315502,1.9685271312338741,94,26.949372056514914,49.094102960970766,296707.1210420148,555035.26886521641,0.72882111898898094,2
chatgpt_5,treatment,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,1.0207925403589722,0.020792540358972156,0.11335723076509696,0.17912832036596871,0.17912832036596871,0.45026115409561185,2,10.435714285714287,0.99946919269654599,41752.300976744853,54992.230357655018,0.1762644790508763,0
chatgpt_5,treatment,july_august,MEASURED,2026-07-01,2026-08-31,44,0.82700506510074512,-0.17299493489925488,-0.67932636073668462,0.17299493489925488,0.17912832036596871,-3.7789812540014345,2,11.975409836065575,0.99946919269654599,41752.300976744853,54992.230357655018,0.04540040782257912,0
chatgpt_5,treatment,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.9738137542632876,0.97381375426328765,1.7112840291203986,0.17912832036596871,0.17912832036596871,1.9379810330212686,19,27.870481927710845,9.0438200772732902,169451.92872780154,305295.79708809481,0.67148296610933222,0
joint_optical_leader_removal,current_leader,full,MEASURED,2023-01-03,2026-09-11,896,2.4584838559983049,1.4584838559983049,0.27624081838972003,0.6509911316885435,0.6509911316885435,0.74169884171435252,184,49.893095768374167,84.761468197296423,138137.67078678295,251029.26152429284,0.71490880418645053,3
joint_optical_leader_removal,current_leader,bull,MEASURED,2023-01-03,2026-06-30,843,4.8088424904496332,3.8088424904496332,0.56869286532448116,0.6509911316885435,0.6509911316885435,1.1750521219682142,162,46.444662480376763,74.006229723921408,102711.58628277844,181626.26254232458,0.71306219564122741,3
joint_optical_leader_removal,current_leader,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.70261013801973959,-0.29738986198026041,-0.84144581865155543,0.46864812044049498,0.46864812044049498,-1.8745031216029819,22,114.79285714285714,10.755238473375014,35426.084504004502,69402.998981968267,0.73793930839770605,0
joint_optical_leader_removal,current_leader,july_august,MEASURED,2026-07-01,2026-08-31,44,0.59242257604738713,-0.40757742395261287,-0.95649039759374799,0.45282815044230929,0.46864812044049498,-3.5832652433060055,22,131.72950819672133,10.755238473375014,35426.084504004502,69402.998981968267,0.6968181179988634,0
joint_optical_leader_removal,current_leader,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.5414214297808513,0.54142142978085128,0.8864955173636222,0.5035388333532993,0.5035388333532993,1.2751926352742033,52,76.277108433734938,20.221328152018316,58150.648768679901,113933.24414750167,0.88797132213049212,0
joint_optical_leader_removal,treatment,full,MEASURED,2023-01-03,2026-09-11,896,2.4584838559983049,1.4584838559983049,0.27624081838972003,0.6509911316885435,0.6509911316885435,0.74169884171435252,184,49.893095768374167,84.761468197296423,138137.67078678295,251029.26152429284,0.71490880418645053,3
joint_optical_leader_removal,treatment,bull,MEASURED,2023-01-03,2026-06-30,843,4.8088424904496332,3.8088424904496332,0.56869286532448116,0.6509911316885435,0.6509911316885435,1.1750521219682142,162,46.444662480376763,74.006229723921408,102711.58628277844,181626.26254232458,0.71306219564122741,3
joint_optical_leader_removal,treatment,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.70261013801973959,-0.29738986198026041,-0.84144581865155543,0.46864812044049498,0.46864812044049498,-1.8745031216029819,22,114.79285714285714,10.755238473375014,35426.084504004502,69402.998981968267,0.73793930839770605,0
joint_optical_leader_removal,treatment,july_august,MEASURED,2026-07-01,2026-08-31,44,0.59242257604738713,-0.40757742395261287,-0.95649039759374799,0.45282815044230929,0.46864812044049498,-3.5832652433060055,22,131.72950819672133,10.755238473375014,35426.084504004502,69402.998981968267,0.6968181179988634,0
joint_optical_leader_removal,treatment,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.5414214297808513,0.54142142978085128,0.8864955173636222,0.5035388333532993,0.5035388333532993,1.2751926352742033,52,76.277108433734938,20.221328152018316,58150.648768679901,113933.24414750167,0.88797132213049212,0
