scope,policy,window,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
union,decision_paths,full,MEASURED,2023-01-03,2026-09-11,896,4.3104817163427214,3.3104817163427214,0.48613010127964817,0.53443815374479375,0.53443815374479375,1.1142026486054024,751,203.63975501113586,67.042319613510415,135838.07286675985,249970.2275748869,0.61761017652200778,2821
union,decision_paths,bull,MEASURED,2023-01-03,2026-06-30,843,6.1978277834953861,5.1978277834953861,0.68706361550863626,0.53443815374479375,0.53443815374479375,1.4325711535402774,697,199.82672684458399,65.127758667320975,127492.15654330183,233819.58543832149,0.60594540792520113,2336
union,decision_paths,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.72810702526045223,-0.27189297473954777,-0.80903474732277425,0.33158073827482748,0.33158073827482748,-2.0486069741844166,59,307.85357142857146,1.9435526845178186,8494.9607084580311,16499.192136565391,0.80575540548620672,635
union,decision_paths,july_august,MEASURED,2026-07-01,2026-08-31,44,0.69238409828158154,-0.30761590171841846,-0.88932603838868596,0.33158073827482748,0.33158073827482748,-2.7798194536562568,54,323.3360655737705,1.9145609461894419,8345.9163234580319,16150.64213656541,0.77903369033808267,476
union,decision_paths,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.4907126335015108,0.49071263350151084,0.79616371333459113,0.34726232821969805,0.34726232821969805,1.3406219672456947,98,143.75301204819277,6.1983382410240928,22179.128443781141,43179.947510881524,0.90250458588812055,1623
union,incumbent,full,MEASURED,2023-01-03,2026-09-11,896,5.624793276481121,4.624793276481121,0.59734046278848907,0.32071953227003402,0.32071953227003402,1.4351728970883484,202,54.773942093541208,50.81685661872077,137485.89245067883,250145.5218672656,0.4500943139387556,2
union,incumbent,bull,MEASURED,2023-01-03,2026-06-30,843,7.1663188557611406,6.1663188557611406,0.75877185026224292,0.32071953227003402,0.32071953227003402,1.6742679189194838,194,55.618916797488225,49.096161189618932,124489.58406997149,228813.12308990658,0.47199990637135908,2
union,incumbent,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.8296000943510129,-0.1703999056489871,-0.62271551090958588,0.22609289602969129,0.22609289602969129,-2.571994604082013,8,41.742857142857147,1.7206954291018408,12996.308380707347,21332.39877735902,0.21588888414326651,0
union,incumbent,july_august,MEASURED,2026-07-01,2026-08-31,44,0.78489296802070729,-0.21510703197929271,-0.76549292843076844,0.21588422439297672,0.22609289602969129,-5.7274062534868602,8,47.9016393442623,1.7206954291018408,12996.308380707347,21332.39877735902,0.12246782313793925,0
union,incumbent,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.3986691955666295,0.3986691955666295,0.63585425548137908,0.22609289602969129,0.24059792345302289,1.3872165637401359,27,39.605421686746986,7.1574226513244739,37117.099640755783,68172.919267238249,0.49575068420780516,1
union,buy_hold,full,MEASURED,2023-01-03,2026-09-11,896,9.102309123301799,8.102309123301799,0.82004341695566207,0.39879079738928846,0.39879079738928846,1.5625991522648812,32,8.6770601336302899,0.88683408344639536,474.07093974239996,1821.5282399998109,0.94533648200398601,0
union,buy_hold,bull,MEASURED,2023-01-03,2026-06-30,843,12.567154542540663,11.567154542540663,1.0660757049222118,0.39879079738928846,0.39879079738928846,1.9278460774233446,32,9.1742543171114601,0.88683408344639536,474.07093974239996,1821.5282399998109,0.94249007340290691,0
union,buy_hold,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.77178534306764857,-0.22821465693235143,-0.74119482984447771,0.38517880585239428,0.38517880585239428,-1.2986909694837672,0,0,0,0,0,0.99098214404370777,0
union,buy_hold,july_august,MEASURED,2026-07-01,2026-08-31,44,0.72401221433353424,-0.27598778566646576,-0.85538951140308184,0.38517880585239428,0.38517880585239428,-1.9430046406423647,0,0,0,0,0,0.99071179167145196,0
union,buy_hold,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.6982733927795366,0.69827339277953659,1.1746565350167923,0.38517880585239428,0.38517880585239428,1.6532433680954879,0,0,0,0,0,0.98837651571565999,0
chatgpt_5,decision_paths,full,MEASURED,2023-01-03,2026-09-11,896,11.730755705615048,10.730755705615048,0.94964901698928994,0.56932661867286538,0.56932661867286538,1.547959055119281,248,67.24721603563475,56.42492935787255,178011.65048636505,332612.452173875,0.64602432475048344,1042
chatgpt_5,decision_paths,bull,MEASURED,2023-01-03,2026-06-30,843,13.726986784331851,12.726986784331851,1.1190325867070841,0.56932661867286538,0.56932661867286538,1.6866806236630747,244,69.953689167974886,55.434048247873648,160307.05986168902,309293.61936122406,0.6843893083525614,1042
chatgpt_5,decision_paths,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.90663260872167406,-0.09336739127832594,-0.40037077938039456,0.14757685719685032,0.14757685719685032,-1.3057045107955958,9,46.960714285714289,2.214570073733078,32906.005120517693,53073.007811124786,0.17357358877622406,4
chatgpt_5,decision_paths,july_august,MEASURED,2026-07-01,2026-08-31,44,0.85457616372186462,-0.14542383627813538,-0.60974921949859784,0.14542383627813538,0.14757685719685032,-3.8260292721057652,4,23.95081967213115,0.99088110999890577,17704.590624676039,23318.832812650955,0.043127455345997608,0
chatgpt_5,decision_paths,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,2.0902397607061736,1.0902397607061736,1.9490711455530891,0.179954898605865,0.179954898605865,2.3513522863537459,16,23.46987951807229,3.5211056819039253,41587.916634998299,70066.380121123133,0.69496392182624733,371
chatgpt_5,incumbent,full,MEASURED,2023-01-03,2026-09-11,896,10.824786016250098,9.8247860162500977,0.90761710339422952,0.33074123484192319,0.33074123484192319,1.8291212622392257,139,37.690979955456569,37.63808598344847,131124.02927106948,238642.22168344088,0.41998793683975266,0
chatgpt_5,incumbent,bull,MEASURED,2023-01-03,2026-06-30,843,12.674859334295363,11.674859334295363,1.0711367716760338,0.33074123484192319,0.33074123484192319,2.0118520004818321,135,38.703885400313972,36.642303594506132,114703.68876454077,217014.88315210733,0.44413783646273047,0
chatgpt_5,incumbent,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.9543808965625763,-0.045619103437423703,-0.21622587113597158,0.14808319410717463,0.14808319410717463,-0.47401449857937372,4,20.871428571428574,0.99578238894234317,16420.340506528708,21627.338531333571,0.17418845916385378,0
chatgpt_5,incumbent,july_august,MEASURED,2026-07-01,2026-08-31,44,0.85403598815180726,-0.14596401184819274,-0.61122391978896484,0.14596401184819274,0.14808319410717463,-3.825694734453895,4,23.95081967213115,0.99578238894234317,16420.340506528708,21627.338531333571,0.043204437962194669,0
chatgpt_5,incumbent,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.966982972195819,0.96698297219581897,1.6975316146864752,0.14808319410717463,0.14808319410717463,2.4218988733282232,20,29.337349397590362,5.3951162925147678,40761.619362184872,70630.876555274168,0.52544203393884981,0
chatgpt_5,buy_hold,full,MEASURED,2023-01-03,2026-09-11,896,29.062957034788582,28.062957034788582,1.4934259927879689,0.52389470066915012,0.52389470066915012,1.7393530233000127,5,1.3557906458797329,0.98814178338111769,516.52227626999991,1984.6394999998079,0.99724082600483832,0
chatgpt_5,buy_hold,bull,MEASURED,2023-01-03,2026-06-30,843,39.796158989151714,38.796158989151714,1.8751941515179715,0.52389470066915012,0.52389470066915012,1.9944040398217622,5,1.4334772370486657,0.98814178338111769,516.52227626999991,1984.6394999998079,0.99708093580713986,0
chatgpt_5,buy_hold,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.68524325063414127,-0.31475674936585873,-0.86085697431624042,0.40873774998763113,0.40873774998763113,-1.6564595264005573,0,0,0,0,0,0.9997938545356736,0
