scope,policy,window,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
union,observed_admission_completion,full,MEASURED,2023-01-03,2026-09-11,896,7.5197803130688943,6.5197803130688943,0.72818467679025978,0.29645106836512558,0.29645106836512558,1.71190903369007,175,47.452672605790646,40.387281054744477,123510.02277236072,227366.18785675542,0.44584623903956455,5
union,observed_admission_completion,bull,MEASURED,2023-01-03,2026-06-30,843,8.5654251114825595,7.5654251114825595,0.85103601863905376,0.29645106836512558,0.29645106836512558,1.8834000989493092,165,47.304748822605966,38.132373984594821,103146.20800073219,192660.30124418813,0.46809093131944951,5
union,observed_admission_completion,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.86769279603962512,-0.13230720396037488,-0.52312720201879825,0.17360685154747224,0.17360685154747224,-2.4179657959168206,10,52.178571428571431,2.2549070701496579,20363.814771628528,34705.886612567308,0.19785615573577606,0
union,observed_admission_completion,july_august,MEASURED,2026-07-01,2026-08-31,44,0.87792260339630979,-0.12207739660369021,-0.54140153731159213,0.13807369213508458,0.17360685154747224,-3.1201222504271713,10,59.877049180327873,2.2549070701496579,20363.814771628528,34705.886612567308,0.11085397902622483,0
union,observed_admission_completion,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.7772273377652652,0.7772273377652652,1.3245551839040743,0.17360685154747224,0.19274480773236891,2.237801543755634,26,38.138554216867469,5.9748835893706032,40665.515427438215,73475.669386646274,0.51839478390968052,1
union,incumbent,full,MEASURED,2023-01-03,2026-09-11,896,5.624793276481121,4.624793276481121,0.59734046278848907,0.32071953227003402,0.32071953227003402,1.4351728970883484,202,54.773942093541208,50.81685661872077,137485.89245067883,250145.5218672656,0.4500943139387556,2
union,incumbent,bull,MEASURED,2023-01-03,2026-06-30,843,7.1663188557611406,6.1663188557611406,0.75877185026224292,0.32071953227003402,0.32071953227003402,1.6742679189194838,194,55.618916797488225,49.096161189618932,124489.58406997149,228813.12308990658,0.47199990637135908,2
union,incumbent,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.8296000943510129,-0.1703999056489871,-0.62271551090958588,0.22609289602969129,0.22609289602969129,-2.571994604082013,8,41.742857142857147,1.7206954291018408,12996.308380707347,21332.39877735902,0.21588888414326651,0
union,incumbent,july_august,MEASURED,2026-07-01,2026-08-31,44,0.78489296802070729,-0.21510703197929271,-0.76549292843076844,0.21588422439297672,0.22609289602969129,-5.7274062534868602,8,47.9016393442623,1.7206954291018408,12996.308380707347,21332.39877735902,0.12246782313793925,0
union,incumbent,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.3986691955666295,0.3986691955666295,0.63585425548137908,0.22609289602969129,0.24059792345302289,1.3872165637401359,27,39.605421686746986,7.1574226513244739,37117.099640755783,68172.919267238249,0.49575068420780516,1
union,buy_hold,full,MEASURED,2023-01-03,2026-09-11,896,9.102309123301799,8.102309123301799,0.82004341695566207,0.39879079738928846,0.39879079738928846,1.5625991522648812,32,8.6770601336302899,0.88683408344639536,474.07093974239996,1821.5282399998109,0.94533648200398601,0
union,buy_hold,bull,MEASURED,2023-01-03,2026-06-30,843,12.567154542540663,11.567154542540663,1.0660757049222118,0.39879079738928846,0.39879079738928846,1.9278460774233446,32,9.1742543171114601,0.88683408344639536,474.07093974239996,1821.5282399998109,0.94249007340290691,0
union,buy_hold,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.77178534306764857,-0.22821465693235143,-0.74119482984447771,0.38517880585239428,0.38517880585239428,-1.2986909694837672,0,0,0,0,0,0.99098214404370777,0
union,buy_hold,july_august,MEASURED,2026-07-01,2026-08-31,44,0.72401221433353424,-0.27598778566646576,-0.85538951140308184,0.38517880585239428,0.38517880585239428,-1.9430046406423647,0,0,0,0,0,0.99071179167145196,0
