symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sh688041,2023-02-07,2023-02-06,27040.723140286806,493253.16039999994,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-02-17,2023-02-16,27040.723140286806,FULL_EXIT_RETRY,0.054821185774782129
sh688256,2023-02-07,2023-02-06,64710.092494694458,489747.16790999996,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-02-17,2023-02-16,64710.092494694458,FULL_EXIT_RETRY,0.13212958998996421
sz300776,2023-02-20,2023-02-17,-27674.14365547779,540101.56200000003,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-03-06,2023-03-03,-27674.14365547779,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.051238777301439817
sh688072,2023-02-20,2023-02-17,81108.291482957313,549115.28671999986,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-04-06,2023-04-04,81108.291482957313,EXPECTED_RETURN_LEADER_REPLACEMENT,0.14770721821903193
sh688256,2023-03-07,2023-03-06,577005.78610217059,524957.43299999996,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-04-14,2023-04-13,577005.78610217059,FULL_EXIT_RETRY,1.0991477590949181
sh688498,2023-04-07,2023-04-06,-40326.200666479301,630880.24999999988,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-04-26,2023-04-25,-40326.200666479301,FULL_EXIT_RETRY,-0.063920531141178238
sz002281,2023-02-07,2023-02-06,108321.91752425174,488237.75,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-04-27,2023-04-26,108321.91752425174,FULL_EXIT_RETRY,0.22186305242528201
sh688205,2023-05-04,2023-04-28,-47487.971558468533,580252.37269999983,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-05-05,2023-05-04,-47487.971558468533,FULL_EXIT_RETRY,-0.081840202285602043
sh688256,2023-05-04,2023-04-28,-101159.34651914379,582247.1655,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-05-08,2023-05-05,-101159.34651914379,FULL_EXIT_RETRY,-0.17373952594904266
sh688037,2023-02-07,2023-02-06,154705.55148571252,500446.82687999995,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-06-27,2023-06-26,154705.55148571252,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,0.30913484345622344
sh688072,2023-04-17,2023-04-14,-216449.85879983392,1101564.4639999999,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-07-06,2023-07-05,-216449.85879983392,FULL_EXIT_RETRY,-0.19649313850762884
sz002371,2023-07-03,2023-06-30,-36288.936634605634,323302.97999999998,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-07-07,2023-07-06,-36288.936634605634,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.11224436172721215
sh688120,2023-06-29,2023-06-28,-38237.811657068029,331144.81399999995,1,1,FUNDED_EXPECTED_RETURN_ENTRY|WAIT_FOR_OBSERVED_RISING_TREND,2023-07-18,2023-07-17,-38237.811657068029,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.11547157026311768
sh600206,2023-07-10,2023-07-07,-49984.335046851542,592732.1399999999,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-07-21,2023-07-20,-49984.335046851542,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.084328707140550116
sh688535,2023-07-10,2023-07-07,291425.64409744821,587459.80293000001,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-07-21,2023-07-20,291425.64409744821,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,0.49607759142658081
sh688498,2023-07-19,2023-07-18,-64981.249908668455,292762.40993999998,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-07-27,2023-07-26,-64981.249908668455,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.22195899371775904
sz002409,2023-05-09,2023-05-08,-20360.715609907405,1031454.4239999996,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-07-31,2023-07-28,-20360.715609907405,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.019739811218171102
sh601869,2023-10-13,2023-10-12,-19958.123523845628,303375.07199999999,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-10-20,2023-10-19,-19958.123523845628,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.065786959331469497
sh688082,2023-10-13,2023-10-12,-50721.231729031191,655796.26111999992,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-11-23,2023-11-22,-50721.231729031191,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.077342971797989615
