symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sh688256,2023-02-07,2023-02-06,64710.092494694458,489747.16790999996,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-02-17,2023-02-16,64710.092494694458,FULL_EXIT_RETRY,0.13212958998996421
sz300394,2023-02-07,2023-02-06,138666.21411192208,497146.64999999997,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-03-06,2023-03-03,138666.21411192208,FULL_EXIT_RETRY,0.27892416475485066
sh688072,2023-02-20,2023-02-17,85089.066525065689,576065.73023999983,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-04-06,2023-04-04,85089.066525065689,EXPECTED_RETURN_LEADER_REPLACEMENT,0.14770721821903202
sh688256,2023-03-07,2023-03-06,700356.66732338758,637181.54499999993,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-04-14,2023-04-13,700356.66732338758,FULL_EXIT_RETRY,1.0991477590949179
sz300502,2023-04-07,2023-04-06,94369.568208297016,661160.5,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-04-24,2023-04-21,94369.568208297016,FULL_EXIT_RETRY,0.14273322167355282
sh688498,2023-04-25,2023-04-24,-85869.223177035921,740240.60109999997,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-04-26,2023-04-25,-85869.223177035921,FULL_EXIT_RETRY,-0.11600177435476246
sz002281,2023-02-07,2023-02-06,108321.91752425174,488237.75,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-04-27,2023-04-26,108321.91752425174,FULL_EXIT_RETRY,0.22186305242528201
sh688256,2023-05-04,2023-04-28,-107877.78987770813,620916.79649999994,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-05-08,2023-05-05,-107877.78987770813,FULL_EXIT_RETRY,-0.17373952594904257
sh688041,2023-05-04,2023-04-28,-102708.28537575365,623761.63849999988,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-05-11,2023-05-10,-102708.28537575365,FULL_EXIT_RETRY,-0.16465950939647864
sh688072,2023-04-17,2023-04-14,-23144.974887224147,1338112.7759999998,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-06-06,2023-06-05,-23144.974887224147,EXPECTED_RETURN_LEADER_REPLACEMENT,-0.01729672961976424
