symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sz300308,2025-10-24,2025-10-23,-305944.75740889274,5933988.0599999987,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2025-11-24,2025-11-21,-305944.75740889274,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.051558033874590035
sz300394,2024-01-25,2024-01-24,-286130.75812090491,2197847.6519999998,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2024-01-30,2024-01-29,-286130.75812090491,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.13018680246582667
sz300308,2023-07-18,2023-07-17,-152661.07838291675,785176.39199999999,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-07-21,2023-07-20,-152661.07838291675,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.19442902249526212
sh603986,2025-05-12,2025-05-09,-144610.84857521369,1733770.0379999997,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-05-26,2025-05-23,-144610.84857521369,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.083408321406932578
sz300394,2024-10-23,2024-10-22,-124710.02971783187,1199518.3199999998,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-11-19,2024-11-18,-124710.02971783187,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.10396675702112819
sh603986,2024-06-18,2024-06-17,-124593.15653084801,1840498.6599999997,2,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-07-24,2024-07-23,-124593.15653084801,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.067695325858508376
sz300502,2023-12-04,2023-12-01,-119080.49498663261,1899163.2659999998,2,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2024-01-04,2024-01-03,-119080.49498663261,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.062701557637768995
sz300308,2024-04-17,2024-04-16,-117307.70347618451,1971430.4610000001,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2024-04-23,2024-04-22,-117307.70347618451,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.059503850527236279
sh603986,2024-10-15,2024-10-14,-113536.89139235858,3060184.1269999999,3,2,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2024-11-19,2024-11-18,-113536.89139235858,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.037101326809267053
sz300394,2023-07-18,2023-07-17,-110338.71155626304,643743.09999999998,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-07-24,2023-07-21,-110338.71155626304,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.17140177744237264
sh688008,2024-12-20,2024-12-19,-93981.712380849291,2338211.2353599998,2,1,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2025-01-02,2024-12-31,-93981.712380849291,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.040193850307275389
sh603986,2023-08-04,2023-08-03,-84584.738168196753,1089248.1599999999,1,1,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2023-08-07,2023-08-04,-84584.738168196753,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.077654240121182994
sh603986,2024-12-23,2024-12-20,-83483.018926763791,899180.28200000001,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-01-02,2024-12-31,-83483.018926763791,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.09284347154619188
sz300308,2023-11-22,2023-11-21,-76529.202061977237,1521319.7999999998,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2023-11-24,2023-11-23,-76529.202061977237,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.050304480400489925
