date,participation_log,selection_log,execution_log,total_log
2023-01-03,0,0,0,0
2023-01-04,0,0,0,0
2023-01-05,0,0,0,0
2023-01-06,0,0,0,0
2023-01-09,0,0,0,0
2023-01-10,0,0,0,0
2023-01-11,0,0,0,0
2023-01-12,0,0,0,0
2023-01-13,0,0,0,0
2023-01-16,0,0,0,0
2023-01-17,0,0,0,0
2023-01-18,0,0,0,0
2023-01-19,0,0,0,0
2023-01-20,0,0,0,0
2023-01-30,0,0,0,0
2023-01-31,-0,0,0,0
2023-02-01,0,0,0,0
2023-02-02,0,0,0,0
2023-02-03,0,0,0,0
2023-02-06,0,0,0,0
2023-02-07,0,0,0,0
2023-02-08,-0,0,0,0
2023-02-09,0,0,0,0
2023-02-10,0,0,0,0
2023-02-13,0,0,0,0
2023-02-14,-0,0,0,0
2023-02-15,0,0,0,0
2023-02-16,-0,0,0,0
2023-02-17,-0,0,0,0
2023-02-20,0,0,0,0
2023-02-21,-0,0,0,0
2023-02-22,-0,0,0,0
2023-02-23,-0,0,0,0
2023-02-24,0,0,0,0
2023-02-27,-0,0,0,0
2023-02-28,0,0,0,0
2023-03-01,0,0,0,0
2023-03-02,0,0,0,0
2023-03-03,-0,0,0,0
2023-03-06,-0,0,0,0
2023-03-07,-0,0,0,0
2023-03-08,0,0,0,0
2023-03-09,0,0,0,0
2023-03-10,-0,0,0,0
2023-03-13,0,0,0,0
2023-03-14,-0,0,0,0
2023-03-15,-0,0,0,0
2023-03-16,-0,0,0,0
2023-03-17,0,0,0,0
2023-03-20,0,0,0,0
2023-03-21,0,0,0,0
2023-03-22,0,0,0,0
2023-03-23,0,0,0,0
2023-03-24,0,0,0,0
2023-03-27,0,0,0,0
2023-03-28,-0,0,0,0
2023-03-29,0,0,0,0
2023-03-30,-0,0,0,0
2023-03-31,0,0,0,0
2023-04-03,0,0,0,0
2023-04-04,0,0,0,0
2023-04-06,0,0,0,0
2023-04-07,0,0,0,0
2023-04-10,-0,0,0,0
2023-04-11,-0,0,0,0
2023-04-12,0,0,0,0
2023-04-13,-0,0,0,0
2023-04-14,0,0,0,0
2023-04-17,-0,0,0,0
2023-04-18,0,0,0,0
2023-04-19,0,0,0,0
2023-04-20,0,0,0,0
2023-04-21,-0,0,0,0
2023-04-24,0,0,0,0
2023-04-25,-0,0,0,0
2023-04-26,-0,0,0,0
2023-04-27,-0,0,0,0
2023-04-28,0,0,0,0
2023-05-04,-0,0,0,0
2023-05-05,-0,0,0,0
2023-05-08,-0,0,0,0
2023-05-09,0,0,0,0
2023-05-10,-0,0,0,0
2023-05-11,-0,0,0,0
2023-05-12,0,0,0,0
2023-05-15,0,0,0,0
2023-05-16,-0,0,0,0
2023-05-17,0,0,0,0
2023-05-18,0,0,0,0
2023-05-19,-0,0,0,0
2023-05-22,-0,0,0,0
2023-05-23,-0,0,0,0
2023-05-24,0,0,0,0
2023-05-25,0,0,0,0
2023-05-26,-0,0,0,0
2023-05-29,0,0,0,0
2023-05-30,0,0,0,0
2023-05-31,-0,0,0,0
2023-06-01,0,0,0,0
2023-06-02,-0,0,0,0
2023-06-05,0,0,0,0
2023-06-06,-0,0,0,0
2023-06-07,0,0,0,0
2023-06-08,-0,0,0,0
2023-06-09,0,0,0,0
2023-06-12,0,0,0,0
2023-06-13,0,0,0,0
2023-06-14,0,0,0,0
2023-06-15,0,0,0,0
2023-06-16,0,0,0,0
2023-06-19,0,0,0,0
2023-06-20,0,0,0,0
2023-06-21,-0,0,0,0
2023-06-26,-0,0,0,0
2023-06-27,-0,0,0,0
2023-06-28,-0,0,0,0
2023-06-29,0,0,0,0
2023-06-30,-0,0,0,0
2023-07-03,-0,0,0,0
2023-07-04,0,0,0,0
2023-07-05,-0,0,0,0
2023-07-06,0,0,0,0
2023-07-07,0,0,0,0
2023-07-10,0,0,0,0
2023-07-11,0,0,0,0
2023-07-12,-0,0,0,0
2023-07-13,0,0,0,0
2023-07-14,0,0,0,0
2023-07-17,0,0,0,0
2023-07-18,0,0,0,0
2023-07-19,-0,0,0,0
2023-07-20,-0,0,0,0
2023-07-21,-0,0,0,0
2023-07-24,0,0,0,0
2023-07-25,0,0,0,0
2023-07-26,0,0,0,0
2023-07-27,0,0,0,0
2023-07-28,0,0,0,0
2023-07-31,0,0,0,0
2023-08-01,0,0,0,0
2023-08-02,0,0,0,0
2023-08-03,0,0,0,0
2023-08-04,0,0,0,0
2023-08-07,-0,0,0,0
2023-08-08,0,0,0,0
2023-08-09,0,0,0,0
2023-08-10,0,0,0,0
2023-08-11,0,0,0,0
2023-08-14,0,0,0,0
2023-08-15,0,0,0,0
2023-08-16,0,0,0,0
2023-08-17,0,0,0,0
2023-08-18,0,0,0,0
2023-08-21,0,0,0,0
2023-08-22,0,0,0,0
2023-08-23,0,0,0,0
2023-08-24,0,0,0,0
2023-08-25,0,0,0,0
2023-08-28,0,0,0,0
2023-08-29,0,0,0,0
2023-08-30,0,0,0,0
2023-08-31,0,0,0,0
2023-09-01,0,0,0,0
2023-09-04,0,0,0,0
2023-09-05,0,0,0,0
2023-09-06,0,0,0,0
2023-09-07,0,0,0,0
2023-09-08,0,0,0,0
2023-09-11,0,0,0,0
2023-09-12,0,0,0,0
2023-09-13,0,0,0,0
2023-09-14,0,0,0,0
2023-09-15,0,0,0,0
2023-09-18,0,0,0,0
2023-09-19,0,0,0,0
2023-09-20,0,0,0,0
2023-09-21,0,0,0,0
2023-09-22,0,0,0,0
2023-09-25,0,0,0,0
2023-09-26,0,0,0,0
2023-09-27,0,0,0,0
2023-09-28,0,0,0,0
2023-10-09,0,0,0,0
2023-10-10,0,0,0,0
2023-10-11,0,0,0,0
2023-10-12,0,0,0,0
2023-10-13,0,0,0,0
2023-10-16,0,0,0,0
2023-10-17,0,0,0,0
2023-10-18,0,0,0,0
2023-10-19,0,0,0,0
2023-10-20,0,0,0,0
2023-10-23,0,0,0,0
2023-10-24,0,0,0,0
2023-10-25,0,0,0,0
2023-10-26,0,0,0,0
2023-10-27,0,0,0,0
2023-10-30,0,0,0,0
2023-10-31,0,0,0,0
2023-11-01,0,0,0,0
2023-11-02,0,0,0,0
2023-11-03,0,0,0,0
2023-11-06,0,0,0,0
2023-11-07,0,0,0,0
2023-11-08,0,0,0,0
2023-11-09,-0,0,0,0
2023-11-10,-0,0,0,0
2023-11-13,0,0,0,0
2023-11-14,0,0,0,0
2023-11-15,0,0,0,0
2023-11-16,-0,0,0,0
2023-11-17,0,0,0,0
2023-11-20,-0,0,0,0
2023-11-21,0,0,0,0
2023-11-22,-0,0,-0.0031760674724886952,-0.0031760674724886952
2023-11-23,-0.00038390203170627832,0.0063268030885533797,0,0.0059429010568471012
2023-11-24,0.0010007215097756594,-0.0025559247192727427,-0.010151098224586959,-0.011706301434084044
2023-11-27,0.0080453684077829227,0.012056809138633016,0,0.020102177546415939
2023-11-28,-0.0016016818035570499,-0.0016630614884829125,0,-0.0032647432920399622
2023-11-29,-0.0006199369216071662,-0.0034976761907714255,0,-0.0041176131123785917
2023-11-30,0.0085247195300289826,0.0059333629573733952,0,0.014458082487402378
2023-12-01,0.012486674268943567,0.012014546878873586,0,0.024501221147817154
2023-12-04,-0.0037848201660759047,-0.0017926368092214451,0.0005484282955645198,-0.0050290286797328304
2023-12-05,0.00048338599306697741,9.9552266638992744e-05,0,0.00058293825970597013
2023-12-06,-9.3094519051012796e-05,2.2060584282751879e-05,0,-7.103393476826092e-05
2023-12-07,-0.00016508407397899436,0.00068486086819152911,0,0.00051977679421253472
2023-12-08,-0.0005846292353869232,0.00049102947914077938,0.0006528123544804488,0.00055921259823430575
2023-12-11,-0.00023850442131398788,-0.00037067607847252374,0,-0.00060918049978651162
2023-12-12,0.00013975827655692146,-0.00094239468459104427,0,-0.00080263640803412278
2023-12-13,4.9816902405359394e-05,-7.5804243896818214e-06,0,4.2236478015677571e-05
2023-12-14,-0.00019190297640788541,5.8512000348432801e-05,0,-0.0001333909760594526
2023-12-15,0.00027517316742905822,-0.00057047826516547012,0,-0.00029530509773641189
2023-12-18,9.4538580113670258e-06,0.00047175920657446883,0,0.00048121306458583589
2023-12-19,-3.2699209055433683e-05,-2.2385453688821141e-05,0,-5.5084662744254824e-05
2023-12-20,0.00025316448371746854,-0.00066490181739048361,0,-0.00041173733367301513
2023-12-21,-0.00019409321462637662,0.00021058994814413136,0,1.6496733517754741e-05
2023-12-22,0.00023342730151222171,-0.00029480599000568272,0,-6.1378688493460981e-05
2023-12-25,9.6206254714811817e-05,0.00076762511159885751,0,0.0008638313663136693
2023-12-26,0.00028457695978508776,-0.0002983329360852203,-0.00048698714110498575,-0.00050074311740511829
2023-12-27,-9.2520527750906604e-05,-1.9038004673368566e-19,0,-9.2520527750906793e-05
2023-12-28,0.00034597436468236659,1.6592338713572332e-18,0,0.00034597436468236827
2023-12-29,0.00026930379336474324,-1.0197098834743243e-18,0,0.00026930379336474221
2024-01-02,-0.00035747418741407719,-1.09871395971748e-19,0,-0.0003574741874140773
2024-01-03,-0.00039533027804944761,-1.4300504544164446e-18,0,-0.00039533027804944908
2024-01-04,0.0002929689382613768,1.1915195478586923e-18,-0.00026757590306252096,2.5393035198857032e-05
2024-01-05,0,0,0,0
2024-01-08,0,0,0,0
2024-01-09,0,0,0,0
2024-01-10,0,0,0,0
2024-01-11,0,0,0,0
2024-01-12,0,0,0,0
2024-01-15,0,0,0,0
2024-01-16,0,0,0,0
2024-01-17,0,0,0,0
2024-01-18,0,0,0,0
2024-01-19,0,0,0,0
2024-01-22,0,0,0,0
2024-01-23,0,0,0,0
2024-01-24,0,0,0,0
2024-01-25,0,0,-5.7768518457908258e-05,-5.7768518457908258e-05
2024-01-26,9.3684987789359442e-05,4.9608145847731165e-18,-2.951331660080474e-05,6.4171671188557877e-05
2024-01-29,3.0144857702393817e-05,-1.721191945555628e-06,0,2.842366575683819e-05
2024-01-30,8.5617967060074383e-07,-4.1808124909831675e-05,3.8461722020919083e-05,-2.4902232183118475e-06
2024-01-31,0,0,0,0
2024-02-01,0,0,0,0
2024-02-02,0,0,0,0
2024-02-05,0,0,0,0
2024-02-06,0,0,0,0
2024-02-07,0,0,0,0
2024-02-08,0,0,0,0
2024-02-19,0,0,0.00010876416086107524,0.00010876416086107524
2024-02-20,-1.3566612982556514e-05,-1.3943502660997013e-19,0,-1.3566612982556653e-05
2024-02-21,-4.0737810333239325e-05,5.5504311001349195e-19,0,-4.0737810333238769e-05
2024-02-22,4.8526097265424685e-06,-2.9494564110044518e-19,-1.1588341510579305e-05,-6.7357317840369135e-06
2024-02-23,-5.6224203277828254e-05,2.7247469615324863e-06,0,-5.3499456316295768e-05
2024-02-26,4.6532346010129785e-06,-3.6503675909952148e-06,0,1.0028670100177637e-06
2024-02-27,0.00013200503900437764,9.2924311876589932e-06,0,0.00014129747019203664
2024-02-28,-9.9508390132390189e-05,3.649496495714372e-06,0,-9.5858893636675824e-05
2024-02-29,8.1153093239584741e-05,1.6292485608421065e-05,0,9.7445578848005809e-05
2024-03-01,3.2425133129088498e-05,-9.6168614187077111e-06,0,2.2808271710380787e-05
2024-03-04,4.255741321267828e-05,2.2693292296979387e-06,0,4.4826742442376222e-05
2024-03-05,-1.0999144189754415e-05,-2.0444755412133281e-05,0,-3.1443899601887697e-05
2024-03-06,-8.8771796627591232e-06,3.3005386226915492e-06,0,-5.5766410400675745e-06
2024-03-07,-2.5144846837099849e-05,3.3157849486920001e-07,0,-2.4813268342230646e-05
2024-03-08,9.1221571703310682e-05,2.3852664773907974e-06,0,9.3606838180701479e-05
2024-03-11,-3.6736386239442016e-05,-1.2623410002856486e-06,0,-3.7998727239727664e-05
2024-03-12,-4.5296625863683973e-05,6.5848389440773873e-07,0,-4.4638141969276235e-05
2024-03-13,1.2447997104628661e-05,5.8037153604725214e-06,0,1.8251712465101183e-05
2024-03-14,6.2512665159889178e-05,1.3437141939073635e-05,0,7.5949807098962818e-05
2024-03-15,7.1183534058902949e-05,5.382169030156909e-06,0,7.6565703089059856e-05
2024-03-18,3.4061871324478428e-05,7.6113108870980107e-06,0,4.167318221157644e-05
2024-03-19,-2.2646405900521273e-05,1.2670938123495218e-05,0,-9.9754677770260564e-06
2024-03-20,-2.0987393040394824e-05,8.7826390461995855e-06,0,-1.2204753994195239e-05
2024-03-21,-1.2018282577727543e-05,-8.2330824497352987e-07,0,-1.2841590822701074e-05
2024-03-22,3.0748227562965155e-06,1.5319543890614141e-06,0,4.60677714535793e-06
