symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sh603986,2025-10-29,2025-10-28,-531280.06596160308,3287852.5679999995,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2025-11-17,2025-11-14,-531280.06596160308,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.16158877412340319
sz300394,2024-01-25,2024-01-24,-296126.59246574063,2274628.3560000001,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2024-01-30,2024-01-29,-296126.59246574063,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.13018680246582692
sz300394,2024-10-28,2024-10-25,-207355.52068125037,1418306.8899999997,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-11-19,2024-11-18,-207355.52068125037,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.14619933255859063
sh603986,2025-05-12,2025-05-09,-155089.89557341719,1859405.5479999997,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-05-26,2025-05-23,-155089.89557341719,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.08340832140693237
sz300308,2023-07-18,2023-07-17,-152661.07838291675,785176.39199999999,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-07-21,2023-07-20,-152661.07838291675,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.19442902249526212
sh603986,2024-06-18,2024-06-17,-129699.61053690733,1916364.4499999997,2,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-07-24,2024-07-23,-129699.61053690733,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.06768003368926373
sz300308,2024-04-17,2024-04-16,-122320.85319738882,2055679.6259999997,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2024-04-23,2024-04-22,-122320.85319738882,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.05950385052723621
sz300394,2023-07-18,2023-07-17,-110338.71155626304,643743.09999999998,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-07-24,2023-07-21,-110338.71155626304,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.17140177744237264
sh603986,2023-08-04,2023-08-03,-84584.738168196753,1089248.1599999999,1,1,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2023-08-07,2023-08-04,-84584.738168196753,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.077654240121182994
sh688008,2023-07-11,2023-07-10,-65094.842491440475,2597353.7389799994,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2023-07-13,2023-07-12,-65094.842491440475,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.025061985787505292
sz300308,2024-01-26,2024-01-25,-62886.461018308939,472431.95999999996,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-01-30,2024-01-29,-62886.461018308939,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.13311220735004664
sh603986,2023-11-08,2023-11-07,-62534.166473670164,960990.03000000003,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-11-21,2023-11-20,-62534.166473670164,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.065072648541078165
sz300502,2025-12-18,2025-12-17,-3852296.7848164788,3851295.4479999989,1,0,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,OPEN,,-60687.46411129646,,-0.015757675548577252
sh688008,2024-12-24,2024-12-23,-57956.457633398706,1200060.6918300001,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-01-02,2024-12-31,-57956.457633398706,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.048294605454512113
sz300308,2024-05-06,2024-04-30,-51673.176075916621,497096.59999999992,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-05-16,2024-05-15,-51673.176075916621,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.10394996883084018
