date,participation_log,selection_log,execution_log,total_log
2023-01-03,0,0,0,0
2023-01-04,0,0,0,0
2023-01-05,0,0,0,0
2023-01-06,0,0,0,0
2023-01-09,0,0,0,0
2023-01-10,0,0,0,0
2023-01-11,0,0,0,0
2023-01-12,0,0,0,0
2023-01-13,0,0,0,0
2023-01-16,0,0,0,0
2023-01-17,0,0,0,0
2023-01-18,0,0,0,0
2023-01-19,0,0,0,0
2023-01-20,-0,0,0,0
2023-01-30,-0,0,0,0
2023-01-31,-0,0,0,0
2023-02-01,0,0,0,0
2023-02-02,0,0,0,0
2023-02-03,-0,0,0,0
2023-02-06,-0,0,0,0
2023-02-07,-0,0,0,0
2023-02-08,-0,0,0,0
2023-02-09,0,0,0,0
2023-02-10,-0,0,0,0
2023-02-13,0,0,0,0
2023-02-14,-0,0,0,0
2023-02-15,0,0,0,0
2023-02-16,-0,0,0,0
2023-02-17,-0,0,0,0
2023-02-20,0,0,0,0
2023-02-21,0,0,0,0
2023-02-22,-0,0,0,0
2023-02-23,0,0,0,0
2023-02-24,0,0,0,0
2023-02-27,-0,0,0,0
2023-02-28,0,0,0,0
2023-03-01,0,0,0,0
2023-03-02,0,0,0,0
2023-03-03,0,0,0,0
2023-03-06,0,0,0,0
2023-03-07,-0,0,0,0
2023-03-08,0,0,0,0
2023-03-09,0,0,0,0
2023-03-10,0,0,0,0
2023-03-13,0,0,0,0
2023-03-14,0,0,0,0
2023-03-15,-0,0,0,0
2023-03-16,-0,0,0,0
2023-03-17,0,0,0,0
2023-03-20,0,0,0,0
2023-03-21,0,0,0,0
2023-03-22,0,0,0,0
2023-03-23,0,0,0,0
2023-03-24,0,0,0,0
2023-03-27,0,0,0,0
2023-03-28,-0,0,0,0
2023-03-29,0,0,0,0
2023-03-30,0,0,0,0
2023-03-31,0,0,0,0
2023-04-03,0,0,0,0
2023-04-04,0,0,0,0
2023-04-06,-0,0,0,0
2023-04-07,0,0,0,0
2023-04-10,-0,0,0,0
2023-04-11,-0,0,0,0
2023-04-12,0,0,0,0
2023-04-13,-0,0,0,0
2023-04-14,0,0,0,0
2023-04-17,0,0,0,0
2023-04-18,-0,0,0,0
2023-04-19,0,0,0,0
2023-04-20,0,0,0,0
2023-04-21,-0,0,0,0
2023-04-24,-0,0,0,0
2023-04-25,0,0,0,0
2023-04-26,-0,0,0,0
2023-04-27,-0,0,0,0
2023-04-28,0,0,0,0
2023-05-04,-0,0,0,0
2023-05-05,-0,0,0,0
2023-05-08,-0,0,0,0
2023-05-09,0,0,0,0
2023-05-10,-0,0,0,0
2023-05-11,-0,0,0,0
2023-05-12,-0,0,0,0
2023-05-15,0,0,0,0
2023-05-16,0,0,0,0
2023-05-17,0,0,0,0
2023-05-18,0,0,0,0
2023-05-19,-0,0,0,0
2023-05-22,-0,0,0,0
2023-05-23,-0,0,0,0
2023-05-24,0,0,0,0
2023-05-25,0,0,0,0
2023-05-26,0,0,0,0
2023-05-29,0,0,0,0
2023-05-30,-0,0,0,0
2023-05-31,-0,0,0,0
2023-06-01,-0,0,0,0
2023-06-02,0,0,0,0
2023-06-05,0,0,0,0
2023-06-06,-0,0,0,0
2023-06-07,-0,0,0,0
2023-06-08,-0,0,0,0
2023-06-09,0,0,0,0
2023-06-12,-0,0,0,0
2023-06-13,0,0,0,0
2023-06-14,0,0,0,0
2023-06-15,-0,0,0,0
2023-06-16,0,0,0,0
2023-06-19,-0,0,0,0
2023-06-20,-0,0,0,0
2023-06-21,-0,0,0,0
2023-06-26,0,0,0,0
2023-06-27,0,0,0,0
2023-06-28,0,0,0,0
2023-06-29,0,0,0,0
2023-06-30,0,0,0,0
2023-07-03,0,0,0,0
2023-07-04,0,0,0,0
2023-07-05,0,0,0,0
2023-07-06,0,0,0,0
2023-07-07,0,0,0,0
2023-07-10,0,0,0,0
2023-07-11,0,0,0,0
2023-07-12,0,0,0,0
2023-07-13,0,0,0,0
2023-07-14,0,0,0,0
2023-07-17,0,0,0,0
2023-07-18,0,0,0,0
2023-07-19,0,0,0,0
2023-07-20,0,0,0,0
2023-07-21,0,0,0,0
2023-07-24,0,0,0,0
2023-07-25,0,0,0,0
2023-07-26,0,0,0,0
2023-07-27,0,0,0,0
2023-07-28,0,0,0,0
2023-07-31,0,0,0,0
2023-08-01,0,0,0,0
2023-08-02,0,0,0,0
2023-08-03,0,0,0,0
2023-08-04,0,0,0,0
2023-08-07,0,0,0,0
2023-08-08,0,0,0,0
2023-08-09,0,0,0,0
2023-08-10,0,0,0,0
2023-08-11,0,0,0,0
2023-08-14,0,0,0,0
2023-08-15,0,0,0,0
2023-08-16,0,0,0,0
2023-08-17,0,0,0,0
2023-08-18,0,0,0,0
2023-08-21,0,0,0,0
2023-08-22,0,0,0,0
2023-08-23,0,0,0,0
2023-08-24,0,0,0,0
2023-08-25,0,0,0,0
2023-08-28,0,0,0,0
2023-08-29,0,0,0,0
2023-08-30,0,0,0,0
2023-08-31,0,0,0,0
2023-09-01,0,0,0,0
2023-09-04,0,0,0,0
2023-09-05,-0,0,0,0
2023-09-06,0,0,0,0
2023-09-07,-0,0,0,0
2023-09-08,-0,0,0,0
2023-09-11,0,0,0,0
2023-09-12,-0,0,0,0
2023-09-13,0,0,0,0
2023-09-14,-0,0,0,0
2023-09-15,0,0,0,0
2023-09-18,-0,0,0,0
2023-09-19,-0,0,0,0
2023-09-20,-0,0,0,0
2023-09-21,0,0,0,0
2023-09-22,0,0,0,0
2023-09-25,-0,0,0,0
2023-09-26,-0,0,0,0
2023-09-27,-0,0,0,0
2023-09-28,0,0,0,0
2023-10-09,-0,0,0,0
2023-10-10,-0,0,0,0
2023-10-11,0,0,0,0
2023-10-12,0,0,0,0
2023-10-13,-0,0,0,0
2023-10-16,-0,0,0,0
2023-10-17,0,0,-0.023727022024580911,-0.023727022024580911
2023-10-18,0.0090911567876508174,0.00070496249617290501,0,0.0097961192838237222
2023-10-19,-0.00012453529167356375,0.0028208903138611111,0,0.002696355022187547
2023-10-20,0.01582436468888632,-0.0096442647752290715,0,0.0061800999136572485
2023-10-23,0.0027131900857457932,0.0035388884788835197,0.00084085890208280894,0.0070929374667121218
2023-10-24,-0.032008248756714257,0.0011677991116498254,-0.018574694381179417,-0.049415144026243848
2023-10-25,6.9015486004145947e-05,0.034944183522804699,0,0.035013199008808844
2023-10-26,-5.0917823213788429e-06,-0.0028263159881516749,0,-0.002831407770473054
2023-10-27,6.4080917698553514e-06,-0.0078698693109994257,0,-0.0078634612192295707
2023-10-30,9.9643556624665693e-05,0.015227567482142244,0,0.01532721103876691
2023-10-31,1.7830510601181819e-05,-0.010845716635787785,0,-0.010827886125186603
2023-11-01,1.5319118645664543e-06,0.031332273144409249,0,0.031333805056273818
2023-11-02,-5.0739354906262849e-05,0.003044884859089146,0,0.0029941455041828831
2023-11-03,6.6543646182165342e-05,0.020509658718352093,0,0.020576202364534259
2023-11-06,-2.7238603534421989e-05,0.0015266568032689519,0,0.0014994181997345299
2023-11-07,9.8144015640322243e-06,0.010295840676164762,0,0.010305655077728794
2023-11-08,6.5558816244514915e-05,-0.014913452074405123,0,-0.014847893258160608
2023-11-09,-0.00010169280027031166,-0.018565601142124449,0,-0.018667293942394761
2023-11-10,4.4646088365331367e-07,-0.005403997770624001,0,-0.0054035513097403474
2023-11-13,3.9641659532258934e-05,-0.002250681124353541,0,-0.0022110394648212819
2023-11-14,5.8698694463653588e-05,0.019407425930119803,0,0.019466124624583456
2023-11-15,-5.8029236532282933e-05,0.010230225806713537,0,0.010172196570181254
2023-11-16,-7.2570784113760986e-05,-0.0015947011520273287,0,-0.0016672719361410897
2023-11-17,2.9294396857067729e-06,-0.0096721838631728067,0.00019903814523659281,-0.009470216278250506
2023-11-20,0.00045969030286023799,0.025195222295804544,-0.039877260963110117,-0.014222348364445334
2023-11-21,-8.7934282575517946e-05,0.056402920808347225,0,0.056314986525771708
2023-11-22,-2.9518523275754217e-05,-0.0031547218491417136,-0.0055952354435565618,-0.0087794758159740298
2023-11-23,-0.00014036154233391682,0.026749527653970324,0.00020105756796004229,0.02681022367959645
2023-11-24,-0.0090347161122386888,0.01400726367153389,-0.013118310071563832,-0.0081457625122686311
2023-11-27,0.016025420833148341,0.010826288969832681,0.0047044944819390373,0.031556204284920057
2023-11-28,0.019801298737090654,0.00047742664940681259,0.00012064457039116547,0.020399369956888635
2023-11-29,0.00031352990692341544,0.0013276215954229893,-0.00043685648639067774,0.0012042950159557269
2023-11-30,0.010080670049143613,0.0076523051345627618,0,0.017732975183706375
2023-12-01,0.0051263477516503113,-0.0032436167057430594,0,0.0018827310459072514
2023-12-04,0.0020554923154364633,0.00080347293101329777,0,0.002858965246449761
2023-12-05,-0.0062431041072029143,0.0052028845007122664,0,-0.0010402196064906478
2023-12-06,0.015072378695103313,0.0069677646083725446,0,0.022040143303475857
2023-12-07,-0.017212998858660462,-0.0053709400843704449,0,-0.022583938943030905
2023-12-08,0.038708080790073887,0.0038331381591157356,0,0.042541218949189621
2023-12-11,0.018339809292772839,0.012883017043776902,0,0.031222826336549742
2023-12-12,-0.0054323035425229938,0.0019625817478250095,0,-0.0034697217946979839
2023-12-13,-0.016227898431868237,-0.0056717742058715794,0,-0.021899672637739814
2023-12-14,-0.0046730464289562006,0.0031190214799832494,0,-0.0015540249489729516
2023-12-15,-0.013704464278148991,-0.0022937337253097286,-0.0025158501678631518,-0.018514048171321872
2023-12-18,0.0050451197429349894,-0.00092637363579012181,0,0.0041187461071448671
2023-12-19,0.0077212915364997239,-0.00018156902734413639,0,0.0075397225091555879
2023-12-20,-0.01558748768331783,0.00020666842806376772,0.0073645444764824592,-0.0080162747787716031
2023-12-21,0.0087228764437196713,0.005104797092303901,0,0.013827673536023573
2023-12-22,-0.0070406218150647999,-0.00092290114487925752,0,-0.0079635229599440572
2023-12-25,-0.010929778464004997,-0.00072382732564386519,0,-0.011653605789648861
2023-12-26,-0.0073934027118768642,0.0012814574216072955,-0.0046223701470944059,-0.010734315437363974
2023-12-27,-0.0036825530334455596,0,0.0045717989121200984,0.00088924587867453915
2023-12-28,0,0,0,0
2023-12-29,0,0,0,0
2024-01-02,0,0,0,0
2024-01-03,0,0,0,0
2024-01-04,0,0,0,0
2024-01-05,0,0,0,0
2024-01-08,0,0,0,0
2024-01-09,0,0,0,0
2024-01-10,0,0,0,0
2024-01-11,0,0,0,0
2024-01-12,0,0,0,0
2024-01-15,0,0,0,0
2024-01-16,0,0,0,0
2024-01-17,0,0,0,0
2024-01-18,0,0,0,0
2024-01-19,0,0,0,0
2024-01-22,0,0,0,0
2024-01-23,0,0,0,0
2024-01-24,0,0,0,0
2024-01-25,0,0,0,0
2024-01-26,0,0,0,0
2024-01-29,0,0,0,0
2024-01-30,0,0,0,0
2024-01-31,0,0,0,0
2024-02-01,0,0,0,0
2024-02-02,0,0,0,0
2024-02-05,0,0,0,0
2024-02-06,0,0,0,0
2024-02-07,0,0,0,0
2024-02-08,0,0,0,0
2024-02-19,0,0,0,0
2024-02-20,0,0,0,0
2024-02-21,0,0,0,0
2024-02-22,0,0,3.1090359846746261e-05,3.1090359846746261e-05
2024-02-23,-4.863187198236258e-05,2.3869867484503239e-05,0,-2.4762004497859338e-05
2024-02-26,-1.4987938194824181e-05,-4.1917284647569552e-05,0,-5.6905222842393733e-05
2024-02-27,0.0002371118968296396,-6.522837468387085e-05,0,0.00017188352214576874
2024-02-28,-0.00018054513632460175,5.9489564549373747e-05,0.00013189491553222519,1.0839343756997161e-05
2024-02-29,8.0508471159587456e-05,0.00025901753777803028,0,0.00033952600893761772
2024-03-01,5.4271199790466332e-05,3.1424756513706763e-06,6.7061149018465374e-05,0.00012447482446030153
2024-03-04,-4.0889835924897141e-05,8.3713457717945607e-05,0,4.2823621793048466e-05
2024-03-05,-7.7964934655833822e-06,-2.2995025216048182e-05,0,-3.0791518681631564e-05
2024-03-06,-6.604805408755353e-05,0.00012905046684887295,0,6.3002412761319418e-05
2024-03-07,-0.00012359054452228829,0.00025924337164323641,0,0.00013565282712094812
2024-03-08,0.00014095697355116446,0.00011255081637134841,0,0.00025350778992251286
2024-03-11,6.837491072760541e-05,-7.3217482176728314e-05,-2.9594410304128376e-05,-3.4436981753250412e-05
2024-03-12,-0.00010334477798498918,0.00013261896377613481,0,2.9274185791145629e-05
2024-03-13,-4.3933435990173314e-05,-7.4617963609481861e-05,0,-0.00011855139959965517
