symbol,control,treatment,difference
sh601869,1568167.9841946464,33857.064224222435,-1534310.9199704239
sh688498,594894.50552024134,-18849.690492634225,-613744.19601287553
sz002281,-33793.259340812154,-229675.33620254468,-195882.07686173252
sh688120,-2133.7682434427716,-168022.05965193384,-165888.29140849106
sh603986,-136046.94914617733,-281270.92417216196,-145223.97502598463
sh688037,-158636.22321992877,-282514.67198624829,-123878.44876631952
sh688256,1368695.9059632279,1292022.5948358311,-76673.311127396766
sz300604,-69140.977880078513,-121287.87420445541,-52146.896324376896
sh688019,9794.7346435770269,-26865.913192621156,-36660.647836198186
sh688082,-103346.85457659992,-137467.48967933015,-34120.63510273023
sh688409,-115389.99584996808,-146107.46570165336,-30717.46985168528
sh688012,-2028.3968013685289,-26175.205785001574,-24146.808983633044
sz002409,-28267.161591378877,-33301.039682994306,-5033.8780916154283
sh688361,-49472.05740311266,-52188.12992394466,-2716.072520832
sh688072,-11879.663399434763,-11879.663399434763,0
sh688268,-41189.64273598187,-40682.440614804626,507.20212117724441
sh600206,-26694.329634943173,0,26694.329634943173
sz300223,-76743.776990911749,-46123.27985970585,30620.497131205899
sz300054,-49396.970181239951,3305.7854149225859,52702.755596162533
sh688249,-59528.447808160461,0,59528.447808160461
sz002371,105272.1430493118,207887.111324881,102614.9682755692
sh688008,-111964.47002564734,16908.890360221365,128873.36038586871
sh688205,221457.55645244027,358574.17285753961,137116.61640509934
sh688300,-55505.152918503736,85015.3631606657,140520.51607916944
sh688535,-153713.8247395631,0,153713.8247395631
sh688041,200466.6386195595,503279.93292701448,302813.29430745495
sh688347,-67467.300154531185,1052605.0878470819,1120072.3880016131
