symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sh688037,2025-03-25,2025-03-24,-184283.29481063283,1487281.2354399997,1,2,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2025-04-08,2025-04-07,-184283.29481063283,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.12390615199022137
sz002281,2025-01-20,2025-01-17,-183890.92032144405,1948250.3039999995,2,1,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-02-06,2025-02-05,-183890.92032144405,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.094387728283112898
sh603986,2024-07-12,2024-07-11,-170637.77013722504,1850643.7949999999,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-07-24,2024-07-23,-170637.77013722504,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.092204545573949873
sh688120,2025-09-02,2025-09-01,-168022.05965193384,1670466.2374400001,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-09-05,2025-09-04,-168022.05965193384,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.1005839303339819
sh688256,2025-03-17,2025-03-14,-150275.15213182941,1452349.4785799999,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2025-03-24,2025-03-21,-150275.15213182941,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.10347037978679716
sh688409,2025-03-19,2025-03-18,-128084.77190051717,951221.2509799999,2,2,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-04-07,2025-04-03,-128084.77190051717,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.13465297560221376
sh688082,2023-09-04,2023-09-01,-103346.85457660002,1451045.5959999999,2,2,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2023-09-20,2023-09-19,-103346.85457660002,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.071222334337039006
sh688041,2024-02-22,2024-02-21,-98713.36680416693,1238753.7161999997,2,1,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-03-22,2024-03-21,-98713.36680416693,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.079687645343240632
sh688256,2025-01-16,2025-01-15,-82353.798320757924,501364.86399999988,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-01-17,2025-01-16,-82353.798320757924,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.16425921366671187
sh688300,2025-10-29,2025-10-28,-77730.469127534307,621068.94849999994,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-11-14,2025-11-13,-77730.469127534307,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.12515594172799691
