date,participation_log,selection_log,execution_log,total_log
2023-01-03,0,0,0,0
2023-01-04,0,0,0,0
2023-01-05,0,0,0,0
2023-01-06,0,0,0,0
2023-01-09,0,0,0,0
2023-01-10,0,0,0,0
2023-01-11,0,0,0,0
2023-01-12,0,0,0,0
2023-01-13,0,0,0,0
2023-01-16,0,0,0,0
2023-01-17,0,0,0,0
2023-01-18,0,0,0,0
2023-01-19,0,0,0,0
2023-01-20,-0,0,0,0
2023-01-30,-0,0,0,0
2023-01-31,-0,0,0,0
2023-02-01,0,0,0,0
2023-02-02,0,0,0,0
2023-02-03,-0,0,0,0
2023-02-06,-0,0,0,0
2023-02-07,-0,0,0,0
2023-02-08,-0,0,0,0
2023-02-09,0,0,0,0
2023-02-10,-0,0,0,0
2023-02-13,0,0,0,0
2023-02-14,-0,0,0,0
2023-02-15,0,0,0,0
2023-02-16,-0,0,0,0
2023-02-17,-0,0,0,0
2023-02-20,0,0,0,0
2023-02-21,0,0,0,0
2023-02-22,-0,0,0,0
2023-02-23,0,0,0,0
2023-02-24,0,0,0,0
2023-02-27,-0,0,0,0
2023-02-28,0,0,0,0
2023-03-01,0,0,0,0
2023-03-02,0,0,0,0
2023-03-03,0,0,0,0
2023-03-06,0,0,0,0
2023-03-07,-0,0,0,0
2023-03-08,0,0,0,0
2023-03-09,0,0,0,0
2023-03-10,0,0,0,0
2023-03-13,0,0,0,0
2023-03-14,0,0,0,0
2023-03-15,-0,0,0,0
2023-03-16,-0,0,0,0
2023-03-17,0,0,0,0
2023-03-20,0,0,0,0
2023-03-21,0,0,0,0
2023-03-22,0,0,0,0
2023-03-23,0,0,0,0
2023-03-24,0,0,0,0
2023-03-27,0,0,0,0
2023-03-28,-0,0,0,0
2023-03-29,0,0,0,0
2023-03-30,0,0,0,0
2023-03-31,0,0,0,0
2023-04-03,0,0,0,0
2023-04-04,0,0,0,0
2023-04-06,-0,0,0,0
2023-04-07,0,0,0,0
2023-04-10,-0,0,0,0
2023-04-11,-0,0,0,0
2023-04-12,0,0,0,0
2023-04-13,-0,0,0,0
2023-04-14,0,0,0,0
2023-04-17,-0,0,0,0
2023-04-18,0,0,0,0
2023-04-19,0,0,0,0
2023-04-20,0,0,0,0
2023-04-21,-0,0,0,0
2023-04-24,0,0,0,0
2023-04-25,-0,0,0,0
2023-04-26,-0,0,0,0
2023-04-27,-0,0,0,0
2023-04-28,0,0,0,0
2023-05-04,-0,0,0,0
2023-05-05,-0,0,0,0
2023-05-08,-0,0,0,0
2023-05-09,0,0,0,0
2023-05-10,-0,0,0,0
2023-05-11,-0,0,0,0
2023-05-12,0,0,0,0
2023-05-15,0,0,0,0
2023-05-16,-0,0,0,0
2023-05-17,0,0,0,0
2023-05-18,0,0,0,0
2023-05-19,-0,0,0,0
2023-05-22,-0,0,0,0
2023-05-23,-0,0,0,0
2023-05-24,0,0,0,0
2023-05-25,0,0,0,0
2023-05-26,0,0,0,0
2023-05-29,0,0,0,0
2023-05-30,0,0,0,0
2023-05-31,-0,0,0,0
2023-06-01,0,0,0,0
2023-06-02,-0,0,0,0
2023-06-05,0,0,0,0
2023-06-06,-0,0,0,0
2023-06-07,-0,0,0,0
2023-06-08,-0,0,0,0
2023-06-09,0,0,0,0
2023-06-12,0,0,0,0
2023-06-13,0,0,0,0
2023-06-14,0,0,0,0
2023-06-15,0,0,0,0
2023-06-16,0,0,0,0
2023-06-19,0,0,0,0
2023-06-20,0,0,0,0
2023-06-21,-0,0,0,0
2023-06-26,-0,0,0,0
2023-06-27,0,0,0,0
2023-06-28,0,0,0,0
2023-06-29,0,0,0,0
2023-06-30,0,0,0,0
2023-07-03,0,0,0,0
2023-07-04,0,0,0,0
2023-07-05,0,0,0,0
2023-07-06,0,0,0,0
2023-07-07,0,0,0,0
2023-07-10,0,0,0,0
2023-07-11,0,0,0,0
2023-07-12,0,0,0,0
2023-07-13,0,0,0,0
2023-07-14,0,0,0,0
2023-07-17,0,0,0,0
2023-07-18,0,0,0,0
2023-07-19,0,0,0,0
2023-07-20,0,0,0,0
2023-07-21,0,0,0,0
2023-07-24,0,0,0,0
2023-07-25,0,0,0,0
2023-07-26,0,0,0,0
2023-07-27,0,0,0,0
2023-07-28,0,0,0,0
2023-07-31,0,0,0,0
2023-08-01,0,0,0,0
2023-08-02,0,0,0,0
2023-08-03,0,0,0,0
2023-08-04,0,0,0,0
2023-08-07,0,0,0,0
2023-08-08,0,0,0,0
2023-08-09,0,0,0,0
2023-08-10,0,0,0,0
2023-08-11,0,0,0,0
2023-08-14,0,0,0,0
2023-08-15,0,0,0,0
2023-08-16,0,0,0,0
2023-08-17,0,0,0,0
2023-08-18,0,0,0,0
2023-08-21,0,0,0,0
2023-08-22,0,0,0,0
2023-08-23,0,0,0,0
2023-08-24,0,0,0,0
2023-08-25,0,0,0,0
2023-08-28,0,0,0,0
2023-08-29,0,0,0,0
2023-08-30,0,0,0,0
2023-08-31,0,0,0,0
2023-09-01,0,0,0,0
2023-09-04,0,0,0,0
2023-09-05,-0,0,0,0
2023-09-06,0,0,0,0
2023-09-07,-0,0,-0.0018523577098726433,-0.0018523577098726422
2023-09-08,-0.00018372430554284395,0.0024026911659665354,0,0.0022189668604236917
2023-09-11,-0.00015564622803066291,-0.0071616131934538361,0,-0.0073172594214844988
2023-09-12,-0.0004385734950845712,-0.003234151488287576,0,-0.0036727249833721472
2023-09-13,-3.9487177402662293e-05,-0.0012523226184989011,0,-0.0012918097959015635
2023-09-14,-0.0006466350282134845,0.0021063321715456113,0,0.0014596971433321268
2023-09-15,0.00034604076533133063,-0.0054683800184259276,0,-0.0051223392530945974
2023-09-18,-0.001098397954287804,2.6697478754866235e-05,0,-0.0010717004755329378
2023-09-19,-0.00050711472378564949,-0.0022613190638810657,0.0046608334037620842,0.0018923996160953689
2023-09-20,0.0042212724139217605,-0.00024860235837895683,-0.0030810932740998952,0.00089157678144290836
2023-09-21,0,0,-3.204438991178055e-05,-3.204438991178055e-05
2023-09-22,0.00034606765135144997,-1.9288029779289959e-18,0.00018724060708065558,0.00053330825843210528
2023-09-25,-0.00013034842282040791,-1.3948505490638755e-18,-5.5909468499506377e-05,-0.00018625789131991588
2023-09-26,8.0995635165273506e-06,8.2477539314571859e-05,0,9.057710283109921e-05
2023-09-27,7.1595886530889218e-06,9.2719704793118281e-05,0,9.9879293446207204e-05
2023-09-28,-2.6676393313039054e-06,-0.00013082805237390045,0,-0.00013349569170520437
2023-10-09,2.7632998843827957e-06,-7.4021726020464344e-05,0,-7.1258426136081542e-05
2023-10-10,1.4828764532852545e-06,1.564872724432323e-05,0,1.7131603697608487e-05
2023-10-11,-3.8974478148266832e-06,-1.8389365195823272e-05,0,-2.2286813010649956e-05
2023-10-12,-2.3045096334865836e-05,-0.00041565656309921063,0,-0.00043870165943407646
2023-10-13,9.0207422424230011e-06,-1.4976084482060869e-05,0,-5.9553422396378675e-06
2023-10-16,1.6451509370700752e-05,1.37430491072776e-05,4.7842568180301406e-05,7.8037126658280637e-05
2023-10-17,-5.0879451692846028e-05,-1.1524341491112992e-18,0.00013338450129622768,8.2505049603380509e-05
2023-10-18,6.2581983626769244e-07,1.4533383921300224e-06,0,2.079158228397715e-06
2023-10-19,8.4382928409951134e-08,-1.7099085007625119e-05,0,-1.7014702079215169e-05
2023-10-20,7.5004896267683096e-07,4.8965621606588735e-05,0,4.9715670569265569e-05
2023-10-23,3.02948883366752e-07,-2.7437502369037085e-05,0,-2.7134553485670329e-05
2023-10-24,-1.9268850994528988e-06,-6.2419802489817409e-06,0,-8.1688653484346396e-06
2023-10-25,2.4501434310249371e-07,1.5934106808711629e-05,0,1.6179121151814121e-05
2023-10-26,-1.369870192972638e-08,-5.5511928768212746e-05,0,-5.5525627470142476e-05
2023-10-27,-3.0678791536340537e-07,-3.0451681937659923e-05,0,-3.0758469853023329e-05
2023-10-30,-7.0092026932459666e-07,8.9570001608154773e-06,0,8.2560798914908806e-06
2023-10-31,-5.1254130708497581e-07,-5.131795501722578e-05,0,-5.1830496324310749e-05
2023-11-01,9.0827563835593604e-07,7.5635435463722417e-05,0,7.654371110207836e-05
2023-11-02,6.420222099427222e-07,5.3935437833227598e-05,0,5.4577460043170323e-05
2023-11-03,-9.1049390128776863e-08,-4.7140938763181712e-05,0,-4.7231988153310488e-05
2023-11-06,3.471753423591892e-07,-1.9516131942824658e-05,0,-1.916895660046547e-05
2023-11-07,1.8342909670969666e-07,0.00011651957360868623,0,0.00011670300270539592
2023-11-08,-1.1386801496822983e-06,1.3373128756819704e-05,0,1.2234448607137405e-05
2023-11-09,5.3400131228877046e-07,-2.5215457634437596e-05,0,-2.4681456322148826e-05
2023-11-10,-1.7512517116445228e-07,3.0098150272070458e-05,0,2.9923025100906005e-05
2023-11-13,-4.8717910054578829e-07,-3.9666196770636714e-05,0,-4.0153375871182506e-05
2023-11-14,-8.5234154146049865e-08,4.60204538956332e-05,0,4.5935219741487145e-05
2023-11-15,9.2887031520595321e-07,-2.8097784465566554e-05,0,-2.7168914150360601e-05
2023-11-16,7.0623743201630449e-07,5.3326844018689456e-05,0,5.4033081450705761e-05
2023-11-17,-3.3460401139928787e-07,3.5791886254309689e-05,-6.1137193305482807e-05,-2.5679911062572412e-05
2023-11-20,8.0071344236415007e-05,-5.9100335614647496e-05,-9.705632755517328e-05,-7.6085318933405768e-05
2023-11-21,-5.2022849472419237e-05,2.4147392878605926e-18,-0.012273410052145722,-0.012325432901618139
2023-11-22,0.0037989404868955224,0.021604839621007569,0.00010266867564438762,0.025506448783547478
2023-11-23,-0.0006676299141537889,-0.0025292613882695425,-0.0083808348466816,-0.011577726149104935
2023-11-24,0.0071615823040245205,-0.0096358970040905934,-0.013346168117377741,-0.015820482817443814
2023-11-27,0.0049191163802786691,4.9702295139822859e-05,-0.00078132814856139406,0.0041874905268570982
2023-11-28,0.0045744703793380338,0.0014164060450847832,-0.026412460480110228,-0.020421584055687413
2023-11-29,0.0047292328174923246,-0.0072365783378692747,0.0001336024012828652,-0.0023737431190940855
2023-11-30,0.0083810495763703592,-0.024569720795923386,0,-0.016188671219553027
2023-12-01,-0.007486894717238503,0.013636932803856501,0,0.0061500380866179975
2023-12-04,-0.00052388612625708713,-0.0058460890996669228,0,-0.0063699752259240095
2023-12-05,0.014062361552789992,-0.027874452205112726,0,-0.013812090652322738
2023-12-06,0.002675796755375744,-0.026919501331858903,0,-0.024243704576483161
2023-12-07,-0.00016146224722092943,0.019016125966245839,0,0.018854663719024913
2023-12-08,-0.020058274243853286,-0.01845020735794526,0,-0.038508481601798546
2023-12-11,0.0051848056257332341,-0.024748710442373079,0,-0.019563904816639846
2023-12-12,0.0025842482870684683,0.0057745709998705255,0,0.0083588192869389934
2023-12-13,0.0037729872758820158,0.016817890760282141,0,0.020590878036164155
2023-12-14,0.0078217196174641766,0.0016913304589834383,0,0.0095130500764476159
2023-12-15,0.0010928740063099662,0.010774621377249386,0.0017607565050683578,0.013628251888627711
2023-12-18,0,-0.010930261990622773,0.013406790582062598,0.0024765285914398246
2023-12-19,0.00090072615717472671,-0.0080484257835603326,0,-0.007147699626385607
2023-12-20,0.015840828586788723,-0.010726212328015692,0,0.0051146162587730332
2023-12-21,-0.013611791056496738,0.0052253703020767196,-0.009385680557283959,-0.017772101311703977
2023-12-22,0,0.0093332644466672839,0,0.0093332644466672839
2023-12-25,0,0.011028645055388893,0,0.011028645055388895
2023-12-26,0,0.012708564574995173,-9.6549618255279451e-05,0.012612014956739895
2023-12-27,0,0.0039560868631371687,-0.0026503620718343244,0.0013057247913028443
2023-12-28,0,-0.0044916137647280242,0,-0.0044916137647280242
2023-12-29,0,2.5463628476274356e-05,0,2.5463628476274356e-05
2024-01-02,0,0.003532991115576783,0,0.0035329911155767826
2024-01-03,0,0.0042894944214243039,0,0.0042894944214243039
2024-01-04,0,0.0020166502010022232,0,0.0020166502010022232
2024-01-05,0,0.0071681748126035567,0,0.0071681748126035567
2024-01-08,0,0.0011329850480340032,-0.00143635890725125,-0.000303373859217247
2024-01-09,0,0,0,0
2024-01-10,0,0,0,0
2024-01-11,0,0,0,0
2024-01-12,0,0,0,0
2024-01-15,0,0,0,0
2024-01-16,0,0,0,0
2024-01-17,0,0,0,0
2024-01-18,0,0,0,0
2024-01-19,0,0,0,0
2024-01-22,0,0,0,0
2024-01-23,0,0,0,0
2024-01-24,0,0,0,0
2024-01-25,0,0,-0.0069657456486270182,-0.0069657456486270182
