symbol,control,treatment,difference
sh601869,1848625.3248504889,0,-1848625.3248504889
sh688256,1899276.9938091373,1228817.7699219778,-670459.22388715949
sh688498,2432980.1865643347,2105994.5380114792,-326985.64855285548
sh688535,-142364.00938288984,-393320.63351725036,-250956.62413436052
sh688205,114789.14227731767,-71253.14171699791,-186042.2839943156
sh688041,467954.61234011117,292282.63166809082,-175671.98067202035
sz300604,0,-142581.68465602619,-142581.68465602619
sh688409,0,-136254.37335497307,-136254.37335497307
sh688361,-67133.660174595716,-195199.34740733632,-128065.6872327406
sh688072,-10893.491449118166,-132707.52537046585,-121814.03392134768
sz300776,0,-106820.28454336597,-106820.28454336597
sh603986,1872.0005136890977,-96391.685490137155,-98263.686003826253
sh688300,0,-45236.960518805085,-45236.960518805085
sh600206,35733.235119208388,0,-35733.235119208388
sz300666,0,-31155.945101060384,-31155.945101060384
sz300054,0,-459.75584178437202,-459.75584178437202
sh688012,12093.016766672597,11763.853973141027,-329.16279353157006
sh688120,-3535.1539874860746,0,3535.1539874860746
sh688268,-65066.786402448153,-54816.473058276468,10250.313344171685
sh688082,-118850.7143311628,-45954.373506971948,72896.340824190847
sz300394,97085.837007204726,188372.35230693166,91286.515299726932
sh688249,-100853.80752831139,-3821.5351358035514,97032.272392507832
sh688347,0,112748.14616365095,112748.14616365095
sz002281,0,129945.48696186201,129945.48696186201
sh688019,-317326.82947714708,-119084.67831796629,198242.15115918079
sh688037,-235299.88260041119,-31843.555983211922,203456.32661719926
sz002371,-135804.76250338831,150546.82871860603,286351.59122199437
sz300308,851423.89828433516,1205280.9223677791,353857.02408344392
sz300502,-102332.15635134498,3368451.9255296015,3470784.0818809466
