scope,policy,window,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
union,readmission,full,MEASURED,2023-01-03,2026-09-11,896,7.1010410955165755,6.1010410955165755,0.70154284014495616,0.29990363249502872,0.29990363249502872,1.6936215954295131,175,47.452672605790646,35.85396476350418,108040.11426586084,197777.31191720648,0.40430329835555151,4
union,readmission,bull,MEASURED,2023-01-03,2026-06-30,843,8.181972609637862,7.181972609637862,0.82688932808954085,0.29990363249502872,0.29990363249502872,1.8704426151379612,165,47.304748822605966,33.791909103786864,90250.708370997541,167969.14576500255,0.42540112381899414,4
union,readmission,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.8935964647035155,-0.1064035352964845,-0.44401506536408097,0.16416205183909649,0.16416205183909649,-1.9179903230437183,10,52.178571428571431,2.0620556597173119,17789.405894863299,29808.166152203907,0.17610535883881573,0
union,readmission,july_august,MEASURED,2026-07-01,2026-08-31,44,0.86788864181138725,-0.13211135818861275,-0.57190454359207021,0.14434517679599135,0.16416205183909649,-4.4405581528426339,10,59.877049180327873,2.0620556597173119,17789.405894863299,29808.166152203907,0.08278654425368398,0
union,readmission,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.8796613056272506,0.87966130562725064,1.5237042039974229,0.16416205183909649,0.19255698482713501,2.4294438899684327,27,39.605421686746986,5.7962841003757708,35857.635862701849,64367.173871042418,0.51014374432804077,1
union,incumbent,full,MEASURED,2023-01-03,2026-09-11,896,5.624793276481121,4.624793276481121,0.59734046278848907,0.32071953227003402,0.32071953227003402,1.4351728970883484,202,54.773942093541208,50.81685661872077,137485.89245067883,250145.5218672656,0.4500943139387556,2
union,incumbent,bull,MEASURED,2023-01-03,2026-06-30,843,7.1663188557611406,6.1663188557611406,0.75877185026224292,0.32071953227003402,0.32071953227003402,1.6742679189194838,194,55.618916797488225,49.096161189618932,124489.58406997149,228813.12308990658,0.47199990637135908,2
union,incumbent,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.8296000943510129,-0.1703999056489871,-0.62271551090958588,0.22609289602969129,0.22609289602969129,-2.571994604082013,8,41.742857142857147,1.7206954291018408,12996.308380707347,21332.39877735902,0.21588888414326651,0
union,incumbent,july_august,MEASURED,2026-07-01,2026-08-31,44,0.78489296802070729,-0.21510703197929271,-0.76549292843076844,0.21588422439297672,0.22609289602969129,-5.7274062534868602,8,47.9016393442623,1.7206954291018408,12996.308380707347,21332.39877735902,0.12246782313793925,0
union,incumbent,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.3986691955666295,0.3986691955666295,0.63585425548137908,0.22609289602969129,0.24059792345302289,1.3872165637401359,27,39.605421686746986,7.1574226513244739,37117.099640755783,68172.919267238249,0.49575068420780516,1
