date,exposure,cash_fraction,warning_cap,held,eligible,mature_held,stop_only,feature_exit,pending,reason
2023-01-03,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-04,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-05,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-06,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-09,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-10,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-11,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-12,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-13,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-16,0,1,0,0,0,0,0,0,False,RECOVERY_WAIT
2023-01-17,0,1,0,0,0,0,0,0,False,RECOVERY_WAIT
2023-01-18,0,1,0.5,0,0,0,0,0,False,CONFIRMED_RECOVERY|RETAIN_ACTUAL_UNITS
2023-01-19,0,1,0.5,0,0,0,0,0,False,RECOVERY_WAIT|RETAIN_ACTUAL_UNITS
2023-01-20,0,1,0.5,0,0,0,0,0,False,RECOVERY_WAIT|RETAIN_ACTUAL_UNITS
2023-01-30,0,1,1,0,0,0,0,0,False,CONFIRMED_RECOVERY|RETAIN_ACTUAL_UNITS
2023-01-31,0,1,1,0,0,0,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-01,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-02,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-03,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-06,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-07,0,1,1,0,3,0,0,0,False,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK
2023-02-08,0.74521670679970164,0.25478329320029847,1,2,3,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-09,0.76344955259401082,0.23655044740598927,1,2,3,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-10,0.772451925859443,0.227548074140557,1,2,3,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-13,0.78366333581208769,0.21633666418791231,1,2,3,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-14,0.77480012137710652,0.22519987862289359,1,2,4,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-15,0.78004098162313795,0.21995901837686205,1,2,4,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-16,0.7726723385160057,0.22732766148399433,1,2,3,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-17,0.7654687102352471,0.2345312897647529,1,2,1,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-20,0.77200400545135461,0.22799599454864544,1,2,1,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-21,0.7713973848378598,0.22860261516214028,1,2,1,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-22,0.76797042055816223,0.2320295794418378,1,2,0,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-23,0.76743743813249343,0.23256256186750665,1,2,0,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-24,0.78079864427035861,0.21920135572964144,1,2,0,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-27,0.77555135490653238,0.22444864509346765,1,2,0,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-28,0.77739343826897234,0.22260656173102772,1,2,0,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-03-01,0.78183246873953849,0.21816753126046159,1,2,3,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-03-02,0.79063874281933344,0.20936125718066664,1,2,3,2,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
