date,exposure,cash_fraction,warning_cap,held,eligible,mature_held,stop_only,feature_exit,pending,reason
2023-01-03,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-04,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-05,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-06,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-09,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-10,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-11,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-12,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-13,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-16,0,1,0,0,0,0,0,0,False,RECOVERY_WAIT
2023-01-17,0,1,0,0,0,0,0,0,False,RECOVERY_WAIT
2023-01-18,0,1,0.5,0,0,0,0,0,False,CONFIRMED_RECOVERY|RETAIN_ACTUAL_UNITS
2023-01-19,0,1,0.5,0,0,0,0,0,False,RECOVERY_WAIT|RETAIN_ACTUAL_UNITS
2023-01-20,0,1,0.5,0,0,0,0,0,False,RECOVERY_WAIT|RETAIN_ACTUAL_UNITS
2023-01-30,0,1,1,0,0,0,0,0,False,CONFIRMED_RECOVERY|RETAIN_ACTUAL_UNITS
2023-01-31,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-01,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-02,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-03,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-06,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-07,0,1,1,0,10,0,0,0,False,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK
2023-02-08,0.81010647582256989,0.18989352417743005,1,2,6,0,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-09,0.81906442333968765,0.18093557666031237,1,2,16,1,0,0,False,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK
2023-02-10,0.91450661467816829,0.085493385321831539,1,2,15,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-13,0.91996594713449997,0.080034052865499888,1,2,17,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-14,0.91876169826971787,0.081238301730282028,1,2,19,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-15,0.921274251635116,0.078725748364883885,1,2,24,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-16,0.91480292462479573,0.085197075375204129,1,2,14,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-17,0.91206204089139065,0.087937959108609312,1,2,3,1,1,0,True,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING
2023-02-20,0.43547536227248201,0.56452463772751804,1,1,9,0,0,0,False,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK
2023-02-21,0.74595375960696675,0.2540462403930332,1,2,5,0,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-22,0.74652629047197594,0.25347370952802406,1,2,3,0,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-23,0.74460223419834948,0.25539776580165036,1,2,1,0,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-24,0.75032739781549462,0.24967260218450543,1,2,1,0,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-27,0.74538300387154788,0.25461699612845212,1,2,0,0,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-28,0.74489324823157332,0.25510675176842651,1,2,0,0,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-03-01,0.75347747799574361,0.24652252200425634,1,2,1,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-03-02,0.754262929595231,0.24573707040476903,1,2,6,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
