date,symbol,pnl,carry,execution,units_before,units_after
2023-02-08,sh688256,-37364.02584025637,-0,-37364.02584025637,0,16893.771181488839
2023-02-08,sz002281,-27260.684874962284,-0,-27260.684874962284,0,39846.997389033946
2023-02-09,sh688256,48400.65443496556,48400.65443496556,0,16893.771181488839,16893.771181488839
2023-02-09,sz002281,47417.926892950447,47417.926892950447,0,39846.997389033946,39846.997389033946
2023-02-10,sh688256,456.13182190021593,456.13182190021593,0,16893.771181488839,16893.771181488839
2023-02-10,sz002281,97892.631134611016,81287.874673629223,16604.756460981793,39846.997389033946,49149.860272007325
2023-02-13,sh688256,95128.825522963656,95128.825522963656,0,16893.771181488839,16893.771181488839
2023-02-13,sz002281,50132.857477447447,50132.857477447447,0,49149.860272007325,49149.860272007325
2023-02-14,sh688256,-22907.953722098893,-22907.953722098893,0,16893.771181488839,16893.771181488839
2023-02-14,sz002281,-10812.969259841555,-10812.969259841555,0,49149.860272007325,49149.860272007325
2023-02-15,sh688256,41051.863971017876,41051.863971017876,0,16893.771181488839,16893.771181488839
2023-02-15,sz002281,30472.913368644589,30472.913368644589,0,49149.860272007325,49149.860272007325
2023-02-16,sh688256,-97510.847259553557,-97510.847259553557,0,16893.771181488839,16893.771181488839
2023-02-16,sz002281,-78148.277832491643,-78148.277832491643,0,49149.860272007325,49149.860272007325
2023-02-17,sh688256,-5659.4133457987755,-5659.4133457987755,0,16893.771181488839,16893.771181488839
2023-02-17,sz002281,-60945.826737289179,-60945.826737289179,0,49149.860272007325,49149.860272007325
2023-02-20,sh688256,27773.359822367624,27773.359822367624,0,16893.771181488839,16893.771181488839
2023-02-20,sz002281,9514.5721420009904,39319.888217605898,-29805.316075604907,49149.860272007325,0
2023-02-21,sh688037,-10178.35053944098,-0,-10178.35053944098,0,6588.1677309147108
2023-02-21,sh688256,32317.784270188095,32317.784270188095,0,16893.771181488839,16893.771181488839
2023-02-22,sh688037,15014.434258754602,15014.434258754602,0,6588.1677309147108,6588.1677309147108
2023-02-22,sh688256,-10203.837793619245,-10203.837793619245,0,16893.771181488839,16893.771181488839
2023-02-23,sh688037,-2701.1487696750091,-2701.1487696750091,0,6588.1677309147108,6588.1677309147108
2023-02-23,sh688256,-13379.866775739187,-13379.866775739187,0,16893.771181488839,16893.771181488839
2023-02-24,sh688037,-4822.5387790296572,-4822.5387790296572,0,6588.1677309147108,6588.1677309147108
2023-02-24,sh688256,53401.210704686244,53401.210704686244,0,16893.771181488839,16893.771181488839
2023-02-27,sh688037,-10778.242407776439,-10778.242407776439,0,6588.1677309147108,6588.1677309147108
2023-02-27,sh688256,-31304.157999298724,-31304.157999298724,0,16893.771181488839,16893.771181488839
2023-02-28,sh688037,9519.9023711718055,9519.9023711718055,0,6588.1677309147108,6588.1677309147108
2023-02-28,sh688256,-13599.48580109863,-13599.48580109863,0,16893.771181488839,16893.771181488839
2023-03-01,sh688037,-1324.221713913907,-1324.221713913907,0,6588.1677309147108,6588.1677309147108
2023-03-01,sh688256,75177.281757625387,75177.281757625387,0,16893.771181488839,16893.771181488839
2023-03-02,sh688037,-3188.6731817626846,-3188.6731817626846,0,6588.1677309147108,6588.1677309147108
2023-03-02,sh688256,10203.837793619245,10203.837793619245,0,16893.771181488839,16893.771181488839
2023-03-03,sh688037,25700.442318298261,25700.442318298261,0,6588.1677309147108,6588.1677309147108
2023-03-03,sh688256,25053.462662148017,25053.462662148017,0,16893.771181488839,16893.771181488839
2023-03-06,sh688037,40681.935738398322,40681.935738398322,0,6588.1677309147108,6588.1677309147108
2023-03-06,sh688256,-28111.235245997454,-28111.235245997454,0,16893.771181488839,16893.771181488839
2023-03-07,sh688037,-34080.591672021808,-34080.591672021808,0,6588.1677309147108,6588.1677309147108
2023-03-07,sh688256,-37994.091387168439,-37994.091387168439,0,16893.771181488839,16893.771181488839
2023-03-08,sh688037,-1676.9707637404008,12128.816792614036,-13805.787556354437,6588.1677309147108,0
2023-03-08,sh688256,20306.927713333062,24158.092789529033,-3851.1650761959709,16893.771181488839,0
2023-03-13,sh688037,-3942.9977915469372,-0,-3942.9977915469372,0,3242.8176795580112
2023-03-13,sh688256,22712.39892553963,0,22712.39892553963,0,6399.9785418517704
2023-03-14,sh688037,1209.5709944751534,1209.5709944751534,0,3242.8176795580112,3242.8176795580112
2023-03-14,sh688256,30540.697601716638,30540.697601716638,0,6399.9785418517704,6399.9785418517704
2023-03-15,sh688037,-16204.359944751381,-16204.359944751381,0,3242.8176795580112,3242.8176795580112
2023-03-15,sh688256,4684.7842926354915,4684.7842926354915,0,6399.9785418517704,6399.9785418517704
2023-03-16,sh688037,-12527.004696132595,-12527.004696132595,0,3242.8176795580112,3242.8176795580112
2023-03-16,sh688256,-26532.87963454051,-6617.5778122746779,-19915.301822265832,6399.9785418517704,17510.172926301013
2023-03-17,sh688037,693.96298342541002,693.96298342541002,0,3242.8176795580112,3242.8176795580112
2023-03-17,sh688256,240799.89808249145,240799.89808249145,0,17510.172926301013,17510.172926301013
2023-03-20,sh688037,29.185359116023207,29.185359116023207,0,3242.8176795580112,3242.8176795580112
2023-03-20,sh688256,141832.40070303812,141832.40070303812,0,17510.172926301013,17510.172926301013
2023-03-21,sh688037,-7873.561325966888,-7873.561325966888,0,3242.8176795580112,3242.8176795580112
2023-03-21,sh688256,21152.288894971844,21152.288894971844,0,17510.172926301013,17510.172926301013
2023-03-22,sh688037,-7072.5853591160139,-7072.5853591160139,0,3242.8176795580112,3242.8176795580112
2023-03-22,sh688256,274419.43010098941,274419.43010098941,0,17510.172926301013,17510.172926301013
2023-03-23,sh688037,-4565.1562048900187,5924.6279005524802,-10489.784105442499,3242.8176795580112,0
2023-03-23,sh688256,80494.264942205657,80494.264942205657,0,17510.172926301013,17510.172926301013
2023-03-24,sh688256,188024.23688262026,188024.23688262026,0,17510.172926301013,17510.172926301013
2023-03-27,sh688256,39835.643407334901,39835.643407334901,0,17510.172926301013,17510.172926301013
2023-03-28,sh688256,-169095.73994928881,-169095.73994928881,0,17510.172926301013,17510.172926301013
2023-03-29,sh688041,41014.174615171149,0,41014.174615171149,0,3947.4624631721576
2023-03-29,sh688256,0,0,0,17510.172926301013,17510.172926301013
2023-03-30,sh688041,7894.9249263443153,7894.9249263443153,0,3947.4624631721576,3947.4624631721576
2023-03-30,sh688256,48170.485720253921,48170.485720253921,0,17510.172926301013,17510.172926301013
2023-03-31,sh688041,2644.7998503253525,2644.7998503253525,0,3947.4624631721576,3947.4624631721576
2023-03-31,sh688256,115759.75321577607,115759.75321577607,0,17510.172926301013,17510.172926301013
2023-04-03,sh688041,30119.138594003543,30119.138594003543,0,3947.4624631721576,3947.4624631721576
2023-04-03,sh688256,294381.02723697282,294381.02723697282,0,17510.172926301013,17510.172926301013
2023-04-04,sh688041,4263.2594602259232,4263.2594602259232,0,3947.4624631721576,3947.4624631721576
2023-04-04,sh688256,53003.293447912933,53003.293447912933,0,17510.172926301013,17510.172926301013
2023-04-06,sh688041,-18355.700453750498,-18355.700453750498,0,3947.4624631721576,3947.4624631721576
2023-04-06,sh688256,-88251.271548556964,-88251.271548556964,0,17510.172926301013,17510.172926301013
2023-04-07,sh688041,1657.9342345322568,1657.9342345322568,0,3947.4624631721576,3947.4624631721576
2023-04-07,sh688256,205656.98101940547,205656.98101940547,0,17510.172926301013,17510.172926301013
2023-04-10,sh688041,-27040.117872729257,-27040.117872729257,0,3947.4624631721576,3947.4624631721576
2023-04-10,sh688256,-210489.78874706474,-210489.78874706474,0,17510.172926301013,17510.172926301013
2023-04-11,sh688041,4736.9549558066001,4736.9549558066001,0,3947.4624631721576,3947.4624631721576
2023-04-11,sh688256,-71564.076749792046,-71564.076749792046,0,17510.172926301013,17510.172926301013
2023-04-12,sh688041,26408.523878621727,26408.523878621727,0,3947.4624631721576,3947.4624631721576
2023-04-12,sh688256,52880.722237428738,52880.722237428738,0,17510.172926301013,17510.172926301013
2023-04-13,sh688041,-25540.082136723857,-25540.082136723857,0,3947.4624631721576,3947.4624631721576
2023-04-13,sh688256,-211522.88894971597,-211522.88894971597,0,17510.172926301013,17510.172926301013
2023-04-14,sh688041,4480.8860895008165,3236.9192198011424,1243.9668696996746,3947.4624631721576,2572.6245936243176
2023-04-14,sh688256,60094.237768467181,82262.792407762288,-22168.554639295107,17510.172926301013,11411.14583903211
2023-04-17,sh688041,7949.4099942991506,7949.4099942991506,0,2572.6245936243176,2572.6245936243176
2023-04-17,sh688256,13784.664173550771,13784.664173550771,0,11411.14583903211,11411.14583903211
2023-04-18,sh688041,6354.3827462520612,6354.3827462520612,0,2572.6245936243176,2572.6245936243176
2023-04-18,sh688256,-7816.6348997370205,-7816.6348997370205,0,11411.14583903211,11411.14583903211
2023-04-19,sh688041,20452.365519313331,20452.365519313331,0,2572.6245936243176,2572.6245936243176
2023-04-19,sh688256,199272.83978701767,199272.83978701767,0,11411.14583903211,11411.14583903211
2023-04-20,sh688041,17365.216006964143,17365.216006964143,0,2572.6245936243176,2572.6245936243176
2023-04-20,sh688256,339732.63391966384,339732.63391966384,0,11411.14583903211,11411.14583903211
2023-04-21,sh688041,-15204.211348319708,-15204.211348319708,0,2572.6245936243176,2572.6245936243176
2023-04-21,sh688256,-139079.04548612321,-139079.04548612321,0,11411.14583903211,11411.14583903211
2023-04-24,sh688041,-5453.964138483565,-5453.964138483565,0,2572.6245936243176,2572.6245936243176
2023-04-24,sh688256,-38284.394289952936,-38284.394289952936,0,11411.14583903211,11411.14583903211
2023-04-25,sh688041,24388.481147558541,24388.481147558541,0,2572.6245936243176,2572.6245936243176
2023-04-25,sh688256,38284.394289952936,38284.394289952936,0,11411.14583903211,11411.14583903211
2023-04-26,sh688041,-16104.629956088242,-16104.629956088242,0,2572.6245936243176,2572.6245936243176
2023-04-26,sh688256,-76580.199725744635,-76580.199725744635,0,11411.14583903211,11411.14583903211
2023-04-27,sh688041,-13351.921640910203,-13351.921640910203,0,2572.6245936243176,2572.6245936243176
2023-04-27,sh688256,-55526.635652730081,-55526.635652730081,0,11411.14583903211,11411.14583903211
2023-04-28,sh688041,17622.47846632656,17622.47846632656,0,2572.6245936243176,2572.6245936243176
2023-04-28,sh688256,143597.8592383801,143597.8592383801,0,11411.14583903211,11411.14583903211
2023-05-04,sh688041,-5145.2491872486353,-5145.2491872486353,0,2572.6245936243176,2572.6245936243176
2023-05-04,sh688256,-127896.12256387186,-127896.12256387186,0,11411.14583903211,11411.14583903211
2023-05-05,sh688041,231.53621342619735,231.53621342619735,0,2572.6245936243176,2572.6245936243176
2023-05-05,sh688256,-190086.86738659706,-190086.86738659706,0,11411.14583903211,11411.14583903211
2023-05-08,sh688041,-9209.9960451750521,-9209.9960451750521,0,2572.6245936243176,2572.6245936243176
2023-05-08,sh688256,3138.0651057338951,3138.0651057338951,0,11411.14583903211,11411.14583903211
2023-05-09,sh688041,617.42990246982311,617.42990246982311,0,2572.6245936243176,2572.6245936243176
2023-05-09,sh688256,23061.925740683739,23061.925740683739,0,11411.14583903211,11411.14583903211
2023-05-10,sh688041,-16337.408340661339,-29353.646613253455,13016.238272592116,2572.6245936243176,1215.9354410545825
2023-05-10,sh688256,-68134.604492484184,-94358.764942956244,26224.16045047206,11411.14583903211,5389.4485876497874
2023-05-11,sh688041,-1542.1530857017165,-1872.5405792240474,330.387493522331,1215.9354410545825,1014.4874608445089
2023-05-11,sh688256,7554.0176169596798,-11069.927399032675,18623.945015992354,5389.4485876497874,0
2023-05-12,sh688041,-172.75571774035666,-1552.1658150920998,1379.4100973517432,1014.4874608445089,0
2023-05-17,sh688072,-953.79984605712343,-0,-953.79984605712343,0,1715.9299790535629
2023-05-18,sh688072,1388.187353054328,1388.187353054328,0,1715.9299790535629,1715.9299790535629
2023-05-19,sh688072,-1388.187353054328,-1388.187353054328,0,1715.9299790535629,1715.9299790535629
2023-05-19,sh688498,-16749.225676753871,-0,-16749.225676753871,0,1853.3419334032089
2023-05-22,sh688072,-7840.084074295758,-7840.084074295758,0,1715.9299790535629,1715.9299790535629
2023-05-22,sh688498,-15251.150769975005,-15251.150769975005,0,1853.3419334032089,1853.3419334032089
2023-05-23,sh688072,-10975.088146026565,-10975.088146026565,0,1715.9299790535629,1715.9299790535629
2023-05-23,sh688498,-456.83615995061064,-3198.868177053937,2742.0320171033263,1853.3419334032089,0
2023-05-24,sh688072,3809.3645534989078,3809.3645534989078,0,1715.9299790535629,1715.9299790535629
2023-05-24,sz002409,23752.126419087457,0,23752.126419087457,0,10175.202235622886
2023-05-25,sh688072,815.0667400504326,815.0667400504326,0,1715.9299790535629,1715.9299790535629
2023-05-25,sz002409,-9899.745715824225,-4477.0889836740471,-5422.6567321501789,10175.202235622886,26195.082611584152
2023-05-26,sh688072,11234.193572863671,11234.193572863671,0,1715.9299790535629,1715.9299790535629
2023-05-26,sz002409,25933.131785468177,25933.131785468177,0,26195.082611584152,26195.082611584152
2023-05-29,sh688072,8294.8055187449281,8294.8055187449281,0,1715.9299790535629,1715.9299790535629
2023-05-29,sz002409,13883.393784139631,13883.393784139631,0,26195.082611584152,26195.082611584152
2023-05-30,sh688072,2869.0349249775522,2869.0349249775522,0,1715.9299790535629,1715.9299790535629
2023-05-30,sz002409,18860.45948034056,18860.45948034056,0,26195.082611584152,26195.082611584152
2023-05-31,sh688072,-7580.9786474586517,-7580.9786474586517,0,1715.9299790535629,1715.9299790535629
2023-05-31,sz002409,-14407.295436371209,-14407.295436371209,0,26195.082611584152,26195.082611584152
2023-06-01,sh688072,588.56398281540248,588.56398281540248,0,1715.9299790535629,1715.9299790535629
2023-06-01,sz002409,-68893.067268466199,-68893.067268466199,0,26195.082611584152,26195.082611584152
2023-06-02,sh688072,4428.8152759372269,4428.8152759372269,0,1715.9299790535629,1715.9299790535629
2023-06-02,sz002409,-10189.683874284614,-11787.787175212943,1598.1033009283285,26195.082611584152,20569.973947428836
2023-06-05,sh688072,15416.732829726418,15107.047535587571,309.68529413884687,1715.9299790535629,1276.090520455951
2023-06-05,sz002409,-5142.4934868572091,-5142.4934868572091,0,20569.973947428836,20569.973947428836
2023-06-06,sh688072,-6103.540959340834,-6103.540959340834,0,1276.090520455951,1276.090520455951
2023-06-06,sz002409,-50807.835650149202,-50807.835650149202,0,20569.973947428836,20569.973947428836
2023-06-07,sh688072,-7031.2587677122783,-7031.2587677122783,0,1276.090520455951,1276.090520455951
2023-06-07,sz002409,4738.9324515490134,-15838.879939520122,20577.812391069136,20569.973947428836,0
2023-06-08,sh688037,-8354.9781275410969,-0,-8354.9781275410969,0,5019.3911395038795
2023-06-08,sh688072,209.27884535479598,209.27884535479598,0,1276.090520455951,1276.090520455951
2023-06-09,sh688037,22903.481769556285,22903.481769556285,0,5019.3911395038795,5019.3911395038795
2023-06-09,sh688072,8565.1195733003296,8565.1195733003296,0,1276.090520455951,1276.090520455951
2023-06-12,sh688037,-18250.506183236084,-18250.506183236084,0,5019.3911395038795,5019.3911395038795
