symbol,support_pnl,main_pnl,difference
sh600206,-18116.030357926778,-123246.63151486145,105130.60115693467
sh601869,1181246.6622674132,791160.47185193596,390086.19041547726
sh603986,-94565.795393594337,-121821.42685035293,27255.631456758594
sh688008,-88482.677577854643,-79293.189084939135,-9189.4884929155087
sh688012,23128.632563265157,-6207.5416246109417,29336.174187876099
sh688019,-34965.576831652681,-103325.56558690219,68359.988755249506
sh688037,-163660.33156574014,-83712.85219219212,-79947.47937354802
sh688041,218436.7187784111,174635.50934151126,43801.209436899837
sh688072,8513.5299392481757,-180618.78747926437,189132.31741851254
sh688082,-107222.81951524066,-39249.914709974917,-67972.904805265745
sh688120,-2246.4424741196199,0,-2246.4424741196199
sh688205,124642.5864107127,238111.70563058858,-113469.11921987588
sh688249,-63838.664900687101,0,-63838.664900687101
sh688256,1657811.380520035,1484467.5218708189,173343.85864921613
sh688268,-44247.346952221669,-22138.379420596197,-22108.967531625472
sh688300,-66839.413125861262,127422.55724270953,-194261.97036857079
sh688347,-84094.312514889636,-157056.08496233023,72961.772447440599
sh688361,-53885.011890613408,0,-53885.011890613408
sh688409,-125747.44760097182,0,-125747.44760097182
sh688498,1842589.254813859,643005.24400564388,1199584.010808215
sh688535,-144616.90178879516,95362.548175753152,-239979.44996454832
sz002281,21472.093835185606,-289970.84049679211,311442.93433197774
sz002371,132533.033746253,-95835.554369624864,228368.58811587788
sz002409,-102762.56745272303,20765.705605635707,-123528.27305835874
sz300054,-49396.970181239951,-73244.325059513998,23847.354878274047
sz300223,-60424.697975603056,0,-60424.697975603056
sz300776,0,-82387.022098996982,82387.022098996982
