date,exposure,cash_fraction,warning_cap,held,eligible,mature_held,stop_only,feature_exit,pending,reason
2023-01-03,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-04,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-05,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-06,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-09,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-10,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-11,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-12,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-13,0,1,0,0,0,0,0,0,False,WARMUP_OR_NO_FRESH_QUOTES
2023-01-16,0,1,0,0,0,0,0,0,False,RECOVERY_WAIT
2023-01-17,0,1,0,0,0,0,0,0,False,RECOVERY_WAIT
2023-01-18,0,1,0.5,0,0,0,0,0,False,CONFIRMED_RECOVERY|RETAIN_ACTUAL_UNITS
2023-01-19,0,1,0.5,0,0,0,0,0,False,RECOVERY_WAIT|RETAIN_ACTUAL_UNITS
2023-01-20,0,1,0.5,0,0,0,0,0,False,RECOVERY_WAIT|RETAIN_ACTUAL_UNITS
2023-01-30,0,1,1,0,0,0,0,0,False,CONFIRMED_RECOVERY|RETAIN_ACTUAL_UNITS
2023-01-31,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-01,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-02,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-03,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-06,0,1,1,0,0,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-07,0,1,1,0,13,0,0,0,False,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK
2023-02-08,0.87847538649459311,0.12152461350540679,1,2,9,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-09,0.88763912196242623,0.11236087803757386,1,2,19,0,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-10,0.89217914072145132,0.10782085927854879,1,2,18,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-13,0.90077091536339349,0.09922908463660661,1,2,20,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-14,0.8965357747769267,0.10346422522307332,1,2,22,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-15,0.90011843848212558,0.099881561517874515,1,2,27,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-16,0.89297813144767879,0.10702186855232128,1,2,17,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-02-17,0.89103371966326139,0.10896628033673864,1,2,4,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-20,0.89454586863023355,0.10545413136976647,1,2,10,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-21,0.89624228588406418,0.10375771411593591,1,2,6,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-22,0.89428313769229872,0.10571686230770119,1,2,3,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-23,0.89359070210525449,0.10640929789474558,1,2,1,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-24,0.90064673896339931,0.099353261036600721,1,2,1,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-27,0.89722150310610527,0.10277849689389473,1,2,0,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-02-28,0.89659999740435314,0.10340000259564676,1,2,0,1,0,0,False,MARKET_WEAK_WARNING|RETAIN_ACTUAL_UNITS
2023-03-01,0.90150623647447825,0.098493763525521832,1,2,4,1,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
2023-03-02,0.90515964942434202,0.094840350575658081,1,2,9,2,0,0,False,TREND_OPEN|RETAIN_ACTUAL_UNITS
