symbol,support_pnl,main_pnl,difference
sh600206,48654.341899854742,-194289.12363619739,242943.46553605213
sh601869,2192079.2917999416,-122147.21077178366,2314226.5025717253
sh603986,2076.0242200274079,-57378.089703559963,59454.113923587371
sh688012,37140.535203464242,-17409.089441551874,54549.624645016112
sh688019,-384617.56615890714,-354761.01490319998,-29856.551255707163
sh688037,-51354.83782426946,-60885.37205903342,9530.5342347639598
sh688041,512877.70859041286,-190297.22115762587,703174.92974803876
sh688072,-11335.11948083917,-276295.58113039564,264960.46164955647
sh688082,-130292.69472905883,-49178.171628282573,-81114.523100776249
sh688120,-3933.0348645636768,0,-3933.0348645636768
sh688205,9549.7526050188462,-67829.363666450256,77379.116271469102
sh688249,-112550.70859225045,0,-112550.70859225045
sh688256,2233508.4254157888,1905933.6689645455,327574.7564512433
sh688268,-70254.739527632322,-34794.177013283894,-35460.562514348429
sh688361,-78386.20487664864,0,-78386.20487664864
sh688498,2441933.4372830614,789963.38846698636,1651970.0488160751
sh688535,-153396.04548952446,0,-153396.04548952446
sz002371,-145248.16992382542,4980.631037982359,-150228.80096180778
sz300308,991855.96350476518,452425.6203624988,539430.34314226639
sz300394,179540.0688942936,603878.68814475986,-424338.61925046623
sz300502,-56156.123101415607,4038377.3652661671,-4094533.4883675827
sz300776,-262195.04337743646,-219206.56261656477,-42988.480760871695
sh688300,0,176361.64592404748,-176361.64592404748
sz002281,0,-284385.5312564582,284385.5312564582
