date,symbol,signal,kind,price,stop,suspended_units
2023-07-12,sh688008,2023-07-12,RISK_ONLY_FULL_CUT,57.512999999999998,53.813000000000002,43820.765372468879
2023-07-18,sh688008,2023-07-12,TREND_INVALID,58.603000000000002,53.813000000000002,43820.765372468879
2024-03-27,sz300308,2024-03-27,RISK_ONLY_FULL_CUT,108.57299999999999,105.419,10646.538948616388
2024-03-27,sz300394,2024-03-27,RISK_ONLY_FULL_CUT,53.296999999999997,45.936899999999994,20318.384539147672
2024-04-17,sz300308,2024-03-27,ACTUAL_REACQUIRED,123.23699999999999,105.419,10646.538948616388
2024-04-22,sz300394,2024-03-27,ACTUAL_REACQUIRED,54.682000000000002,45.936899999999994,20318.384539147672
2024-05-24,sh688008,2024-05-24,RISK_ONLY_FULL_CUT,48.482999999999997,44.996000000000002,15985.268648099856
2024-05-24,sz300502,2024-05-24,RISK_ONLY_FULL_CUT,42.497,37.7258,48467.832381729204
2024-06-07,sz300502,2024-05-24,ACTUAL_REACQUIRED,45.466999999999999,37.7258,48467.832381729204
2024-07-23,sh688008,2024-05-24,TREND_INVALID,57.829000000000001,44.996000000000002,15985.268648099856
2024-12-31,sh603986,2024-12-31,RISK_ONLY_FULL_CUT,105.70999999999999,99.886499999999998,7772.6226529376145
2025-01-06,sh603986,2024-12-31,TREND_INVALID,98.450000000000003,99.886499999999998,7772.6226529376145
2025-02-28,sh603986,2025-02-28,RISK_ONLY_FULL_CUT,130.74000000000001,122.38,16330.428987027517
2025-02-28,sh688008,2025-02-28,RISK_ONLY_FULL_CUT,76.759,72.918500000000009,11260.438866192142
2025-03-11,sh603986,2025-02-28,TREND_INVALID,127.09,122.38,16330.428987027517
2025-03-21,sh688008,2025-02-28,TREND_INVALID,73.049000000000007,72.918500000000009,11260.438866192142
2025-09-04,sz300308,2025-09-04,RISK_ONLY_FULL_CUT,367.74000000000001,346.92200000000003,2326.283204507914
2025-09-26,sh603986,2025-09-26,RISK_ONLY_FULL_CUT,189.46000000000001,161.85900000000001,15260.557768924304
2025-09-26,sh688008,2025-09-26,RISK_ONLY_FULL_CUT,132.51599999999999,111.67699999999998,29159.718651268809
2025-10-14,sz300308,2025-09-04,TREND_INVALID,345.10000000000002,346.92200000000003,2326.283204507914
2025-10-31,sh688008,2025-09-26,TREND_INVALID,135.91399999999999,111.67699999999998,29159.718651268809
2025-11-14,sh603986,2025-09-26,TREND_INVALID,205.03,161.85900000000001,15260.557768924304
2025-11-21,sz300308,2025-11-21,RISK_ONLY_FULL_CUT,463.00999999999999,461.81999999999999,12024.536005247897
2025-11-24,sz300308,2025-11-21,TREND_INVALID,455.80000000000001,461.81999999999999,12024.536005247897
