date,symbol,signal,actual_units,target_units,stop,price,health,health_closes,entry,readmit,score,risk_cap,cash_fraction,occupied,cut,restoration_witness,held_symbols
2023-07-12,sh688008,2023-07-12,43820.765372468879,0,53.813000000000002,57.512999999999998,False,0,False,False,0.060054213342265308,0,0.45888534091090077,1,True,False,sh688008
2023-07-13,sh688008,2023-07-12,0,0,53.813000000000002,59.912999999999997,True,1,True,True,0.28969404028677775,0,1,0,False,False,
2023-07-14,sh688008,2023-07-12,0,0,53.813000000000002,60.423000000000002,True,2,True,True,0.26255123450517437,0,1,0,False,False,
2023-07-17,sh688008,2023-07-12,0,0,53.813000000000002,59.533000000000001,False,0,False,True,0.045300497005132404,0.5,1,0,False,False,
2024-03-27,sz300308,2024-03-27,10646.538948616388,0,105.419,108.57299999999999,False,0,False,False,1.0583592206616743,0,0.42703235945219392,2,True,False,sz300308 sz300394
2024-03-27,sz300394,2024-03-27,20318.384539147672,0,45.936899999999994,53.296999999999997,False,0,False,False,2.2075967313958844,0,0.42703235945219392,2,True,False,sz300308 sz300394
2024-03-28,sz300308,2024-03-27,0,0,105.419,108.925,False,0,False,True,1.0634749943077517,0,1,0,False,False,
2024-03-28,sz300394,2024-03-27,0,0,45.936899999999994,53.595999999999997,False,0,False,True,2.5721317561597004,0,1,0,False,False,
2024-03-29,sz300308,2024-03-27,0,0,105.419,110.26900000000001,False,0,False,True,0.959057413213253,0,1,0,False,False,
2024-03-29,sz300394,2024-03-27,0,0,45.936899999999994,53.396000000000001,False,0,False,True,2.6245715594528778,0,1,0,False,False,
2024-04-01,sz300308,2024-03-27,0,0,105.419,114.896,False,0,False,True,1.1693422584637894,0,1,0,False,False,
2024-04-01,sz300394,2024-03-27,0,0,45.936899999999994,57.758000000000003,True,1,True,True,2.5571473204260524,0,1,0,False,False,
2024-04-02,sz300308,2024-03-27,0,0,105.419,114.57299999999999,True,1,False,True,1.5367116524613385,0,1,0,False,False,
2024-04-02,sz300394,2024-03-27,0,0,45.936899999999994,56.970999999999997,True,2,False,True,2.7761623421351067,0,1,0,False,False,
2024-04-03,sz300308,2024-03-27,0,0,105.419,109.938,False,0,False,True,1.093817197705264,0,1,0,False,False,
