date,symbol,signal,kind,price,stop,suspended_units
2023-03-07,sh688037,2023-03-07,RISK_ONLY_FULL_CUT,102.09099999999999,92.018299999999996,6171.7090194348057
2023-03-07,sh688256,2023-03-07,RISK_ONLY_FULL_CUT,57.972999999999999,49.195,11385.838909645365
2023-03-13,sh688037,2023-03-07,ACTUAL_REACQUIRED,109.152,92.018299999999996,6171.7090194348057
2023-03-13,sh688256,2023-03-07,ACTUAL_REACQUIRED,63.274999999999999,49.195,11385.838909645365
2024-03-25,sh688012,2024-03-25,RISK_ONLY_FULL_CUT,104.545,94.395599999999988,6199.8406132594591
2024-03-25,sz002371,2024-03-25,RISK_ONLY_FULL_CUT,232.542,208.58159999999998,5456.5128615604863
2024-04-10,sh688012,2024-03-25,TREND_INVALID,95.329999999999998,94.395599999999988,6199.8406132594591
2024-04-29,sz002371,2024-03-25,ACTUAL_REACQUIRED,237.13399999999999,208.58159999999998,5456.5128615604863
2024-06-24,sh688008,2024-06-24,RISK_ONLY_FULL_CUT,56.158999999999999,50.335999999999999,20935.82456614482
2024-06-24,sh688300,2024-06-24,RISK_ONLY_FULL_CUT,38.023000000000003,35.59825,35851.342273249458
2024-06-25,sh688300,2024-06-24,TREND_INVALID,36.039000000000001,35.59825,35851.342273249458
2024-07-12,sh688008,2024-06-24,ACTUAL_REACQUIRED,62.689,50.335999999999999,20935.82456614482
2024-07-23,sz002371,2024-07-23,RISK_ONLY_FULL_CUT,247.023,236.11940000000001,4073.7678179928544
2024-08-05,sz002371,2024-07-23,TREND_INVALID,237.56399999999999,236.11940000000001,4073.7678179928544
2024-12-31,sh688205,2024-12-31,RISK_ONLY_FULL_CUT,69.668999999999997,57.319399999999995,5650.5825842218792
2024-12-31,sh688256,2024-12-31,RISK_ONLY_FULL_CUT,440.60399999999998,379.53470000000004,3846.5472378245686
2025-01-16,sh688256,2024-12-31,ACTUAL_REACQUIRED,397.65100000000001,379.53470000000004,3846.5472378245686
2025-01-21,sh688205,2024-12-31,ACTUAL_REACQUIRED,71.531000000000006,57.319399999999995,5650.5825842218792
2025-09-04,sh601869,2025-09-04,RISK_ONLY_FULL_CUT,85.704999999999998,75.560299999999998,31802.365111534207
2025-09-04,sh688498,2025-09-04,RISK_ONLY_FULL_CUT,249.941,208.68940000000001,5067.6511120617797
2025-10-14,sh601869,2025-09-04,TREND_INVALID,84.885000000000005,75.560299999999998,31802.365111534207
2025-10-14,sh603986,2025-10-14,RISK_ONLY_FULL_CUT,195.25,184.393,6022.3593760551012
2025-10-14,sh688041,2025-10-14,RISK_ONLY_FULL_CUT,227.36000000000001,213.7415,6990.7321246745523
2025-10-29,sh688498,2025-09-04,ACTUAL_REACQUIRED,350.71300000000002,208.68940000000001,5067.6511120617797
2025-11-03,sh688041,2025-10-14,TREND_INVALID,225.93000000000001,213.7415,6990.7321246745523
2025-11-14,sh603986,2025-10-14,TREND_INVALID,205.03,184.393,6022.3593760551012
