scope,policy,window,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
union,completion,full,MEASURED,2023-01-03,2026-09-11,896,8.6574644984217137,7.6574644984217137,0.79548224039142656,0.31380933931943267,0.31380933931943267,1.7809458397295324,171,46.368040089086861,37.257469354654297,130578.32843320962,240436.11331858317,0.43582325178740611,1
union,completion,bull,MEASURED,2023-01-03,2026-06-30,843,9.9816801649571989,8.9816801649571989,0.93404750617315568,0.31380933931943267,0.31380933931943267,1.9557592108139785,161,46.157967032967029,35.191201073811335,108845.99597593551,204012.75372837577,0.45889067157570507,1
union,completion,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.89372867045853199,-0.10627132954146801,-0.44358572706394328,0.16440470670362495,0.16440470670362495,-1.9071832420995258,10,52.178571428571431,2.0662682808429587,21732.332457274122,36423.359590207401,0.17637722506538744,0
union,completion,july_august,MEASURED,2026-07-01,2026-08-31,44,0.86733539397661474,-0.13266460602338526,-0.57353596571268473,0.14488908704113734,0.16440470670362495,-4.4489409699840028,10,59.877049180327873,2.0662682808429587,21732.332457274122,36423.359590207401,0.08301812416355922,0
union,completion,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.8842089259724097,0.88420892597240974,1.5326656693137637,0.16440470670362495,0.19190582447115556,2.4355402450998658,27,39.605421686746986,5.7998018394268707,43702.905004841923,78420.419818681359,0.51092586191842337,1
union,incumbent,full,MEASURED,2023-01-03,2026-09-11,896,5.624793276481121,4.624793276481121,0.59734046278848907,0.32071953227003402,0.32071953227003402,1.4351728970883484,202,54.773942093541208,50.81685661872077,137485.89245067883,250145.5218672656,0.4500943139387556,2
union,incumbent,bull,MEASURED,2023-01-03,2026-06-30,843,7.1663188557611406,6.1663188557611406,0.75877185026224292,0.32071953227003402,0.32071953227003402,1.6742679189194838,194,55.618916797488225,49.096161189618932,124489.58406997149,228813.12308990658,0.47199990637135908,2
union,incumbent,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.8296000943510129,-0.1703999056489871,-0.62271551090958588,0.22609289602969129,0.22609289602969129,-2.571994604082013,8,41.742857142857147,1.7206954291018408,12996.308380707347,21332.39877735902,0.21588888414326651,0
union,incumbent,july_august,MEASURED,2026-07-01,2026-08-31,44,0.78489296802070729,-0.21510703197929271,-0.76549292843076844,0.21588422439297672,0.22609289602969129,-5.7274062534868602,8,47.9016393442623,1.7206954291018408,12996.308380707347,21332.39877735902,0.12246782313793925,0
union,incumbent,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.3986691955666295,0.3986691955666295,0.63585425548137908,0.22609289602969129,0.24059792345302289,1.3872165637401359,27,39.605421686746986,7.1574226513244739,37117.099640755783,68172.919267238249,0.49575068420780516,1
