candidate,scope,control,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
0,union,price,MEASURED,2023-01-03,2025-12-31,727,4.2925304111096247,3.2925304111096247,0.6271781287074838,0.30690542661787523,0.30690542661787523,1.342775841099713,126,42.105672461116193,40.722646936691923,88513.66318207825,160990.07952610086,0.53336257226719908,5,0,-0.49643006392753669
0,chatgpt_5,price,MEASURED,2023-01-03,2025-12-31,727,9.63962093856561,8.63962093856561,1.1322851745424569,0.45229306511853384,0.45229306511853384,1.7841191575193978,119,39.766468435498631,37.398022364488298,170492.54027728492,308377.59224523755,0.5307851630046706,11,0.36751338349058882,-1.0587594968228735
0,joint_optical_leader_removal,price,MEASURED,2023-01-03,2025-12-31,727,0.79154838721108722,-0.20845161278891278,-0.075144226171698469,0.53785349430535923,0.53785349430535923,-0.033255092482899602,150,50.125800548947851,52.301765276595731,52123.450510326853,90668.437259540617,0.4818104314698119,9,0.95569887282163368,-1.8117395246925125
1,union,support,MEASURED,2023-01-03,2025-12-31,727,4.5947476307351298,3.5947476307351298,0.66459776315098273,0.31380933931943267,0.31380933931943267,1.6106545338157894,144,48.120768526989941,31.457667515227424,86875.423428367707,162015.69349990183,0.41836473581472128,0,0,-0.44560075734075005
1,chatgpt_5,support,MEASURED,2023-01-03,2025-12-31,727,4.4257475069983316,3.4257475069983316,0.64388202847207521,0.30532145206905426,0.30532145206905426,1.5724517213609548,122,40.768984446477589,29.66927635595011,67371.843145006118,122238.69053128656,0.36720312317348863,4,0.21789843118168037,-1.7289784128531394
1,joint_optical_leader_removal,support,MEASURED,2023-01-03,2025-12-31,727,2.9526304423873229,1.9526304423873229,0.435921554757011,0.35936686353206737,0.35936686353206737,1.2636006104401125,152,50.794144556267156,34.431121145260995,61893.409513581755,112130.50781520187,0.4180724941439567,5,0,-0.36275052322451784
2,union,funded,MEASURED,2023-01-03,2025-12-31,727,4.0220616477573028,3.0220616477573028,0.59217148204000836,0.25878788434586975,0.25878788434586975,1.5843192698326516,252,84.211344922232385,30.146853699530087,62824.861888717809,116865.53887641589,0.4422711802407876,72,0.43999999999999995,-0.60963503174797296
2,chatgpt_5,funded,MEASURED,2023-01-03,2025-12-31,727,4.6705397049212163,3.6705397049212163,0.6737235791378926,0.29404642777453072,0.29404642777453072,1.745996344857617,226,75.522872827081429,26.896303694307779,62474.676698772331,111331.35611392095,0.37636084708690565,47,0.89915966386554613,-1.7361944802129179
2,joint_optical_leader_removal,funded,MEASURED,2023-01-03,2025-12-31,727,3.2442118555439499,2.2442118555439499,0.48183001662759306,0.35673962275969717,0.35673962275969717,1.4029606453416814,260,86.884720951509607,32.982392605360921,58295.509254044402,105395.49701458118,0.4501233485581238,75,0.45251396648044695,-0.3387852528581094
3,union,cushion,MEASURED,2023-01-03,2025-12-31,727,1.8900794164767774,0.89007941647677735,0.23706321531175867,0.1938965514957498,0.1938965514957498,1.1481907040653663,174,58.145928636779509,13.065816159875858,25177.893894693789,42756.310907937026,0.17993948902618492,50,0.75504413913530399,-1.2640114709211436
3,chatgpt_5,cushion,MEASURED,2023-01-03,2025-12-31,727,2.9071715972067778,1.9071715972067778,0.42849564735015155,0.18343583462318458,0.18343583462318458,1.6118386938468892,152,50.794144556267156,11.563978014588688,26935.663440199973,43397.579722878836,0.16992789376277889,40,0.63815697470854083,-2.0778730635151765
3,joint_optical_leader_removal,cushion,MEASURED,2023-01-03,2025-12-31,727,1.6052694893671438,0.60526948936714375,0.17135455509043629,0.20130045448782663,0.20130045448782663,0.93909554990170052,165,55.138380603842634,12.583188297501362,23534.372089237415,38015.954474081824,0.16279037588717149,53,0.24864295621482282,-0.86229398833234172
