candidate,scope,risk_budget,positions,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
0,union,0.059999999999999998,2,MEASURED,2023-01-03,2025-12-31,727,2.930088452685903,1.930088452685903,0.43224880747867944,0.19646258642231407,0.19646258642231407,1.5894128646199173,136,45.44739249771272,20.015352144043813,39216.696667784818,71942.647113856568,0.2768834483825271,4,0.31663037542064171,-0.80212516112327115
0,chatgpt_5,0.059999999999999998,2,MEASURED,2023-01-03,2025-12-31,727,3.4998580028076267,2.4998580028076267,0.51986992182603742,0.21513586549847274,0.21513586549847274,1.6460996421922007,104,34.753888380603847,19.035119991043494,36011.078150535301,63659.772064028359,0.26303962648592366,1,0.45261522646407315,-1.8840258260758482
0,joint_optical_leader_removal,0.059999999999999998,2,MEASURED,2023-01-03,2025-12-31,727,2.2155044826254322,1.2155044826254322,0.30450960764589774,0.32520872857766525,0.32520872857766525,1.1715620359584566,138,46.115736505032025,25.021672851798805,37938.124182787069,68380.116718471632,0.30655115232159769,1,0,-0.61499141937987922
1,union,0.059999999999999998,4,MEASURED,2023-01-03,2025-12-31,727,2.1144037481762452,1.1144037481762452,0.28430655389163895,0.23228860565044696,0.23228860565044696,1.1626869313987496,260,86.884720951509607,27.116580008881783,42581.442587538775,78144.963688760399,0.32552665714756751,4,0.64289012962733927,-1.2381290866586618
1,chatgpt_5,0.059999999999999998,4,MEASURED,2023-01-03,2025-12-31,727,2.3881660521957375,1.3881660521957375,0.33763793998166336,0.2349916590803125,0.2349916590803125,1.2884757783909513,133,44.444876486733762,17.733041752961835,25038.326790707895,45394.27912642702,0.2591558193767427,1,0.83481189430183778,-2.3004963153122522
1,joint_optical_leader_removal,0.059999999999999998,4,MEASURED,2023-01-03,2025-12-31,727,1.8101519133657469,0.81015191336574688,0.21932968180423384,0.26663329476475228,0.26663329476475228,0.97830787423251075,234,78.19624885635865,27.563514772104789,39536.648630208729,72737.991228980813,0.33773676704982714,5,0.3072625698324023,-0.83729023188801055
2,union,0.10000000000000001,2,MEASURED,2023-01-03,2025-12-31,727,3.9519140181845738,2.9519140181845738,0.58283758343851821,0.30597061798653746,0.30597061798653746,1.5172256894861382,176,58.814272644098814,30.607969653560492,74585.732400826761,137855.20025647353,0.38358612642464041,25,0.017462963507250098,-0.61182253317581914
2,chatgpt_5,0.10000000000000001,2,MEASURED,2023-01-03,2025-12-31,727,4.2377353602498662,3.2377353602498662,0.62020724285830919,0.30598943016980829,0.30598943016980829,1.5338561198663478,141,47.118252516010983,29.287462692495691,65923.676036577628,119346.4144806176,0.35974425763140078,17,0.26130861010402695,-1.785588111490118
2,joint_optical_leader_removal,0.10000000000000001,2,MEASURED,2023-01-03,2025-12-31,727,2.9921518735220332,1.9921518735220332,0.44231594415390219,0.35674104385070426,0.35674104385070426,1.2853660541129508,180,60.150960658737425,33.845858978456207,61870.859411862191,111716.69397067135,0.39141251485424527,30,0.0055865921787709993,-0.36619842040838035
3,union,0.10000000000000001,4,MEASURED,2023-01-03,2025-12-31,727,3.1597095766995928,2.1597095766995928,0.46881836756720263,0.28919970203158096,0.28919970203158096,1.3177595847531143,319,106.6008691674291,41.00822770102625,81100.225606558568,149638.09967089645,0.44309794200823699,39,0.82285714285714295,-0.91853744510549173
3,chatgpt_5,0.10000000000000001,4,MEASURED,2023-01-03,2025-12-31,727,2.8920941073995436,1.8920941073995436,0.42601560710840003,0.29746842733621726,0.29746842733621726,1.2401793295919055,187,62.490164684354987,27.031271954088091,43040.756644462752,78756.803618584978,0.36005176890804919,38,0.64335677914836764,-2.1919893527459533
3,joint_optical_leader_removal,0.10000000000000001,4,MEASURED,2023-01-03,2025-12-31,727,3.0111479782256496,2.0111479782256496,0.44536942881027075,0.26126154998705786,0.26126154998705786,1.286538225178705,298,99.583257090576396,40.329247372357933,73031.877755275098,134297.24076480512,0.46729187078298395,52,0.66480446927374293,-0.36712481739964792
