scope,policy,window,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
union,observed_trend,full,MEASURED,2023-01-03,2026-09-11,896,5.5983746012659079,4.5983746012659079,0.59530262636962528,0.48103492808651727,0.48103492808651727,1.3319402090008734,219,59.383630289532299,51.002128843438186,147577.19300252385,276503.06403955858,0.71095001159705273,3
union,observed_trend,bull,MEASURED,2023-01-03,2026-06-30,843,8.2885309632893733,7.2885309632893733,0.83367910511825283,0.48103492808651727,0.48103492808651727,1.6845303476455602,189,54.185439560439562,43.606020160877961,98303.587333898889,182835.04385312463,0.72316241224077626,3
union,observed_trend,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.69937929132001198,-0.30062070867998802,-0.84521338216418895,0.37998847015633797,0.37998847015633797,-3.0485412541151162,32,166.97142857142859,7.7125772037504774,51860.068761729293,98787.773920963722,0.59186938004586542,0
union,observed_trend,july_august,MEASURED,2026-07-01,2026-08-31,44,0.65498490206658022,-0.34501509793341978,-0.92063168012231911,0.3560561344046792,0.37998847015633797,-4.5586162913661834,30,179.63114754098362,7.3961086825602269,49273.605668624958,93668.020186433976,0.53166272438129214,0
union,observed_trend,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.4984669913885289,0.4984669913885289,0.80988564493666049,0.39161418234151579,0.39161418234151579,1.4628980690920674,57,83.611445783132524,13.647977222227624,78318.731589884585,152945.30177989393,0.7857937239230649,0
union,incumbent,full,MEASURED,2023-01-03,2026-09-11,896,5.624793276481121,4.624793276481121,0.59734046278848907,0.32071953227003402,0.32071953227003402,1.4351728970883484,202,54.773942093541208,50.81685661872077,137485.89245067883,250145.5218672656,0.4500943139387556,2
union,incumbent,bull,MEASURED,2023-01-03,2026-06-30,843,7.1663188557611406,6.1663188557611406,0.75877185026224292,0.32071953227003402,0.32071953227003402,1.6742679189194838,194,55.618916797488225,49.096161189618932,124489.58406997149,228813.12308990658,0.47199990637135908,2
union,incumbent,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.8296000943510129,-0.1703999056489871,-0.62271551090958588,0.22609289602969129,0.22609289602969129,-2.571994604082013,8,41.742857142857147,1.7206954291018408,12996.308380707347,21332.39877735902,0.21588888414326651,0
union,incumbent,july_august,MEASURED,2026-07-01,2026-08-31,44,0.78489296802070729,-0.21510703197929271,-0.76549292843076844,0.21588422439297672,0.22609289602969129,-5.7274062534868602,8,47.9016393442623,1.7206954291018408,12996.308380707347,21332.39877735902,0.12246782313793925,0
union,incumbent,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.3986691955666295,0.3986691955666295,0.63585425548137908,0.22609289602969129,0.24059792345302289,1.3872165637401359,27,39.605421686746986,7.1574226513244739,37117.099640755783,68172.919267238249,0.49575068420780516,1
