scope,policy,window,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
union,coherent,full,MEASURED,2023-01-03,2026-09-11,896,1.4698983585789329,0.46989835857893292,0.11009798064737231,0.39045667508818849,0.39045667508818849,0.52999435480795198,222,60.197104677060139,41.090008420944542,51743.512222695856,96479.352762137205,0.33287347619006741,291
union,coherent,bull,MEASURED,2023-01-03,2026-06-30,843,2.0277679983024286,1.0277679983024286,0.22467467959058984,0.39045667508818849,0.39045667508818849,0.91944892845751447,195,55.905612244897959,36.612237818345527,43968.354772101149,82292.219153840706,0.34219889154844524,290
union,coherent,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.78062669253826722,-0.21937330746173278,-0.72534657915465117,0.28773378822708728,0.28773378822708728,-2.6577434816671501,27,140.88214285714287,4.4777706025990218,7775.1574505947056,14187.133608296484,0.30146855315271998,3
union,coherent,july_august,MEASURED,2026-07-01,2026-08-31,44,0.72488487825504533,-0.27511512174495467,-0.85434270377587662,0.28773378822708728,0.28773378822708728,-4.5296406144120462,27,161.66803278688525,4.4777706025990218,7775.1574505947056,14187.133608296484,0.22229475206729693,1
union,coherent,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,0.93643003696325411,-0.063569963036745891,-0.091848932370195091,0.28773378822708728,0.28773378822708728,-0.11877864915609786,54,79.210843373493972,10.050233645691611,16951.796025747979,32235.551667152278,0.35293174722645282,73
union,incumbent,full,MEASURED,2023-01-03,2026-09-11,896,5.624793276481121,4.624793276481121,0.59734046278848907,0.32071953227003402,0.32071953227003402,1.4351728970883484,202,54.773942093541208,50.81685661872077,137485.89245067883,250145.5218672656,0.4500943139387556,2
union,incumbent,bull,MEASURED,2023-01-03,2026-06-30,843,7.1663188557611406,6.1663188557611406,0.75877185026224292,0.32071953227003402,0.32071953227003402,1.6742679189194838,194,55.618916797488225,49.096161189618932,124489.58406997149,228813.12308990658,0.47199990637135908,2
union,incumbent,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.8296000943510129,-0.1703999056489871,-0.62271551090958588,0.22609289602969129,0.22609289602969129,-2.571994604082013,8,41.742857142857147,1.7206954291018408,12996.308380707347,21332.39877735902,0.21588888414326651,0
union,incumbent,july_august,MEASURED,2026-07-01,2026-08-31,44,0.78489296802070729,-0.21510703197929271,-0.76549292843076844,0.21588422439297672,0.22609289602969129,-5.7274062534868602,8,47.9016393442623,1.7206954291018408,12996.308380707347,21332.39877735902,0.12246782313793925,0
union,incumbent,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.3986691955666295,0.3986691955666295,0.63585425548137908,0.22609289602969129,0.24059792345302289,1.3872165637401359,27,39.605421686746986,7.1574226513244739,37117.099640755783,68172.919267238249,0.49575068420780516,1
union,buy_hold,full,MEASURED,2023-01-03,2026-09-11,896,9.102309123301799,8.102309123301799,0.82004341695566207,0.39879079738928846,0.39879079738928846,1.5625991522648812,32,8.6770601336302899,0.88683408344639536,474.07093974239996,1821.5282399998109,0.94533648200398601,0
union,buy_hold,bull,MEASURED,2023-01-03,2026-06-30,843,12.567154542540663,11.567154542540663,1.0660757049222118,0.39879079738928846,0.39879079738928846,1.9278460774233446,32,9.1742543171114601,0.88683408344639536,474.07093974239996,1821.5282399998109,0.94249007340290691,0
union,buy_hold,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.77178534306764857,-0.22821465693235143,-0.74119482984447771,0.38517880585239428,0.38517880585239428,-1.2986909694837672,0,0,0,0,0,0.99098214404370777,0
union,buy_hold,july_august,MEASURED,2026-07-01,2026-08-31,44,0.72401221433353424,-0.27598778566646576,-0.85538951140308184,0.38517880585239428,0.38517880585239428,-1.9430046406423647,0,0,0,0,0,0.99071179167145196,0
union,buy_hold,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.6982733927795366,0.69827339277953659,1.1746565350167923,0.38517880585239428,0.38517880585239428,1.6532433680954879,0,0,0,0,0,0.98837651571565999,0
chatgpt_5,coherent,full,MEASURED,2023-01-03,2026-09-11,896,18.174905405677691,17.174905405677691,1.1954124080794939,0.28955582210680786,0.28955582210680786,2.2591702920559316,115,31.183184855233854,44.198913368644803,229850.44514876703,411588.65046694997,0.34641625810022603,51
chatgpt_5,coherent,bull,MEASURED,2023-01-03,2026-06-30,843,18.174905405677691,17.174905405677691,1.2965977456086337,0.28955582210680786,0.28955582210680786,2.3305899281283393,115,32.969976452119312,44.198913368644803,229850.44514876703,411588.65046694997,0.36819569069727465,51
chatgpt_5,coherent,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,1,0,0,0,0.061897980196640057,0,0,0,0,0,0,0,0
chatgpt_5,coherent,july_august,MEASURED,2026-07-01,2026-08-31,44,1,0,0,0,0.061897980196640057,0,0,0,0,0,0,0,0
chatgpt_5,coherent,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,2.1888618610390358,1.1888618610390358,2.1554059224114792,0.103583012300132,0.17382635386344103,3.2185382044630626,11,16.1355421686747,4.7498499875727189,66097.984023690573,115029.71691265091,0.38972281404170789,0
chatgpt_5,incumbent,full,MEASURED,2023-01-03,2026-09-11,896,10.824786016250098,9.8247860162500977,0.90761710339422952,0.33074123484192319,0.33074123484192319,1.8291212622392257,139,37.690979955456569,37.63808598344847,131124.02927106948,238642.22168344088,0.41998793683975266,0
chatgpt_5,incumbent,bull,MEASURED,2023-01-03,2026-06-30,843,12.674859334295363,11.674859334295363,1.0711367716760338,0.33074123484192319,0.33074123484192319,2.0118520004818321,135,38.703885400313972,36.642303594506132,114703.68876454077,217014.88315210733,0.44413783646273047,0
chatgpt_5,incumbent,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.9543808965625763,-0.045619103437423703,-0.21622587113597158,0.14808319410717463,0.14808319410717463,-0.47401449857937372,4,20.871428571428574,0.99578238894234317,16420.340506528708,21627.338531333571,0.17418845916385378,0
chatgpt_5,incumbent,july_august,MEASURED,2026-07-01,2026-08-31,44,0.85403598815180726,-0.14596401184819274,-0.61122391978896484,0.14596401184819274,0.14808319410717463,-3.825694734453895,4,23.95081967213115,0.99578238894234317,16420.340506528708,21627.338531333571,0.043204437962194669,0
chatgpt_5,incumbent,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.966982972195819,0.96698297219581897,1.6975316146864752,0.14808319410717463,0.14808319410717463,2.4218988733282232,20,29.337349397590362,5.3951162925147678,40761.619362184872,70630.876555274168,0.52544203393884981,0
chatgpt_5,buy_hold,full,MEASURED,2023-01-03,2026-09-11,896,29.062957034788582,28.062957034788582,1.4934259927879689,0.52389470066915012,0.52389470066915012,1.7393530233000127,5,1.3557906458797329,0.98814178338111769,516.52227626999991,1984.6394999998079,0.99724082600483832,0
chatgpt_5,buy_hold,bull,MEASURED,2023-01-03,2026-06-30,843,39.796158989151714,38.796158989151714,1.8751941515179715,0.52389470066915012,0.52389470066915012,1.9944040398217622,5,1.4334772370486657,0.98814178338111769,516.52227626999991,1984.6394999998079,0.99708093580713986,0
chatgpt_5,buy_hold,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.68524325063414127,-0.31475674936585873,-0.86085697431624042,0.40873774998763113,0.40873774998763113,-1.6564595264005573,0,0,0,0,0,0.9997938545356736,0
chatgpt_5,buy_hold,july_august,MEASURED,2026-07-01,2026-08-31,44,0.6997402281714078,-0.3002597718285922,-0.88209626367396099,0.38603879309600231,0.40873774998763113,-1.7722400381276302,0,0,0,0,0,0.99978701618665378,0
chatgpt_5,buy_hold,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.5274136220909411,0.52741362209094111,0.86140141485138355,0.40873774998763113,0.40873774998763113,1.2549657243711618,0,0,0,0,0,0.9997488072187739,0
joint_optical_leader_removal,coherent,full,MEASURED,2023-01-03,2026-09-11,896,1.266266292879269,0.26626629287926895,0.066106275504089984,0.46604994223262219,0.46604994223262219,0.39543592135064459,210,56.943207126948778,38.898855503687258,39195.931698660213,72260.601538991818,0.31584233131936862,250
joint_optical_leader_removal,coherent,bull,MEASURED,2023-01-03,2026-06-30,843,1.6219121846601861,0.62191218466018605,0.1487192030528246,0.46604994223262219,0.46604994223262219,0.72139506820315058,192,55.045525902668757,35.799890338025477,34386.078180479068,64055.571704235474,0.32832874148639113,245
joint_optical_leader_removal,coherent,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.94884599145742987,-0.051154008542570129,-0.23965523134828537,0.2244808059681227,0.2244808059681227,-0.53088031571096383,20,104.35714285714286,3.8291598833190381,6008.7626422611438,10543.137834756277,0.2513329544952736,5
joint_optical_leader_removal,coherent,july_august,MEASURED,2026-07-01,2026-08-31,44,0.7807243233360196,-0.2192756766639804,-0.7728524749735084,0.2244808059681227,0.2244808059681227,-5.2422057275821583,18,107.77868852459017,3.0989651656617827,4809.853518181144,8205.0298347563403,0.14121817702560421,5
joint_optical_leader_removal,coherent,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.6413939984794002,0.64139399847940015,1.0686580892635615,0.2244808059681227,0.33665114219915182,2.2372038004441532,50,73.343373493975903,9.451138433076455,11601.30363616576,21723.435193772399,0.3775259457711494,7
joint_optical_leader_removal,incumbent,full,MEASURED,2023-01-03,2026-09-11,896,2.2469342641014705,1.2469342641014705,0.24547950714571032,0.45868856203280373,0.45868856203280373,0.78419119368917622,209,56.672048997772833,58.398828962733695,96134.902572883861,175046.21712789356,0.44249773222322275,3
joint_optical_leader_removal,incumbent,bull,MEASURED,2023-01-03,2026-06-30,843,2.887964545814182,1.887964545814182,0.35534415939049246,0.45868856203280373,0.45868856203280373,1.0065389938490639,201,57.625784929356357,56.699684061471707,91027.236629533785,166634.011381494,0.46397084443435122,3
joint_optical_leader_removal,incumbent,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.85896527746127227,-0.14103472253872773,-0.54762962420418071,0.22953536147566744,0.22953536147566744,-1.9517800039637789,8,41.742857142857147,1.6991449012619899,5107.6659433500854,8412.2057463995588,0.21265785851557753,0
joint_optical_leader_removal,incumbent,july_august,MEASURED,2026-07-01,2026-08-31,44,0.77803388111470362,-0.22196611888529638,-0.77749937243844147,0.2227363689008337,0.22953536147566744,-5.7027024165334748,8,47.9016393442623,1.6991449012619899,5107.6659433500854,8412.2057463995588,0.12160332304203511,0
joint_optical_leader_removal,incumbent,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.0915864894724479,0.091586489472447852,0.1371722803669857,0.22953536147566744,0.22953536147566744,0.52473693736048688,30,44.006024096385545,8.6391448519874103,20708.773428627919,38913.050712702468,0.38916306840749959,2
joint_optical_leader_removal,buy_hold,full,MEASURED,2023-01-03,2026-09-11,896,5.7160804604789961,4.7160804604789961,0.60432875529422159,0.45691302126687872,0.45691302126687872,1.3650959739068824,31,8.4059020044543438,0.90367175436035585,489.59915224219998,1881.192469999799,0.93156371652550729,6
joint_optical_leader_removal,buy_hold,bull,MEASURED,2023-01-03,2026-06-30,843,8.0043822424150015,7.0043822424150015,0.81543194617431336,0.45691302126687872,0.45691302126687872,1.761519352437402,31,8.887558869701726,0.90367175436035585,489.59915224219998,1881.192469999799,0.92788168255753978,6
joint_optical_leader_removal,buy_hold,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.84706042147418492,-0.15293957852581508,-0.5794016303188636,0.405973386666168,0.405973386666168,-0.72818335405009882,0,0,0,0,0,0.99047548052510392,0
joint_optical_leader_removal,buy_hold,july_august,MEASURED,2026-07-01,2026-08-31,44,0.73657816272169974,-0.26342183727830026,-0.83969554551927306,0.405973386666168,0.405973386666168,-1.8773473945909409,0,0,0,0,0,0.9902042958775461,0
joint_optical_leader_removal,buy_hold,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.8756397503914748,0.87563975039147479,1.5157878222755188,0.405973386666168,0.405973386666168,1.9550854182261992,1,1.4668674698795181,0.010165455651024528,16.712879583399999,64.216089999992164,0.98714232155442694,0
