date,symbol,pnl,carry,execution,units_before,units_after
2023-02-07,sz300308,28280.314076197847,0,28280.314076197847,0,32192.358867135525
2023-02-07,sz300394,46673.200992701786,0,46673.200992701786,0,67194.328691940231
2023-02-07,sz300502,55839.80957761834,0,55839.80957761834,0,75154.348573392912
2023-02-08,sz300308,-16900.988405246218,-16900.988405246218,0,32192.358867135525,32192.358867135525
2023-02-08,sz300394,-36016.160178879938,-36016.160178879938,0,67194.328691940231,67194.328691940231
2023-02-08,sz300502,-10070.682708834676,-10070.682708834676,0,75154.348573392912,75154.348573392912
2023-02-09,sz300308,48127.576506367644,48127.576506367644,0,32192.358867135525,32192.358867135525
2023-02-09,sz300394,85202.408781380262,85202.408781380262,0,67194.328691940231,67194.328691940231
2023-02-09,sz300502,93642.318322447594,93642.318322447594,0,75154.348573392912,75154.348573392912
2023-02-10,sz300308,-5311.7392130773342,-5311.7392130773342,0,32192.358867135525,32192.358867135525
2023-02-10,sz300394,68605.409594470912,68605.409594470912,0,67194.328691940231,67194.328691940231
2023-02-10,sz300502,12625.930560329954,12625.930560329954,0,75154.348573392912,75154.348573392912
2023-02-13,sz300308,23822.345561680238,23822.345561680238,0,32192.358867135525,32192.358867135525
2023-02-13,sz300394,72502.680658603553,72502.680658603553,0,67194.328691940231,67194.328691940231
2023-02-13,sz300502,34495.845995187454,34495.845995187454,0,75154.348573392912,75154.348573392912
2023-02-14,sz300308,-19218.838243679951,-19218.838243679951,0,32192.358867135525,32192.358867135525
2023-02-14,sz300394,-57787.12267506856,-57787.12267506856,0,67194.328691940231,67194.328691940231
2023-02-14,sz300502,-37276.556892402914,-37276.556892402914,0,75154.348573392912,75154.348573392912
2023-02-15,sz300308,14583.138566812488,14583.138566812488,0,32192.358867135525,32192.358867135525
2023-02-15,sz300394,31312.557170444099,31312.557170444099,0,67194.328691940231,67194.328691940231
2023-02-15,sz300502,18938.895840495064,18938.895840495064,0,75154.348573392912,75154.348573392912
2023-02-16,sz300308,-17126.3349173161,-17126.3349173161,0,32192.358867135525,32192.358867135525
2023-02-16,sz300394,-45759.337839211243,-45759.337839211243,0,67194.328691940231,67194.328691940231
2023-02-16,sz300502,-43063.441732554165,-43063.441732554165,0,75154.348573392912,75154.348573392912
2023-02-17,sz300308,-39081.523664702596,-39081.523664702596,0,32192.358867135525,32192.358867135525
2023-02-17,sz300394,-26205.788189856728,-26205.788189856728,0,67194.328691940231,67194.328691940231
2023-02-17,sz300502,-17510.963217600591,-17510.963217600591,0,75154.348573392912,75154.348573392912
2023-02-20,sz300308,19669.531267819828,19669.531267819828,0,32192.358867135525,32192.358867135525
2023-02-20,sz300394,34269.107632889507,34269.107632889507,0,67194.328691940231,67194.328691940231
2023-02-20,sz300502,11799.232726022688,11799.232726022688,0,75154.348573392912,75154.348573392912
2023-02-21,sz300308,-11106.363809161719,-11106.363809161719,0,32192.358867135525,32192.358867135525
2023-02-21,sz300394,2956.5504624454024,2956.5504624454024,0,67194.328691940231,67194.328691940231
2023-02-21,sz300502,-11799.232726022688,-11799.232726022688,0,75154.348573392912,75154.348573392912
2023-02-22,sz300308,-482.88538300705119,-482.88538300705119,0,32192.358867135525,32192.358867135525
2023-02-22,sz300394,-24794.707287325931,-24794.707287325931,0,67194.328691940231,67194.328691940231
2023-02-22,sz300502,3832.8717772430505,3832.8717772430505,0,75154.348573392912,75154.348573392912
2023-02-23,sz300308,-4603.5073180004019,-4603.5073180004019,0,32192.358867135525,32192.358867135525
2023-02-23,sz300394,-739.1376156114103,-739.1376156114103,0,67194.328691940231,67194.328691940231
2023-02-23,sz300502,-8717.9044345135517,-8717.9044345135517,0,75154.348573392912,75154.348573392912
2023-02-24,sz300308,31677.281125261412,31677.281125261412,0,32192.358867135525,32192.358867135525
2023-02-24,sz300394,80566.000101636324,80566.000101636324,0,67194.328691940231,67194.328691940231
2023-02-24,sz300502,19690.439326228978,19690.439326228978,0,75154.348573392912,75154.348573392912
2023-02-27,sz300308,-6696.0106443642526,-6696.0106443642526,0,32192.358867135525,32192.358867135525
2023-02-27,sz300394,-36956.880780567059,-36956.880780567059,0,67194.328691940231,67194.328691940231
2023-02-27,sz300502,-13152.011000343813,-13152.011000343813,0,75154.348573392912,75154.348573392912
2023-02-28,sz300308,21279.149211176627,21279.149211176627,0,32192.358867135525,32192.358867135525
2023-02-28,sz300394,0,0,0,67194.328691940231,67194.328691940231
2023-02-28,sz300502,35322.543829494716,35322.543829494716,0,75154.348573392912,75154.348573392912
2023-03-01,sz300308,9464.5535069378602,9464.5535069378602,0,32192.358867135525,32192.358867135525
2023-03-01,sz300394,29162.338652302013,29162.338652302013,0,67194.328691940231,67194.328691940231
2023-03-01,sz300502,26604.63939498103,26604.63939498103,0,75154.348573392912,75154.348573392912
2023-03-02,sz300308,16418.103022239055,16418.103022239055,0,32192.358867135525,32192.358867135525
2023-03-02,sz300394,63901.806586035193,63901.806586035193,0,67194.328691940231,67194.328691940231
2023-03-02,sz300502,6839.045720178703,6839.045720178703,0,75154.348573392912,75154.348573392912
2023-03-03,sz300308,-27524.466831400889,-27524.466831400889,0,32192.358867135525,32192.358867135525
2023-03-03,sz300394,-83992.910864925288,-83992.910864925288,0,67194.328691940231,67194.328691940231
2023-03-03,sz300502,-24951.243726366371,-24951.243726366371,0,75154.348573392912,75154.348573392912
2023-03-06,sz300308,3251.4282455807729,3251.4282455807729,0,32192.358867135525,32192.358867135525
2023-03-06,sz300394,-18311.87303948851,-12968.505437544438,-5343.3676019440709,67194.328691940231,0
2023-03-06,sz300502,-9319.139223100763,-9319.139223100763,0,75154.348573392912,75154.348573392912
2023-03-07,sz300308,-26816.234936323955,-26816.234936323955,0,32192.358867135525,32192.358867135525
2023-03-07,sz300502,-47647.856995531132,-47647.856995531132,0,75154.348573392912,75154.348573392912
2023-03-08,sz300308,5086.3927010074531,5086.3927010074531,0,32192.358867135525,32192.358867135525
2023-03-08,sz300502,18112.198006187667,18112.198006187667,0,75154.348573392912,75154.348573392912
2023-03-09,sz300308,-4635.6996768675772,-4635.6996768675772,0,32192.358867135525,32192.358867135525
2023-03-09,sz300502,7891.2066002062875,7891.2066002062875,0,75154.348573392912,75154.348573392912
2023-03-10,sz300308,-2543.1963505037265,-2543.1963505037265,0,32192.358867135525,32192.358867135525
2023-03-10,sz300502,-14504.789274664803,-14504.789274664803,0,75154.348573392912,75154.348573392912
2023-03-13,sz300308,10172.785402014906,10172.785402014906,0,32192.358867135525,32192.358867135525
2023-03-13,sz300502,21945.069783430718,21945.069783430718,0,75154.348573392912,75154.348573392912
2023-03-14,sz300308,-27975.159855540762,-27975.159855540762,0,32192.358867135525,32192.358867135525
2023-03-14,sz300502,-21118.371949123451,-21118.371949123451,0,75154.348573392912,75154.348573392912
2023-03-15,sz300308,-15967.409998099292,-15967.409998099292,0,32192.358867135525,32192.358867135525
2023-03-15,sz300502,-23823.928497765432,-23823.928497765432,0,75154.348573392912,75154.348573392912
2023-03-16,sz300308,-5311.7392130773342,-5311.7392130773342,0,32192.358867135525,32192.358867135525
2023-03-16,sz300502,-12024.695771742876,-12024.695771742876,0,75154.348573392912,75154.348573392912
2023-03-17,sz300308,45777.534309066737,45777.534309066737,0,32192.358867135525,32192.358867135525
2023-03-17,sz300502,49301.252664145657,49301.252664145657,0,75154.348573392912,75154.348573392912
2023-03-20,sz300308,28007.35221440794,28007.35221440794,0,32192.358867135525,32192.358867135525
2023-03-20,sz300502,14805.406668958476,14805.406668958476,0,75154.348573392912,75154.348573392912
2023-03-21,sz300308,23339.460178673187,23339.460178673187,0,32192.358867135525,32192.358867135525
