date,cash_fraction,exposure,slots,pending_exit,market_admission,shadowed_admissible,denied_preallocation,price_ready_below_score,reason
2023-01-03,1,0,4,False,False,,,,RETAIN_PREDICTED_TRENDS
2023-01-04,1,0,4,False,False,,,,RETAIN_PREDICTED_TRENDS
2023-01-05,1,0,4,False,False,,,,RETAIN_PREDICTED_TRENDS
2023-01-06,1,0,4,False,False,,,,RETAIN_PREDICTED_TRENDS
2023-01-09,1,0,4,False,False,,,,RETAIN_PREDICTED_TRENDS
2023-01-10,1,0,4,False,False,,,,RETAIN_PREDICTED_TRENDS
2023-01-11,1,0,4,False,False,,,,RETAIN_PREDICTED_TRENDS
2023-01-12,1,0,4,False,False,,,,RETAIN_PREDICTED_TRENDS
2023-01-13,1,0,4,False,False,,,,RETAIN_PREDICTED_TRENDS
2023-01-16,1,0,4,False,False,,,,RETAIN_PREDICTED_TRENDS
2023-01-17,1,0,4,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-01-18,1,0,4,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-01-19,1,0,4,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-01-20,1,0,4,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-01-30,1,0,4,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-01-31,1,0,4,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-01,1,0,4,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-02,1,0,4,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-03,1,0,4,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-06,1,0,4,False,True,,,sz300604,FUNDED_EXPECTED_RETURN_ENTRY
2023-02-07,0.011539710382185386,0.98846028961781474,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-08,0.011891088786318272,0.98810891121368161,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-09,0.01109457342229728,0.98890542657770264,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-10,0.010598934319587337,0.98940106568041264,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-13,0.0098799572653663452,0.99012004273463372,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-14,0.010169043404217865,0.98983095659578213,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-15,0.0097743217643413583,0.99022567823565866,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-16,0.010303652039810365,0.98969634796018946,0,True,True,,,,FULL_EXIT_RETRY
2023-02-17,0.25782262430602271,0.74217737569397735,1,False,True,,,,FUNDED_EXPECTED_RETURN_ENTRY
2023-02-20,0.00099108386350212139,0.999008916136498,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-21,0.00098859368552651605,0.99901140631447349,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-22,0.00098272726331991977,0.99901727273668006,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-23,0.00099742163423262743,0.99900257836576745,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-24,0.00096979172218231244,0.99903020827781774,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-27,0.00098929072684134935,0.9990107092731586,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-02-28,0.00098405237780042789,0.9990159476221997,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-01,0.00096997332869851584,0.99903002667130147,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-02,0.00094304769915321766,0.99905695230084679,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-03,0.00095771350838049136,0.99904228649161952,0,True,True,,,,FULL_EXIT_RETRY
2023-03-06,0.26007024735869555,0.73992975264130445,1,False,True,,,,FUNDED_EXPECTED_RETURN_ENTRY
2023-03-07,0.00037158395567788674,0.99962841604432207,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-08,0.00036305135622698035,0.99963694864377306,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-09,0.00035419511590068843,0.99964580488409926,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-10,0.00035006563943206751,0.99964993436056804,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-13,0.00034342342494942497,0.99965657657505047,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-14,0.00033541820024431297,0.9996645817997557,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-15,0.00034345363504793288,0.99965654636495205,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-16,0.00035387685272811076,0.99964612314727197,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-17,0.00032910136473362979,0.99967089863526626,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-20,0.00032010933486524855,0.99967989066513463,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-21,0.00031905023511154571,0.99968094976488842,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-22,0.00029852663589967685,0.99970147336410009,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-23,0.00029245282581199242,0.99970754717418797,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-24,0.00028569887797470138,0.9997143011220252,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-27,0.00028075423328380718,0.99971924576671611,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-28,0.00029932645196726574,0.99970067354803283,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-29,0.00028805508591085314,0.99971194491408921,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-30,0.00028849435488300209,0.99971150564511702,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-03-31,0.00027566900140201965,0.99972433099859792,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-04-03,0.00024910454781918617,0.99975089545218065,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-04-04,0.00025002257868965812,0.99974997742131033,0,True,True,,,,EXPECTED_RETURN_LEADER_REPLACEMENT
2023-04-06,0.186949107275523,0.81305089272447706,1,False,True,,,,FUNDED_EXPECTED_RETURN_ENTRY
2023-04-07,0.0002282171001439863,0.99977178289985602,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-04-10,0.00024032761374838757,0.99975967238625163,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-04-11,0.00024433924366720999,0.99975566075633271,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-04-12,0.00024077052537884659,0.99975922947462093,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-04-13,0.0002566268887682332,0.99974337311123174,0,True,True,,,,FULL_EXIT_RETRY
2023-04-14,0.38436775321010147,0.61563224678989847,1,False,True,,,,FUNDED_EXPECTED_RETURN_ENTRY
2023-04-17,2.5196441101153339e-05,0.99997480355889867,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-04-18,2.4667818238373676e-05,0.9999753321817616,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-04-19,2.3930219438156454e-05,0.99997606978056175,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-04-20,2.3361610457625902e-05,0.99997663838954232,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-04-21,2.5149026684612838e-05,0.99997485097331529,0,True,True,,,,FULL_EXIT_RETRY
2023-04-24,0.21821429340980952,0.78178570659019042,1,False,True,,,,FUNDED_EXPECTED_RETURN_ENTRY
2023-04-25,0.0045439729365055886,0.99545602706349445,0,True,True,,,,FULL_EXIT_RETRY
2023-04-26,0.21015861065766672,0.78984138934233328,1,True,True,,,,FULL_EXIT_RETRY
2023-04-27,0.39553873433112097,0.60446126566887903,2,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-04-28,0.38867025026629176,0.61132974973370813,2,False,True,,,,FUNDED_EXPECTED_RETURN_ENTRY
2023-05-04,0.0068162680017139644,0.99318373199828591,0,False,True,,,,RETAIN_PREDICTED_TRENDS
2023-05-05,0.0071012653251555646,0.99289873467484435,0,True,True,,,,FULL_EXIT_RETRY
2023-05-08,0.17648521999486633,0.82351478000513356,1,False,True,,,,FUNDED_EXPECTED_RETURN_ENTRY
