symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sz300394,2023-02-07,2023-02-06,184588.14216197445,661786.12499999988,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-03-06,2023-03-03,184588.14216197445,FULL_EXIT_RETRY,0.2789241647548511
sz300394,2023-03-22,2023-03-21,176552.50345248461,419383.96499999991,1,1,FUNDED_EXPECTED_RETURN_ENTRY|WAIT_FOR_OBSERVED_RISING_TREND,2023-04-11,2023-04-10,176552.50345248461,FULL_EXIT_RETRY,0.4209805767191997
sz300502,2023-02-07,2023-02-06,1321170.0782996987,656527.87199999986,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-04-24,2023-04-21,1321170.0782996987,FULL_EXIT_RETRY,2.0123594665904738
sh603986,2023-04-12,2023-04-11,-108560.989119392,577020.4439999999,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-04-28,2023-04-27,-108560.989119392,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.1881406287216264
sh688008,2023-03-23,2023-03-22,-34255.346434220672,429941.46194999997,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-04-28,2023-04-27,-34255.346434220672,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.079674442838928605
sz300308,2023-02-07,2023-02-06,1050626.4641305741,678133.45599999989,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-05-08,2023-05-05,1050626.4641305741,FULL_EXIT_RETRY,1.5492915956805031
sz300308,2023-05-24,2023-05-23,601404.70067816135,2279787.5099999998,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-06-07,2023-06-06,601404.70067816135,FULL_EXIT_RETRY,0.26379857685866581
sz300394,2023-05-22,2023-05-19,731568.72126729088,2259000.7439999999,1,1,FUNDED_EXPECTED_RETURN_ENTRY|WAIT_FOR_OBSERVED_RISING_TREND,2023-06-09,2023-06-08,731568.72126729088,FULL_EXIT_RETRY,0.32384616216279161
sz300502,2023-06-16,2023-06-15,189385.40634872648,1974628.656,1,1,FUNDED_EXPECTED_RETURN_ENTRY|WAIT_FOR_OBSERVED_RISING_TREND,2023-06-26,2023-06-21,189385.40634872648,FULL_EXIT_RETRY,0.095909378086492469
sh603986,2023-06-20,2023-06-19,-122757.01833467558,1948196.2499999998,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-06-27,2023-06-26,-122757.01833467558,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.063010601901464292
sh688008,2023-06-20,2023-06-19,-177042.06531666918,1965146.2430599998,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-06-27,2023-06-26,-177042.06531666918,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.090091038232854678
sz300502,2023-07-18,2023-07-17,-390472.58564716135,2300069.7719999999,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-07-21,2023-07-20,-390472.58564716135,FULL_EXIT_RETRY,-0.16976553946345302
sh603986,2023-07-14,2023-07-13,-434188.6360769379,3505924.4219999998,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-08-08,2023-08-07,-434188.6360769379,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.12384426582397615
sz300394,2023-08-09,2023-08-08,-292957.52729951777,2870988.1199999996,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-08-10,2023-08-09,-292957.52729951777,FULL_EXIT_RETRY,-0.10204066163099199
sz300308,2023-08-07,2023-08-04,-171933.7848111405,1905403.4999999998,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-08-15,2023-08-14,-171933.7848111405,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.090234842547072328
sh603986,2023-10-12,2023-10-11,-68783.56906412961,2238236,1,1,FUNDED_EXPECTED_RETURN_ENTRY|WAIT_FOR_OBSERVED_RISING_TREND,2023-10-17,2023-10-16,-68783.56906412961,FULL_EXIT_RETRY,-0.030731151256672491
sh688008,2023-11-17,2023-11-16,1437.386632549169,2665142.9204399996,1,2,FUNDED_EXPECTED_RETURN_ENTRY,2023-12-19,2023-12-18,1437.386632549169,FULL_EXIT_RETRY,0.00053932816192531425
