date,participation_log,selection_log,execution_log,total_log
2023-01-03,0,0,0,0
2023-01-04,0,0,0,0
2023-01-05,0,0,0,0
2023-01-06,0,0,0,0
2023-01-09,0,0,0,0
2023-01-10,0,0,0,0
2023-01-11,0,0,0,0
2023-01-12,0,0,0,0
2023-01-13,0,0,0,0
2023-01-16,0,0,0,0
2023-01-17,0,0,0,0
2023-01-18,0,0,0,0
2023-01-19,0,0,0,0
2023-01-20,0,0,0,0
2023-01-30,0,0,0,0
2023-01-31,-0,0,0,0
2023-02-01,0,0,0,0
2023-02-02,0,0,0,0
2023-02-03,0,0,0,0
2023-02-06,0,0,0,0
2023-02-07,0,0,0,0
2023-02-08,-0,0,0,0
2023-02-09,0,0,0,0
2023-02-10,0,0,0,0
2023-02-13,0,0,0,0
2023-02-14,-0,0,0,0
2023-02-15,0,0,0,0
2023-02-16,-0,0,0,0
2023-02-17,-0,0,0,0
2023-02-20,0,0,0,0
2023-02-21,-0,0,0,0
2023-02-22,-0,0,0,0
2023-02-23,-0,0,0,0
2023-02-24,0,0,0,0
2023-02-27,-0,0,0,0
2023-02-28,0,0,0,0
2023-03-01,0,0,0,0
2023-03-02,0,0,0,0
2023-03-03,-0,0,0,0
2023-03-06,-0,0,0,0
2023-03-07,-0,0,0,0
2023-03-08,0,0,0,0
2023-03-09,0,0,0,0
2023-03-10,-0,0,0,0
2023-03-13,0,0,0,0
2023-03-14,-0,0,0,0
2023-03-15,-0,0,0,0
2023-03-16,-0,0,0,0
2023-03-17,0,0,0,0
2023-03-20,0,0,0,0
2023-03-21,0,0,0,0
2023-03-22,0,0,0,0
2023-03-23,0,0,0,0
2023-03-24,0,0,0,0
2023-03-27,0,0,0,0
2023-03-28,-0,0,0,0
2023-03-29,0,0,0,0
2023-03-30,-0,0,0,0
2023-03-31,0,0,0,0
2023-04-03,0,0,0,0
2023-04-04,0,0,0,0
2023-04-06,0,0,0,0
2023-04-07,0,0,0,0
2023-04-10,-0,0,0,0
2023-04-11,-0,0,0,0
2023-04-12,0,0,0,0
2023-04-13,-0,0,0,0
2023-04-14,0,0,0,0
2023-04-17,-0,0,0,0
2023-04-18,0,0,0,0
2023-04-19,0,0,0,0
2023-04-20,0,0,0,0
2023-04-21,-0,0,0,0
2023-04-24,0,0,0,0
2023-04-25,-0,0,0,0
2023-04-26,-0,0,0,0
2023-04-27,-0,0,0,0
2023-04-28,0,0,0,0
2023-05-04,-0,0,0,0
2023-05-05,-0,0,0,0
2023-05-08,-0,0,0,0
2023-05-09,0,0,0,0
2023-05-10,-0,0,0,0
2023-05-11,-0,0,0,0
2023-05-12,0,0,0,0
2023-05-15,0,0,0,0
2023-05-16,-0,0,0,0
2023-05-17,0,0,0,0
2023-05-18,0,0,0,0
2023-05-19,-0,0,0,0
2023-05-22,-0,0,0,0
2023-05-23,-0,0,0,0
2023-05-24,0,0,0,0
2023-05-25,0,0,0,0
2023-05-26,-0,0,0,0
2023-05-29,0,0,0,0
2023-05-30,0,0,0,0
2023-05-31,-0,0,0,0
2023-06-01,0,0,0,0
2023-06-02,-0,0,0,0
2023-06-05,0,0,0,0
2023-06-06,-0,0,0,0
2023-06-07,0,0,0,0
2023-06-08,-0,0,0,0
2023-06-09,0,0,0,0
2023-06-12,0,0,0,0
2023-06-13,0,0,0,0
2023-06-14,0,0,0,0
2023-06-15,0,0,0,0
2023-06-16,0,0,0,0
2023-06-19,0,0,0,0
2023-06-20,0,0,0,0
2023-06-21,-0,0,0,0
2023-06-26,-0,0,0,0
2023-06-27,-0,0,0,0
2023-06-28,-0,0,0,0
2023-06-29,0,0,0,0
2023-06-30,-0,0,0,0
2023-07-03,-0,0,0,0
2023-07-04,0,0,0,0
2023-07-05,-0,0,0,0
2023-07-06,0,0,0,0
2023-07-07,0,0,0,0
2023-07-10,0,0,0,0
2023-07-11,0,0,0,0
2023-07-12,-0,0,0,0
2023-07-13,0,0,0,0
2023-07-14,0,0,0,0
2023-07-17,0,0,0,0
2023-07-18,0,0,0,0
2023-07-19,-0,0,0,0
2023-07-20,-0,0,0,0
2023-07-21,-0,0,0,0
2023-07-24,0,0,0,0
2023-07-25,0,0,0,0
2023-07-26,0,0,0,0
2023-07-27,0,0,0,0
2023-07-28,0,0,0,0
2023-07-31,0,0,0,0
2023-08-01,0,0,0,0
2023-08-02,0,0,0,0
2023-08-03,0,0,0,0
2023-08-04,0,0,0,0
2023-08-07,-0,0,0,0
2023-08-08,0,0,0,0
2023-08-09,0,0,0,0
2023-08-10,0,0,0,0
2023-08-11,0,0,0,0
2023-08-14,0,0,0,0
2023-08-15,0,0,0,0
2023-08-16,0,0,0,0
2023-08-17,0,0,0,0
2023-08-18,0,0,0,0
2023-08-21,0,0,0,0
2023-08-22,0,0,0,0
2023-08-23,0,0,0,0
2023-08-24,0,0,0,0
2023-08-25,0,0,0,0
2023-08-28,0,0,0,0
2023-08-29,0,0,0,0
2023-08-30,0,0,0,0
2023-08-31,0,0,0,0
2023-09-01,0,0,0,0
2023-09-04,0,0,0,0
2023-09-05,0,0,0,0
2023-09-06,0,0,0,0
2023-09-07,0,0,0,0
2023-09-08,0,0,0,0
2023-09-11,0,0,0,0
2023-09-12,0,0,0,0
2023-09-13,0,0,0,0
2023-09-14,0,0,0,0
2023-09-15,0,0,0,0
2023-09-18,0,0,0,0
2023-09-19,0,0,0,0
2023-09-20,0,0,0,0
2023-09-21,0,0,0,0
2023-09-22,0,0,0,0
2023-09-25,0,0,0,0
2023-09-26,0,0,0,0
2023-09-27,0,0,0,0
2023-09-28,0,0,0,0
2023-10-09,0,0,0,0
2023-10-10,0,0,0,0
2023-10-11,0,0,0,0
2023-10-12,0,0,0,0
2023-10-13,0,0,0,0
2023-10-16,0,0,0,0
2023-10-17,0,0,0,0
2023-10-18,0,0,0,0
2023-10-19,0,0,0,0
2023-10-20,0,0,0,0
2023-10-23,0,0,0,0
2023-10-24,0,0,0,0
2023-10-25,0,0,0,0
2023-10-26,0,0,0,0
2023-10-27,0,0,0,0
2023-10-30,0,0,0,0
2023-10-31,0,0,0,0
2023-11-01,0,0,0,0
2023-11-02,0,0,0,0
2023-11-03,0,0,0,0
2023-11-06,0,0,0,0
2023-11-07,0,0,0,0
2023-11-08,0,0,0,0
2023-11-09,-0,0,0,0
2023-11-10,-0,0,0,0
2023-11-13,0,0,0,0
2023-11-14,0,0,0,0
2023-11-15,0,0,0,0
2023-11-16,-0,0,0,0
2023-11-17,0,0,0,0
2023-11-20,-0,0,0,0
2023-11-21,0,0,0,0
2023-11-22,-0,0,0,0
2023-11-23,0,0,0,0
2023-11-24,-0,0,0,0
2023-11-27,0,0,0,0
2023-11-28,-0,0,0,0
2023-11-29,0,0,0,0
2023-11-30,0,0,0,0
2023-12-01,0,0,0,0
2023-12-04,-0,0,0,0
2023-12-05,-0,0,0,0
2023-12-06,0,0,0,0
2023-12-07,0,0,0,0
2023-12-08,0,0,0,0
2023-12-11,0,0,0,0
2023-12-12,-0,0,0,0
2023-12-13,-0,0,0,0
2023-12-14,0,0,0,0
2023-12-15,-0,0,0,0
2023-12-18,-0,0,0,0
2023-12-19,0,0,0,0
2023-12-20,-0,0,0,0
2023-12-21,0,0,0,0
2023-12-22,-0,0,0,0
2023-12-25,-0,0,0,0
2023-12-26,-0,0,0,0
2023-12-27,-0,0,0,0
2023-12-28,0,0,0,0
2023-12-29,0,0,0,0
2024-01-02,-0,0,0,0
2024-01-03,-0,0,0,0
2024-01-04,0,0,0,0
2024-01-05,0,0,0,0
2024-01-08,0,0,0,0
2024-01-09,0,0,0,0
2024-01-10,0,0,0,0
2024-01-11,0,0,0,0
2024-01-12,0,0,0,0
2024-01-15,0,0,0,0
2024-01-16,0,0,0,0
2024-01-17,0,0,0,0
2024-01-18,0,0,0,0
2024-01-19,0,0,0,0
2024-01-22,0,0,0,0
2024-01-23,0,0,0,0
2024-01-24,0,0,0,0
2024-01-25,0,0,0,0
2024-01-26,-0,0,0,0
2024-01-29,-0,0,0,0
2024-01-30,-0,0,0,0
2024-01-31,0,0,0,0
2024-02-01,0,0,0,0
2024-02-02,0,0,0,0
2024-02-05,0,0,0,0
2024-02-06,0,0,0,0
2024-02-07,0,0,0,0
2024-02-08,0,0,0,0
2024-02-19,0,0,0,0
2024-02-20,-0,0,0,0
2024-02-21,-0,0,0,0
2024-02-22,0,0,-0.0010050146824526519,-0.0010050146824526519
2024-02-23,0.0011314600043436972,0.012631883641800705,0,0.013763343646144401
2024-02-26,-0.00027947856775423078,0.0008641228978628928,0,0.00058464433010866203
2024-02-27,-0.0044584269496953134,-0.0093500259806115794,0,-0.013808452930306893
2024-02-28,0.0048718579625520253,-0.0048367684424334917,0,3.5089520118533613e-05
2024-02-29,-0.0039014833580761801,0.0020017025628182128,0,-0.0018997807952579673
2024-03-01,-0.0025701739638455414,0.010532625173132462,0,0.00796245120928692
2024-03-04,-0.0030119789044071791,0.012896983212341036,0,0.0098850043079338583
2024-03-05,0.001380425018169647,-0.01121115689999745,0,-0.0098307318818278023
2024-03-06,0.00035071207602747044,0.0001531502108278715,0,0.00050386228685534188
2024-03-07,0.0015613100885159843,-0.0055123064771248438,0,-0.0039509963886088587
2024-03-08,-0.0035377939348811317,-0.0037665993829408377,0,-0.0073043933178219694
2024-03-11,0.0012684140576191398,0.0034875214915865201,0,0.0047559355492056594
2024-03-12,0.0012465114018464962,0.0069808323389452072,0,0.0082273437407917038
2024-03-13,-0.00025567548922057987,-0.0026156984433530609,0,-0.0028713739325736407
2024-03-14,-0.0024703376122645277,-0.0012360572128260188,0,-0.0037063948250905462
2024-03-15,-0.0054513562097464555,0.026310705697384904,0,0.02085934948763845
2024-03-18,-0.0015560203355239645,0.0055622758754035606,0,0.0040062555398795961
2024-03-19,0.0005820711747142179,0.0019827197816661094,0,0.0025647909563803273
2024-03-20,0.00062769909657225985,0.00035175767239908868,0,0.00097945676897134848
2024-03-21,0.00013004997410706655,0.0034536297903741005,0,0.0035836797644811669
2024-03-22,-0.0013095291254985127,0.018096337985083824,0,0.016786808859585313
2024-03-25,0.0013345907125760987,-0.013263573691940202,0,-0.011928982979364105
2024-03-26,0.0018028245450590306,-0.0070937596694892234,0,-0.0052909351244301919
2024-03-27,0.0014509531855528242,-0.0065952586481367054,0,-0.005144305462583881
2024-03-28,-0.00044532906402160421,0.0032633782144107586,-0.0012397409970472341,0.0015783081533419199
2024-03-29,0,0,0,0
2024-04-01,0,0,0,0
2024-04-02,0,0,0,0
2024-04-03,0,0,0,0
2024-04-08,0,0,0,0
2024-04-09,0,0,0,0
2024-04-10,0,0,0,0
2024-04-11,0,0,0,0
2024-04-12,0,0,0,0
2024-04-15,0,0,0,0
2024-04-16,0,0,0,0
2024-04-17,0,0,7.7819884838771503e-05,7.7819884838771503e-05
2024-04-18,-1.5522543303334323e-05,1.2582376905938192e-19,0,-1.5522543303334198e-05
2024-04-19,-3.4258719015015248e-05,-1.2296309471607225e-18,0,-3.4258719015016481e-05
2024-04-22,-0.00016293363829825126,-4.0834178084998197e-18,6.1109349594407744e-05,-0.00010182428870384938
2024-04-23,1.4013204021951991e-05,1.3478801257495645e-06,1.5922568507491352e-05,3.1283652655192049e-05
2024-04-24,-4.63638052977453e-05,1.2251525282134451e-18,0,-4.6363805297744073e-05
2024-04-25,-3.9700302833354099e-05,2.336011986737741e-18,-0.0010642646848185889,-0.0011039649876519401
2024-04-26,-0.034248650763597309,0.0048816089486246632,-4.3630968497448906e-05,-0.029410672783470093
2024-04-29,0,-0.021507589053403383,0.014494351970115445,-0.0070132370832879359
2024-04-30,-0.00040160638483937146,-3.2692662811739709e-19,0,-0.00040160638483937184
2024-05-06,-0.00032121541524647449,1.6397695626225818e-19,0.0018110069129119888,0.0014897914976655146
2024-05-07,-3.3068339738793111e-05,0.00021136219882814436,0,0.00017829385908935125
2024-05-08,2.5334358355084657e-06,0.00062477210614525936,0,0.00062730554198076787
2024-05-09,6.7707787792552795e-06,0.00064876583699780943,0,0.00065553661577706472
2024-05-10,-8.3319317223855765e-06,0.00028763320849274572,0,0.00027930127677036013
2024-05-13,-6.0690706338492739e-06,-0.0002495664609973713,0,-0.00025563553163122053
2024-05-14,-6.6784092912653756e-05,-0.00018346752068582029,0,-0.00025025161359847406
2024-05-15,1.2355108739187911e-05,-1.2777237697550051e-05,0,-4.2212895836214043e-07
2024-05-16,3.7639448394444232e-05,8.0480517781770234e-05,-0.00027609680302709516,-0.0001579768368508809
