date,participation_log,selection_log,execution_log,total_log
2023-01-03,0,0,0,0
2023-01-04,0,0,0,0
2023-01-05,0,0,0,0
2023-01-06,0,0,0,0
2023-01-09,0,0,0,0
2023-01-10,0,0,0,0
2023-01-11,0,0,0,0
2023-01-12,0,0,0,0
2023-01-13,0,0,0,0
2023-01-16,0,0,0,0
2023-01-17,0,0,0,0
2023-01-18,0,0,0,0
2023-01-19,0,0,0,0
2023-01-20,-0,0,0,0
2023-01-30,-0,0,0,0
2023-01-31,-0,0,0,0
2023-02-01,0,0,0,0
2023-02-02,0,0,0,0
2023-02-03,-0,0,0,0
2023-02-06,-0,0,0,0
2023-02-07,-0,0,0,0
2023-02-08,-0,0,0,0
2023-02-09,0,0,0,0
2023-02-10,-0,0,0,0
2023-02-13,0,0,0,0
2023-02-14,-0,0,0,0
2023-02-15,0,0,0,0
2023-02-16,-0,0,0,0
2023-02-17,-0,0,0,0
2023-02-20,0,0,0,0
2023-02-21,0,0,0,0
2023-02-22,-0,0,0,0
2023-02-23,0,0,0,0
2023-02-24,0,0,0,0
2023-02-27,-0,0,0,0
2023-02-28,0,0,0,0
2023-03-01,0,0,0,0
2023-03-02,0,0,0,0
2023-03-03,0,0,0,0
2023-03-06,0,0,0,0
2023-03-07,-0,0,0,0
2023-03-08,0,0,0,0
2023-03-09,0,0,0,0
2023-03-10,0,0,0,0
2023-03-13,0,0,0,0
2023-03-14,0,0,0,0
2023-03-15,-0,0,0,0
2023-03-16,-0,0,0,0
2023-03-17,0,0,0,0
2023-03-20,0,0,0,0
2023-03-21,0,0,0,0
2023-03-22,0,0,0,0
2023-03-23,0,0,0,0
2023-03-24,0,0,0,0
2023-03-27,0,0,0,0
2023-03-28,-0,0,0,0
2023-03-29,0,0,0,0
2023-03-30,0,0,0,0
2023-03-31,0,0,0,0
2023-04-03,0,0,0,0
2023-04-04,0,0,0,0
2023-04-06,-0,0,0,0
2023-04-07,0,0,0,0
2023-04-10,-0,0,0,0
2023-04-11,-0,0,0,0
2023-04-12,0,0,0,0
2023-04-13,-0,0,0,0
2023-04-14,0,0,0,0
2023-04-17,0,0,0,0
2023-04-18,-0,0,0,0
2023-04-19,0,0,0,0
2023-04-20,0,0,0,0
2023-04-21,-0,0,0,0
2023-04-24,-0,0,0,0
2023-04-25,0,0,0,0
2023-04-26,-0,0,0,0
2023-04-27,-0,0,0,0
2023-04-28,0,0,0,0
2023-05-04,-0,0,0,0
2023-05-05,-0,0,0,0
2023-05-08,-0,0,0,0
2023-05-09,0,0,0,0
2023-05-10,-0,0,0,0
2023-05-11,-0,0,0,0
2023-05-12,-0,0,0,0
2023-05-15,0,0,0,0
2023-05-16,0,0,0,0
2023-05-17,0,0,0,0
2023-05-18,0,0,0,0
2023-05-19,-0,0,0,0
2023-05-22,-0,0,0,0
2023-05-23,-0,0,0,0
2023-05-24,0,0,0,0
2023-05-25,0,0,0,0
2023-05-26,0,0,0,0
2023-05-29,0,0,0,0
2023-05-30,-0,0,0,0
2023-05-31,-0,0,0,0
2023-06-01,-0,0,0,0
2023-06-02,0,0,0,0
2023-06-05,0,0,0,0
2023-06-06,-0,0,0,0
2023-06-07,-0,0,0,0
2023-06-08,-0,0,0,0
2023-06-09,0,0,0,0
2023-06-12,-0,0,0,0
2023-06-13,0,0,0,0
2023-06-14,0,0,0,0
2023-06-15,-0,0,0,0
2023-06-16,0,0,0,0
2023-06-19,-0,0,0,0
2023-06-20,-0,0,0,0
2023-06-21,-0,0,0,0
2023-06-26,0,0,0,0
2023-06-27,0,0,0,0
2023-06-28,0,0,0,0
2023-06-29,0,0,0,0
2023-06-30,0,0,0,0
2023-07-03,0,0,0,0
2023-07-04,0,0,0,0
2023-07-05,0,0,0,0
2023-07-06,0,0,0,0
2023-07-07,0,0,0,0
2023-07-10,0,0,0,0
2023-07-11,0,0,0,0
2023-07-12,0,0,0,0
2023-07-13,0,0,0,0
2023-07-14,0,0,0,0
2023-07-17,0,0,0,0
2023-07-18,0,0,0,0
2023-07-19,0,0,0,0
2023-07-20,0,0,0,0
2023-07-21,0,0,0,0
2023-07-24,0,0,0,0
2023-07-25,0,0,0,0
2023-07-26,0,0,0,0
2023-07-27,0,0,0,0
2023-07-28,0,0,0,0
2023-07-31,0,0,0,0
2023-08-01,0,0,0,0
2023-08-02,0,0,0,0
2023-08-03,0,0,0,0
2023-08-04,0,0,0,0
2023-08-07,0,0,0,0
2023-08-08,0,0,0,0
2023-08-09,0,0,0,0
2023-08-10,0,0,0,0
2023-08-11,0,0,0,0
2023-08-14,0,0,0,0
2023-08-15,0,0,0,0
2023-08-16,0,0,0,0
2023-08-17,0,0,0,0
2023-08-18,0,0,0,0
2023-08-21,0,0,0,0
2023-08-22,0,0,0,0
2023-08-23,0,0,0,0
2023-08-24,0,0,0,0
2023-08-25,0,0,0,0
2023-08-28,0,0,0,0
2023-08-29,0,0,0,0
2023-08-30,0,0,0,0
2023-08-31,0,0,0,0
2023-09-01,0,0,0,0
2023-09-04,0,0,0,0
2023-09-05,-0,0,0,0
2023-09-06,0,0,0,0
2023-09-07,-0,0,0,0
2023-09-08,-0,0,0,0
2023-09-11,0,0,0,0
2023-09-12,-0,0,0,0
2023-09-13,0,0,0,0
2023-09-14,-0,0,0,0
2023-09-15,0,0,0,0
2023-09-18,-0,0,0,0
2023-09-19,-0,0,0,0
2023-09-20,-0,0,0,0
2023-09-21,0,0,0,0
2023-09-22,0,0,0,0
2023-09-25,-0,0,0,0
2023-09-26,-0,0,0,0
2023-09-27,-0,0,0,0
2023-09-28,0,0,0,0
2023-10-09,-0,0,0,0
2023-10-10,-0,0,0,0
2023-10-11,0,0,0,0
2023-10-12,0,0,0,0
2023-10-13,-0,0,0,0
2023-10-16,-0,0,0,0
2023-10-17,0,0,-0.023727022024580911,-0.023727022024580911
2023-10-18,0.0090911567876508174,0.00070496249617290501,0,0.0097961192838237222
2023-10-19,-0.00012453529167356375,0.0028208903138611111,0,0.002696355022187547
2023-10-20,0.01582436468888632,-0.0096442647752290715,0,0.0061800999136572485
2023-10-23,0.0027131900857457932,0.0035388884788835197,0.00084085890208280894,0.0070929374667121218
2023-10-24,-0.032008248756714257,0.0011677991116498254,-0.018574694381179417,-0.049415144026243848
2023-10-25,6.9015486004145947e-05,0.034944183522804699,0,0.035013199008808844
2023-10-26,-5.0917823213788429e-06,-0.0028263159881516749,0,-0.002831407770473054
2023-10-27,6.4080917698553514e-06,-0.0078698693109994257,0,-0.0078634612192295707
2023-10-30,9.9643556624665693e-05,0.015227567482142244,0,0.01532721103876691
2023-10-31,1.7830510601181819e-05,-0.010845716635787785,0,-0.010827886125186603
2023-11-01,1.5319118645664543e-06,0.031332273144409249,0,0.031333805056273818
2023-11-02,-5.0739354906262849e-05,0.003044884859089146,0,0.0029941455041828831
2023-11-03,6.6543646182165355e-05,0.0205096587183521,0,0.020576202364534262
2023-11-06,-2.7238603534421989e-05,0.0015266568032689519,0,0.0014994181997345299
2023-11-07,9.8144015640322243e-06,0.010295840676164762,0,0.010305655077728794
2023-11-08,6.5558816244514915e-05,-0.014913452074405123,0,-0.014847893258160608
2023-11-09,-0.00010169280027031166,-0.018565601142124449,0,-0.018667293942394761
2023-11-10,4.4646088365331367e-07,-0.005403997770624001,0,-0.0054035513097403474
2023-11-13,3.96416595322589e-05,-0.0022506811243535392,0,-0.0022110394648212801
2023-11-14,5.8698694463653588e-05,0.019407425930119803,0,0.019466124624583456
2023-11-15,-5.8029236532282933e-05,0.010230225806713537,0,0.010172196570181254
2023-11-16,-7.2570784113760986e-05,-0.0015947011520273287,0,-0.0016672719361410897
2023-11-17,2.9294396857067729e-06,-0.0096721838631728067,0.00019903814523659281,-0.009470216278250506
2023-11-20,0.00045919076522601076,0.02516784307622744,-0.037670064446744173,-0.012043030605290722
2023-11-21,-0.0021321264450652627,0.042390023498326754,0,0.040257897053261493
2023-11-22,-2.887086642574898e-05,-0.0025628991038193359,-0.0055935758910624044,-0.008185345861307489
2023-11-23,0.0055336562963567608,0.029990150720668067,-0.009427300490127289,0.026096506526897535
2023-11-24,0.0085510433225539275,0.0013208919538523938,-0.02189084021200936,-0.012018904935603036
2023-11-27,0.010107705695581498,0.017749861272700625,0.0047021220245988893,0.03255968899288101
2023-11-28,0.018942102926722871,0.003744461298622606,0.00012049889792542101,0.022807063123270896
2023-11-29,-0.0027190681184095966,-0.00028880391642215877,-0.00043787317802422093,-0.0034457452128559768
2023-11-30,0.0026278583867792808,0.0045461314455774162,0,0.0071739898323566961
2023-12-01,0.0023914565754206197,-0.0039686384994844304,0,-0.0015771819240638111
2023-12-04,0.003858564305186999,0.0029215177548909009,0,0.0067800820600778999
2023-12-05,-0.0031845345408155873,0.0058575001420208099,0,0.0026729656012052221
2023-12-06,0.011575473000452523,0.0085004602225430496,0,0.020075933222995574
2023-12-07,-0.010680731154350545,-0.0049905468312123856,0,-0.015671277985562931
2023-12-08,0.036628855836513964,0.013194666975847475,0,0.049823522812361437
2023-12-11,0.0068215534325012615,0.0085931788844452288,0,0.01541473231694649
2023-12-12,-0.0069017833179591563,-0.00061331677117817376,0,-0.0075151000891373306
2023-12-13,-0.014314519565433788,-0.008426746755858321,0,-0.022741266321292107
2023-12-14,-0.011118820027842218,-0.0031912829762533014,0,-0.01431010300409552
2023-12-15,-0.0078186962179903202,-0.0014610759385907961,-0.0026109201469967612,-0.011890692303577878
2023-12-18,0.0097791904701844609,0,0,0.0097791904701844609
2023-12-19,0.0060591687619013755,0,0,0.0060591687619013755
2023-12-20,-0.011109105240783733,0,0.0020351476943562341,-0.0090739575464274976
2023-12-21,0.01072829310557654,0.0048472638856637525,0,0.015575556991240294
2023-12-22,-0.008740955294864388,-0.00087819033847639691,0,-0.0096191456333407834
2023-12-25,-0.013623081452040891,-0.00068905476943977679,0,-0.014312136221480667
2023-12-26,-0.0092873902799710407,0.0012186281742215727,-0.0033554486085404871,-0.011424210714289956
2023-12-27,-0.0038550998780769994,0,0.0047860115709498037,0.00093091169287280436
2023-12-28,0,0,0,0
2023-12-29,0,0,0,0
2024-01-02,0,0,0,0
2024-01-03,0,0,0,0
2024-01-04,0,0,0,0
2024-01-05,0,0,0,0
2024-01-08,0,0,0,0
2024-01-09,0,0,0,0
2024-01-10,0,0,0,0
2024-01-11,0,0,0,0
2024-01-12,0,0,0,0
2024-01-15,0,0,0,0
2024-01-16,0,0,0,0
2024-01-17,0,0,0,0
2024-01-18,0,0,0,0
2024-01-19,0,0,0,0
2024-01-22,0,0,0,0
2024-01-23,0,0,0,0
2024-01-24,0,0,0,0
2024-01-25,0,0,0,0
2024-01-26,0,0,0,0
2024-01-29,0,0,0,0
2024-01-30,0,0,0,0
2024-01-31,0,0,0,0
2024-02-01,0,0,0,0
2024-02-02,0,0,0,0
2024-02-05,0,0,0,0
2024-02-06,0,0,0,0
2024-02-07,0,0,0,0
2024-02-08,0,0,0,0
2024-02-19,0,0,0,0
2024-02-20,0,0,0,0
2024-02-21,0,0,0,0
2024-02-22,0,0,2.5326434448225219e-05,2.5326434448225219e-05
2024-02-23,-3.9703120171743327e-05,1.9435111371618267e-05,0,-2.0268008800125061e-05
2024-02-26,-1.2135234824089869e-05,-3.4129851895604248e-05,0,-4.6265086719694121e-05
2024-02-27,0.00019347735305840977,-5.3110106198690729e-05,0,0.00014036724685971905
2024-02-28,-0.00014734482965509695,4.8435114296414861e-05,0.00010729296149179497,8.3832461331111163e-06
2024-02-29,6.5773097431272233e-05,0.00021080958203131557,0,0.0002765826794625878
2024-03-01,4.4403680870839955e-05,2.5576210122871453e-06,0.00015371657235236394,0.00020067787423548936
2024-03-04,-7.1159476402033722e-05,0.00010681040068117211,0,3.5650924279138387e-05
2024-03-05,-1.368705460023368e-05,-2.933861381219191e-05,0,-4.302566841242559e-05
2024-03-06,-0.00011486666904338857,0.00016465284830268479,0,4.9786179259296223e-05
2024-03-07,-0.00021449603869630395,0.00033074823419681278,0,0.00011625219550050886
2024-03-08,0.00024521789462797955,0.00014356950953557182,0,0.0003887874041635514
2024-03-11,0.00011831335684807864,-9.340008544586888e-05,-9.5970674819816811e-05,-7.1057403417605983e-05
2024-03-12,-8.2708418426806558e-05,0.0001097970672502787,0,2.7088648823472145e-05
2024-03-13,-3.5096803556782899e-05,-6.1778121339413456e-05,0,-9.6874924896196354e-05
2024-03-14,2.3161362547235607e-06,-8.5231262774130415e-05,0,-8.291512651940685e-05
