symbol,control,treatment,difference
sh601869,1568167.9841946464,781954.78096103063,-786213.20323361573
sz002281,-33793.259340812154,-240727.78208249816,-206934.522741686
sh688019,9794.7346435770269,-138134.96001479047,-147929.69465836749
sh688205,221457.55645244027,89104.285657014421,-132353.27079542587
sh603986,-136046.94914617733,-250950.772997819,-114903.82385164167
sh688072,-11879.663399434763,-90050.874405761933,-78171.211006327168
sh688249,-59528.447808160461,-122512.97794555771,-62984.530137397247
sh688012,-2028.3968013685289,-26175.205785001574,-24146.808983633044
sh688300,-55505.152918503736,-78096.433579966921,-22591.280661463185
sz002409,-28267.161591378877,-32139.375508006164,-3872.2139166272864
sz300223,-76743.776990911749,-80272.226507735279,-3528.4495168235298
sh688347,-67467.300154531185,-70424.989853248786,-2957.6896987176005
sh688361,-49472.05740311266,-51707.971240456682,-2235.9138373440219
sh688082,-103346.85457659992,-103346.85457659992,0
sz300054,-49396.970181239951,-49396.970181239951,0
sh688268,-41189.64273598187,-39614.900912136451,1574.7418238454193
sz300604,-69140.977880078513,-66481.709500075274,2659.2683800032391
sz002371,105272.1430493118,115021.56460259359,9749.4215532817907
sh600206,-26694.329634943173,0,26694.329634943173
sh688256,1368695.9059632279,1407342.041482772,38646.135519544128
sh688008,-111964.47002564734,-62289.652024197218,49674.818001450127
sh688037,-158636.22321992877,-98231.377175615344,60404.846044313424
sh688409,-115389.99584996808,-45600.716983051454,69789.278866916633
sh688535,-153713.8247395631,-45454.063706865214,108259.76103269789
sh688120,-2133.7682434427716,123117.26946521713,125251.0377086599
sh688041,200466.6386195595,466651.3960577987,266184.75743823918
sh688498,594894.50552024134,1622909.5645335889,1028015.0590133476
