date,participation_log,selection_log,execution_log,total_log
2023-01-03,0,0,0,0
2023-01-04,0,0,0,0
2023-01-05,0,0,0,0
2023-01-06,0,0,0,0
2023-01-09,0,0,0,0
2023-01-10,0,0,0,0
2023-01-11,0,0,0,0
2023-01-12,0,0,0,0
2023-01-13,0,0,0,0
2023-01-16,0,0,0,0
2023-01-17,0,0,0,0
2023-01-18,0,0,0,0
2023-01-19,0,0,0,0
2023-01-20,-0,0,0,0
2023-01-30,-0,0,0,0
2023-01-31,-0,0,0,0
2023-02-01,0,0,0,0
2023-02-02,0,0,0,0
2023-02-03,-0,0,0,0
2023-02-06,-0,0,0,0
2023-02-07,-0,0,0,0
2023-02-08,-0,0,0,0
2023-02-09,0,0,0,0
2023-02-10,-0,0,0,0
2023-02-13,0,0,0,0
2023-02-14,-0,0,0,0
2023-02-15,0,0,0,0
2023-02-16,-0,0,0,0
2023-02-17,-0,0,0,0
2023-02-20,0,0,0,0
2023-02-21,0,0,0,0
2023-02-22,-0,0,0,0
2023-02-23,0,0,0,0
2023-02-24,0,0,0,0
2023-02-27,-0,0,0,0
2023-02-28,0,0,0,0
2023-03-01,0,0,0,0
2023-03-02,0,0,0,0
2023-03-03,0,0,0,0
2023-03-06,0,0,0,0
2023-03-07,-0,0,0,0
2023-03-08,0,0,0,0
2023-03-09,0,0,0,0
2023-03-10,0,0,0,0
2023-03-13,0,0,0,0
2023-03-14,0,0,0,0
2023-03-15,-0,0,0,0
2023-03-16,-0,0,0,0
2023-03-17,0,0,0,0
2023-03-20,0,0,0,0
2023-03-21,0,0,0,0
2023-03-22,0,0,0,0
2023-03-23,0,0,0,0
2023-03-24,0,0,0,0
2023-03-27,0,0,0,0
2023-03-28,-0,0,0,0
2023-03-29,0,0,0,0
2023-03-30,0,0,0,0
2023-03-31,0,0,0,0
2023-04-03,0,0,0,0
2023-04-04,0,0,0,0
2023-04-06,-0,0,0,0
2023-04-07,0,0,0,0
2023-04-10,-0,0,0,0
2023-04-11,-0,0,0,0
2023-04-12,0,0,0,0
2023-04-13,-0,0,0,0
2023-04-14,0,0,0,0
2023-04-17,-0,0,0,0
2023-04-18,0,0,0,0
2023-04-19,0,0,0,0
2023-04-20,0,0,0,0
2023-04-21,-0,0,0,0
2023-04-24,0,0,0,0
2023-04-25,-0,0,0,0
2023-04-26,-0,0,0,0
2023-04-27,-0,0,0,0
2023-04-28,0,0,0,0
2023-05-04,-0,0,0,0
2023-05-05,-0,0,0,0
2023-05-08,-0,0,0,0
2023-05-09,0,0,0,0
2023-05-10,-0,0,0,0
2023-05-11,-0,0,0,0
2023-05-12,0,0,0,0
2023-05-15,0,0,0,0
2023-05-16,-0,0,0,0
2023-05-17,0,0,0,0
2023-05-18,0,0,0,0
2023-05-19,-0,0,0,0
2023-05-22,-0,0,0,0
2023-05-23,-0,0,0,0
2023-05-24,0,0,0,0
2023-05-25,0,0,0,0
2023-05-26,0,0,0,0
2023-05-29,0,0,0,0
2023-05-30,0,0,-0.017301432202177561,-0.017301432202177561
2023-05-31,-0.0042510722250566424,-0.0025011681650458635,0,-0.0067522403901025055
2023-06-01,0.00049047487096228739,-0.00092498287764497663,0,-0.00043450800668268924
2023-06-02,0.0016575034966169022,0.0073538816857474203,0,0.0090113851823643218
2023-06-05,0.0089109820691998694,0.00075381613205032633,0,0.0096647982012501958
2023-06-06,-0.005261559547013574,0.0029250818111924166,0,-0.0023364777358211575
2023-06-07,-0.0043380239981514971,-0.01008216800335685,0,-0.014420192001508346
2023-06-08,-0.00038164371698077892,0.0039279833164427222,0,0.0035463395994619431
2023-06-09,0.0085934611101320599,-0.012386292586113904,0,-0.0037928314759818442
2023-06-12,-0.0017044443991166833,-0.023315174393595629,0,-0.025019618792712313
2023-06-13,0.0025403470342308158,0.0051305877595057628,0.0014015119366560514,0.0090724467303926297
2023-06-14,0.011275773856139672,-0.0097325968492958347,0,0.0015431770068438377
2023-06-15,-0.0034335846559773913,-0.01935445705505202,0,-0.022788041711029411
2023-06-16,0.017859248987566023,-0.030399052774063403,0,-0.012539803786497383
2023-06-19,-0.0001393722486367888,-0.013461446361693793,0,-0.013600818610330584
2023-06-20,0.0040143812222633206,-0.019225372784354617,0,-0.015210991562091295
2023-06-21,-0.0095971767311676531,0.0099609317157119577,0,0.00036375498454430458
2023-06-26,-0.0059492813411341026,0.022062476239931343,-0.01722053554595853,-0.0011073406471612899
2023-06-27,0,0,0,0
2023-06-28,0,0,0,0
2023-06-29,0,0,0,0
2023-06-30,0,0,0,0
2023-07-03,0,0,0,0
2023-07-04,0,0,0,0
2023-07-05,0,0,0,0
2023-07-06,0,0,0,0
2023-07-07,0,0,0,0
2023-07-10,0,0,0,0
2023-07-11,0,0,0,0
2023-07-12,0,0,0,0
2023-07-13,0,0,0,0
2023-07-14,0,0,0,0
2023-07-17,0,0,0,0
2023-07-18,0,0,0,0
2023-07-19,0,0,0,0
2023-07-20,0,0,0,0
2023-07-21,0,0,0,0
2023-07-24,0,0,0,0
2023-07-25,0,0,0,0
2023-07-26,0,0,0,0
2023-07-27,0,0,0,0
2023-07-28,0,0,0,0
2023-07-31,0,0,0,0
2023-08-01,0,0,0,0
2023-08-02,0,0,0,0
2023-08-03,0,0,0,0
2023-08-04,0,0,0,0
2023-08-07,0,0,0,0
2023-08-08,0,0,0,0
2023-08-09,0,0,0,0
2023-08-10,0,0,0,0
2023-08-11,0,0,0,0
2023-08-14,0,0,0,0
2023-08-15,0,0,0,0
2023-08-16,0,0,0,0
2023-08-17,0,0,0,0
2023-08-18,0,0,0,0
2023-08-21,0,0,0,0
2023-08-22,0,0,0,0
2023-08-23,0,0,0,0
2023-08-24,0,0,0,0
2023-08-25,0,0,0,0
2023-08-28,0,0,0,0
2023-08-29,0,0,0,0
2023-08-30,0,0,0,0
2023-08-31,0,0,0,0
2023-09-01,0,0,0,0
2023-09-04,0,0,-4.7867292387844887e-09,-4.7867292387844887e-09
2023-09-05,1.0377763943292795e-07,-1.7305486526909618e-08,0,8.647215290601834e-08
2023-09-06,-1.700958823389575e-07,3.1251489028254961e-08,0,-1.3884439331070253e-07
2023-09-07,1.9428944695928454e-07,-4.3391798554783124e-09,-0.00079106932607678638,-0.00079087937580967979
2023-09-08,-0.00024371565297199441,-6.1688063427458499e-05,0,-0.00030540371639945288
2023-09-11,0.00021498749378472403,0.00018374290203947827,0,0.00039873039582420233
2023-09-12,-0.00019522935719165903,8.2061810218139663e-05,0,-0.00011316754697351938
2023-09-13,2.4933753488649949e-05,3.162199250275327e-05,0,5.6555745991403216e-05
2023-09-14,-0.00063626569676225088,-5.3156754561812661e-05,0,-0.00068942245132406349
2023-09-15,0.00053161491539539189,0.00013799589933123906,0,0.00066961081472663095
2023-09-18,-0.0009658920213880531,-6.6884470851457657e-07,0,-0.00096656086609656772
2023-09-19,-0.00033931230399352608,5.6710853505355853e-05,0.00031139869856577673,2.8797248077606528e-05
2023-09-20,-3.4923714418137602e-05,2.8491481189237658e-19,2.7232832506236521e-05,-7.6908819119007963e-06
2023-09-21,0,0,-0.0002511173177120467,-0.0002511173177120467
2023-09-22,0.0027073397481490119,0,0.0014648116807144233,0.0041721514288634368
2023-09-25,-0.0010186855180107997,-6.5691805107567139e-19,-0.0007448803668310052,-0.0017635658848418057
2023-09-26,0.0010219535710224196,0.0011064536457584572,0,0.0021284072167808768
2023-09-27,0.00097020318137729827,0.0012418069158750022,0,0.0022120100972523003
2023-09-28,-0.00032232149184466377,-0.0017525546404267955,0,-0.0020748761322714592
2023-10-09,0.00045538647080459996,-0.00099339747767359645,0,-0.00053801100686899639
2023-10-10,0.00018023521024451957,0.0002102295146536255,0,0.00039046472489814507
2023-10-11,-0.00050200715572071199,-0.00024710761546101629,0,-0.00074911477118172823
2023-10-12,-0.0026519213850329459,-0.0056072533829958551,0,-0.0082591747680288014
2023-10-13,0.00087949192139733098,-0.00020280634992272625,-0.00015358190409427624,0.00052310366738032854
2023-10-16,-0.0028743757706965667,-1.6283128520431381e-05,0.00038722775783595287,-0.0025034311413810427
2023-10-17,0.0012301038301995412,0,-0.0032243308711869226,-0.0019942270409873813
2023-10-18,-1.5374468963130765e-05,-3.514466498985569e-05,0,-5.0519133952986461e-05
2023-10-19,-1.7399721285523701e-06,0.00041340622724941363,0,0.00041166625512086127
2023-10-20,-1.9344715650555438e-05,-0.0011843294291609876,0,-0.001203674144811543
2023-10-23,-6.8943052561598849e-06,0.000663810552671986,0,0.00065691624741582612
2023-10-24,4.7381388481461083e-05,0.00015094667152138646,0,0.00019832806000284753
2023-10-25,-6.3084732201445873e-06,-0.0003853839299527037,0,-0.00039169240317284831
2023-10-26,1.3824209799596429e-06,0.0013419464635143986,0,0.0013433288844943584
2023-10-27,8.0906778092287241e-06,0.00073533497969865871,0,0.00074342565750788736
2023-10-30,1.6987073790856487e-05,-0.00021622958776598857,0,-0.00019924251397513207
2023-10-31,1.3485099949681644e-05,0.0012382037443569472,0,0.0012516888443066289
2023-11-01,-2.3607302904606978e-05,-0.0018255174334530734,0,-0.0018491247363576803
2023-11-02,-1.6743460516231772e-05,-0.0013039050395208327,0,-0.0013206485000370645
2023-11-03,3.1214577152804337e-06,0.0011397411533978698,0,0.0011428626111131502
2023-11-06,-8.1347717388210979e-06,0.00047145130056758841,0,0.00046331652882876731
2023-11-07,-6.7404005862645556e-06,-0.0028181937335257576,0,-0.0028249341341120221
2023-11-08,2.7725817550670466e-05,-0.0003239781766078471,0,-0.00029625235905717667
2023-11-09,-1.2659871480252553e-05,0.00061079396044159799,0,0.0005981340889613454
2023-11-10,3.7409839273655626e-06,-0.00072910327228588247,0,-0.00072536228835851698
2023-11-13,1.2701035397735123e-05,0.00096076547025369117,0,0.0009734665056514262
2023-11-14,1.2527305800954924e-06,-0.0011147629741277783,0,-0.0011135102435476827
2023-11-15,-2.2319812115434252e-05,0.00068078530948700216,0,0.00065846549737156798
2023-11-16,-1.836150455759473e-05,-0.0012924670532020598,0,-0.0013108285577596544
2023-11-17,7.5562369805808296e-06,-0.00086865792766532412,-0.00054092012361381923,-0.0014020218142985624
2023-11-20,0.00067721930616352775,0.00025827850089118679,0.00028699070701976981,0.0012224885140744851
2023-11-21,0.0012506051212289595,1.7867126254739233e-18,-0.036751993011549217,-0.035501387890320257
2023-11-22,-0.00054268912679619253,0.040497295097315762,-0.00053184531072685112,0.039422760659792708
2023-11-23,0.004428836825546921,-0.036766652890033467,0.014543300143622059,-0.017794515920864486
2023-11-24,0.013698337873382671,-0.0082184514288114463,-0.013292945547101052,-0.007813059102529829
2023-11-27,0.0031250621784631939,2.2342672882740701e-05,-0.007083107711866661,-0.003935702860520726
2023-11-28,-0.0040733225780812087,0.0039404848199303746,-0.0056237964637991713,-0.005756634221950007
2023-11-29,0.00062558524557783683,0.0044711852799351331,0,0.0050967705255129695
2023-11-30,-0.0032702214849624133,0.0083832334937887203,0,0.0051130120088263079
2023-12-01,-0.0012037643797559324,-0.0030119537677260797,0,-0.0042157181474820121
2023-12-04,-0.0024629069703319328,0.00010072649939563842,0,-0.0023621804709362945
2023-12-05,0.00073465854560840677,0.0084371088954461951,0,0.0091717674410545999
2023-12-06,-0.0080787158594654712,0.004759566247655272,0,-0.0033191496118102001
2023-12-07,0.0074497584041755532,-0.00419232679066079,0,0.0032574316135147632
2023-12-08,-0.022066138292092054,-0.0039055644909268706,0,-0.025971702783018927
2023-12-11,-0.0045418932220822267,0.0036594820702067028,0,-0.00088241115187552392
2023-12-12,0.0046013121777330373,-0.0020866441286409589,0,0.0025146680490920788
2023-12-13,0.0084880133982892722,7.3884408881809812e-05,0,0.0085618978071710823
2023-12-14,0.006462604595082579,0.002259809073836873,0,0.0087224136689194511
2023-12-15,0.0056774415181171716,-0.0037240442500931668,0.00084776746786496457,0.0028011647358889696
2023-12-18,-0.0023550414260278475,0,0.022268987231527537,0.01991394580549969
2023-12-19,-2.2147120052519703e-05,-0.001000776010611991,0,-0.0010229231306645107
2023-12-20,0.00015250607021268753,0.0080158243718748447,0,0.0081683304420875312
2023-12-21,-0.00021405355225724541,0.0058629428883632271,-0.0050009489773220391,0.00064794035878394142
2023-12-22,-0.00014752351997643701,-0.0058668586054739236,0,-0.0060143821254503606
2023-12-25,-2.4993385569864366e-05,0.004770055297800304,-1.1230476037544743e-05,0.0047338314361928951
2023-12-26,-3.0298891055663723e-05,-0.0032796055993259497,1.153566290803205e-05,-0.0032983688274735804
