symbol,control,treatment,difference
sh601869,1848625.3248504889,-131046.2226143509,-1979671.5474648399
sh688498,2432980.1865643347,1369216.0772241589,-1063764.1093401758
sh688256,1899276.9938091373,1221765.9193485996,-677511.07446053764
sh688041,467954.61234011117,97868.606257747291,-370086.00608236389
sh600206,35733.235119208388,-290739.44692715729,-326472.68204636569
sh688300,0,-261326.97763162185,-261326.97763162185
sh603986,1872.0005136890977,-130540.69185629429,-132412.69236998339
sh688535,-142364.00938288984,-255404.19553394313,-113040.18615105329
sz300223,0,-99875.974433047668,-99875.974433047668
sh688072,-10893.491449118166,-68350.959493394868,-57457.468044276698
sz300308,851423.89828433516,832406.28462357726,-19017.613660757896
sh688012,12093.016766672597,3693.2699243331117,-8399.7468423394857
sh688120,-3535.1539874860746,0,3535.1539874860746
sh688082,-118850.7143311628,-113126.48833381852,5724.2259973442851
sh688361,-67133.660174595716,-60616.969068884995,6516.6911057107209
sh688268,-65066.786402448153,-50029.451133641851,15037.335268806302
sh688205,114789.14227731767,147482.25407035247,32693.111793034797
sh688019,-317326.82947714708,-277158.66617457988,40168.163302567205
sh688037,-235299.88260041119,-188182.96312055655,47116.919479854638
sh688249,-100853.80752831139,0,100853.80752831139
sz300394,97085.837007204726,208126.01627534771,111040.17926814298
sz002371,-135804.76250338831,437715.94586292334,573520.70836631162
sz300502,-102332.15635134498,4034408.3318408546,4136740.4881921997
