symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sh688535,2023-11-21,2023-11-20,-255404.19553394313,1350357.8087999998,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2023-11-27,2023-11-24,-255404.19553394313,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.18913816313685702
sh688256,2025-02-26,2025-02-25,-214655.31433189218,1609434.6968699999,2,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-03-24,2025-03-21,-214655.31433189218,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.13337311215506292
sh688300,2025-10-29,2025-10-28,-167729.39041901054,1340163.2243999999,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-11-14,2025-11-13,-167729.39041901054,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.12515594172799668
sh600206,2025-03-04,2025-03-03,-163730.7786692651,1797745.9499999997,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2025-03-21,2025-03-20,-163730.7786692651,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.091075593116627593
sh688037,2025-03-25,2025-03-24,-156339.40713734482,1306679.8544799997,1,2,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2025-04-08,2025-04-07,-156339.40713734482,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.1196462979063536
sh688256,2025-10-29,2025-10-28,-144909.86221224652,1251009.76,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-11-05,2025-11-04,-144909.86221224652,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.11583431788113828
sh688019,2025-05-13,2025-05-12,-131329.87253633304,1959687.2294999999,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2025-05-28,2025-05-27,-131329.87253633304,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.067015731163304518
sh601869,2025-02-11,2025-02-10,-131046.22261435073,1207689.483,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-03-03,2025-02-28,-131046.22261435073,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.10850986487753551
sh600206,2024-11-27,2024-11-26,-127008.66825789213,988803.81599999976,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2024-12-12,2024-12-11,-127008.66825789213,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.1284467820640896
sh688256,2024-07-23,2024-07-22,-116644.64828534727,2067930.865,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION|FRESH_ADMISSION_BUDGET_COMPLETION,2024-07-24,2024-07-23,-116644.64828534727,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.056406454519139483
sh688082,2023-09-04,2023-09-01,-113126.48833381874,1574884.3109999998,2,2,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-09-20,2023-09-19,-113126.48833381874,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.071831618071036052
