symbol,signal,settled,turnover_ratio,payoff
sh603986,2023-01-19,2023-02-20,1.120315253762644,-0.084545363145739016
sz300394,2023-02-20,2023-03-16,2.344371641518713,-0.071791257315285156
sz300502,2023-01-18,2023-03-16,0.9187826835038515,0.18482494750178444
sz300394,2023-03-21,2023-05-05,0.92370575892784157,0.27343923404664577
sz300502,2023-05-31,2023-06-28,0.94659697610471949,0.028757513099978094
sz300308,2023-03-20,2023-07-06,0.96559333601573283,1.5317255902389957
sh688008,2023-07-10,2023-07-13,1.0711364457004455,-0.025061985787505292
sz300308,2023-07-17,2023-07-21,1.0616002059513043,-0.19442902249526212
sz300394,2023-07-17,2023-07-24,0.91180073129017147,-0.17140177744237264
sh603986,2023-08-03,2023-08-07,0.72656960699628748,-0.077654240121182994
sh603986,2023-11-07,2023-11-21,1.2081346516166318,-0.065072648541078165
sz300308,2023-11-21,2023-11-24,0.98295920428286698,-0.050304480400489925
sh688008,2023-11-07,2023-12-26,1.2799526581568872,-0.018480738959365951
sz300502,2023-12-01,2024-01-04,1.2108656846579264,-0.062701557637768995
sz300308,2024-01-25,2024-01-30,1.0202281448345709,-0.13311220735004653
sz300394,2024-01-24,2024-01-30,0.99357925354722565,-0.13018680246582667
sz300308,2024-02-21,2024-03-28,1.5709358480635132,-0.022578181034873027
sz300394,2024-02-08,2024-03-28,1.3878327571294862,0.32620236221261417
sz300308,2024-04-16,2024-04-23,0.64157586620859131,-0.059503850527236279
sz300394,2024-04-19,2024-04-26,0.90685874841536585,0.039353046751596996
sz300308,2024-04-30,2024-05-16,0.92422172708614803,-0.10394996883084033
sh688008,2024-05-22,2024-05-27,0.77385136801463739,-0.040735964362116357
sz300502,2024-04-24,2024-05-27,0.8248971266840367,0.11358109015067348
sh603986,2024-06-17,2024-07-24,1.0352613848593921,-0.067695325858508376
sz300502,2024-06-06,2024-07-24,1.0118748727498608,0.023020954063332398
sz300308,2024-09-26,2024-10-14,1.0407514695645057,0.23440747923051788
sz300502,2024-09-26,2024-10-17,1.0807768856829176,0.25584451753608528
sh603986,2024-10-14,2024-11-19,2.2823313570813419,-0.037101326809267053
sz300394,2024-10-22,2024-11-19,1.5863922357256661,-0.10396675702112819
sh603986,2024-12-20,2025-01-02,1.8337755679287155,-0.09284347154619188
sh688008,2024-12-19,2025-01-02,0.93247435623767971,-0.040193850307275389
sh603986,2025-01-20,2025-03-03,1.3163643676853611,-0.014268797435782238
sh688008,2025-02-10,2025-03-03,0.96428338988246376,0.086166871577649615
sh603986,2025-05-09,2025-05-26,1.2734101742667157,-0.083408321406932578
sh688008,2025-06-03,2025-06-24,0.79244308319118917,-0.022382618759410274
sh603986,2025-06-24,2025-07-03,0.84916961743778163,-0.035697157315200623
sz300308,2025-07-03,2025-09-05,1.289028139119706,1.5403981194942657
sz300502,2025-05-09,2025-09-05,1.3967139037053284,2.8646813096664823
sh603986,2025-09-15,2025-09-29,1.582741385207225,0.036714333873297943
sh688008,2025-09-16,2025-09-29,1.356026447769735,0.11788658334118422
sz300502,2025-10-30,2025-11-05,0.96443879884968353,-0.10181619963238586
sz300308,2025-10-23,2025-11-24,0.87394581308571528,-0.051558033874590035
sz300394,2025-12-05,2025-12-17,1.1776553288281446,0.0097782697947305808
