date,participation_log,selection_log,execution_log,total_log
2023-01-03,0,0,0,0
2023-01-04,0,0,0,0
2023-01-05,0,0,0,0
2023-01-06,0,0,0,0
2023-01-09,0,0,0,0
2023-01-10,0,0,0,0
2023-01-11,0,0,0,0
2023-01-12,0,0,0,0
2023-01-13,0,0,0,0
2023-01-16,0,0,0,0
2023-01-17,0,0,0,0
2023-01-18,0,0,0,0
2023-01-19,0,0,0,0
2023-01-20,0,0,0,0
2023-01-30,0,0,0,0
2023-01-31,-0,0,0,0
2023-02-01,0,0,0,0
2023-02-02,0,0,0,0
2023-02-03,0,0,0,0
2023-02-06,0,0,0,0
2023-02-07,0,0,0,0
2023-02-08,-0,0,0,0
2023-02-09,0,0,0,0
2023-02-10,0,0,0,0
2023-02-13,0,0,0,0
2023-02-14,-0,0,0,0
2023-02-15,0,0,0,0
2023-02-16,-0,0,0,0
2023-02-17,-0,0,0,0
2023-02-20,0,0,0,0
2023-02-21,-0,0,0,0
2023-02-22,-0,0,0,0
2023-02-23,-0,0,0,0
2023-02-24,0,0,0,0
2023-02-27,-0,0,0,0
2023-02-28,0,0,0,0
2023-03-01,0,0,0,0
2023-03-02,0,0,0,0
2023-03-03,-0,0,0,0
2023-03-06,-0,0,0,0
2023-03-07,-0,0,0,0
2023-03-08,0,0,0,0
2023-03-09,0,0,0,0
2023-03-10,-0,0,0,0
2023-03-13,0,0,0,0
2023-03-14,-0,0,0,0
2023-03-15,-0,0,0,0
2023-03-16,-0,0,0,0
2023-03-17,0,0,0,0
2023-03-20,0,0,0,0
2023-03-21,0,0,0,0
2023-03-22,0,0,0,0
2023-03-23,0,0,0,0
2023-03-24,0,0,0,0
2023-03-27,0,0,0,0
2023-03-28,-0,0,0,0
2023-03-29,0,0,0,0
2023-03-30,-0,0,0,0
2023-03-31,0,0,0,0
2023-04-03,0,0,0,0
2023-04-04,0,0,0,0
2023-04-06,0,0,0,0
2023-04-07,0,0,0,0
2023-04-10,-0,0,0,0
2023-04-11,-0,0,0,0
2023-04-12,0,0,0,0
2023-04-13,-0,0,0,0
2023-04-14,0,0,0,0
2023-04-17,-0,0,0,0
2023-04-18,0,0,0,0
2023-04-19,0,0,0,0
2023-04-20,0,0,0,0
2023-04-21,-0,0,0,0
2023-04-24,0,0,0,0
2023-04-25,-0,0,0,0
2023-04-26,-0,0,0,0
2023-04-27,-0,0,0,0
2023-04-28,0,0,0,0
2023-05-04,-0,0,0,0
2023-05-05,-0,0,0,0
2023-05-08,-0,0,0,0
2023-05-09,0,0,0,0
2023-05-10,-0,0,0,0
2023-05-11,-0,0,0,0
2023-05-12,0,0,0,0
2023-05-15,0,0,0,0
2023-05-16,-0,0,0,0
2023-05-17,0,0,0,0
2023-05-18,0,0,0,0
2023-05-19,-0,0,0,0
2023-05-22,-0,0,0,0
2023-05-23,-0,0,0,0
2023-05-24,0,0,0,0
2023-05-25,0,0,0,0
2023-05-26,-0,0,0,0
2023-05-29,0,0,0,0
2023-05-30,0,0,0,0
2023-05-31,-0,0,0,0
2023-06-01,0,0,0,0
2023-06-02,-0,0,0,0
2023-06-05,0,0,0,0
2023-06-06,-0,0,0,0
2023-06-07,0,0,0,0
2023-06-08,-0,0,0,0
2023-06-09,0,0,0,0
2023-06-12,0,0,0,0
2023-06-13,0,0,0,0
2023-06-14,0,0,0,0
2023-06-15,0,0,0,0
2023-06-16,0,0,0,0
2023-06-19,0,0,0,0
2023-06-20,0,0,0,0
2023-06-21,-0,0,0,0
2023-06-26,-0,0,0,0
2023-06-27,-0,0,0,0
2023-06-28,-0,0,0,0
2023-06-29,0,0,0,0
2023-06-30,-0,0,0,0
2023-07-03,-0,0,0,0
2023-07-04,0,0,0,0
2023-07-05,-0,0,0,0
2023-07-06,0,0,0,0
2023-07-07,0,0,0,0
2023-07-10,0,0,0,0
2023-07-11,0,0,0,0
2023-07-12,-0,0,0,0
2023-07-13,0,0,0,0
2023-07-14,0,0,0,0
2023-07-17,0,0,0,0
2023-07-18,0,0,-0.00087578060001282886,-0.00087578060001282897
2023-07-19,-7.250767693716732e-05,-2.6134196720419062e-05,0,-9.8641873657586386e-05
2023-07-20,-0.00065278919893092184,-5.1683889352372752e-05,0,-0.00070447308828329447
2023-07-21,-4.9376999519221401e-05,0.00037218405814548014,-6.080396103022678e-05,0.00026200309759603219
2023-07-24,-0.00031987465856656879,-8.1317963746804441e-19,0.00032287408095750981,2.9994223909401597e-06
2023-07-25,0,0,0,0
2023-07-26,0,0,0,0
2023-07-27,0,0,0,0
2023-07-28,0,0,0,0
2023-07-31,0,0,0,0
2023-08-01,0,0,0,0
2023-08-02,0,0,0,0
2023-08-03,0,0,0,0
2023-08-04,0,0,-2.0942241862611025e-05,-2.0942241862611025e-05
2023-08-07,-4.9263641879279565e-06,-1.829681252854179e-19,-1.8182652327828745e-06,-6.7446294207112317e-06
2023-08-08,0,0,0,0
2023-08-09,0,0,0,0
2023-08-10,0,0,0,0
2023-08-11,0,0,0,0
2023-08-14,0,0,0,0
2023-08-15,0,0,0,0
2023-08-16,0,0,0,0
2023-08-17,0,0,0,0
2023-08-18,0,0,0,0
2023-08-21,0,0,0,0
2023-08-22,0,0,0,0
2023-08-23,0,0,0,0
2023-08-24,0,0,0,0
2023-08-25,0,0,0,0
2023-08-28,0,0,0,0
2023-08-29,0,0,0,0
2023-08-30,0,0,0,0
2023-08-31,0,0,0,0
2023-09-01,0,0,0,0
2023-09-04,0,0,0,0
2023-09-05,0,0,0,0
2023-09-06,0,0,0,0
2023-09-07,0,0,0,0
2023-09-08,0,0,0,0
2023-09-11,0,0,0,0
2023-09-12,0,0,0,0
2023-09-13,0,0,0,0
2023-09-14,0,0,0,0
2023-09-15,0,0,0,0
2023-09-18,0,0,0,0
2023-09-19,0,0,0,0
2023-09-20,0,0,0,0
2023-09-21,0,0,0,0
2023-09-22,0,0,0,0
2023-09-25,0,0,0,0
2023-09-26,0,0,0,0
2023-09-27,0,0,0,0
2023-09-28,0,0,0,0
2023-10-09,0,0,0,0
2023-10-10,0,0,0,0
2023-10-11,0,0,0,0
2023-10-12,0,0,0,0
2023-10-13,0,0,0,0
2023-10-16,0,0,0,0
2023-10-17,0,0,0,0
2023-10-18,0,0,0,0
2023-10-19,0,0,0,0
2023-10-20,0,0,0,0
2023-10-23,0,0,0,0
2023-10-24,0,0,0,0
2023-10-25,0,0,0,0
2023-10-26,0,0,0,0
2023-10-27,0,0,0,0
2023-10-30,0,0,0,0
2023-10-31,0,0,0,0
2023-11-01,0,0,0,0
2023-11-02,0,0,0,0
2023-11-03,0,0,0,0
2023-11-06,0,0,0,0
2023-11-07,0,0,0,0
2023-11-08,0,0,0.0001186770443757135,0.0001186770443757135
2023-11-09,-5.3032530496747425e-05,0.0001284557628977233,0,7.5423232400975877e-05
2023-11-10,-1.1355587726343803e-05,-0.0002211930151252759,0,-0.00023254860285161971
2023-11-13,6.0918068501200191e-05,0.0015980711242045145,0,0.0016589891927057147
2023-11-14,3.1071592264245759e-05,0.00065748885630574432,-0.00043319107749125276,0.00025536937107873726
2023-11-15,-0.00035756412931866189,-0.00053338709217172757,0,-0.00089095122149038947
2023-11-16,0.00019636207975520613,0.00048078325122185618,0,0.00067714533097706225
2023-11-17,-8.7853566600837145e-05,7.8510693020879783e-05,0,-9.3428735799573615e-06
2023-11-20,0.00070295949967365181,0.00045976848793822828,0,0.00116272798761188
2023-11-21,-0.0001345898804426899,0.0011676019890880887,-0.00071787029188942161,0.00031514181675597677
2023-11-22,-0.00012505270792954797,-5.5367509778729349e-19,0.00037841247846863847,0.00025335977053908901
2023-11-23,2.6520175051551983e-05,-9.1836281797007488e-05,0,-6.5316106745455516e-05
2023-11-24,-0.00021246768679896116,0.00027849152265577311,-0.00022175481292821119,-0.00015573097707139924
2023-11-27,6.7253836323066709e-05,2.7044180598023383e-19,0,6.725383632306698e-05
2023-11-28,-3.5051224851324714e-05,1.6960532350886519e-19,0,-3.5051224851324544e-05
2023-11-29,7.2930807508920673e-05,-1.351948556686354e-19,0,7.2930807508920538e-05
2023-11-30,0.00027963639447059192,-5.3702109164523665e-19,0,0.00027963639447059138
2023-12-01,0.0003136343907476773,1.0726991696198591e-19,0,0.00031363439074767741
2023-12-04,-0.00014899987420008244,6.8144678761223728e-19,7.1077596912542974e-06,-0.00014189211450882713
2023-12-05,-0.00032643996138908855,-9.4538585467699422e-05,0,-0.00042097854685678796
2023-12-06,6.1739737599698929e-05,-2.0942521965624562e-05,0,4.0797215634074367e-05
2023-12-07,9.1606744874449153e-05,-0.00065057021013551842,0,-0.00055896346526106925
2023-12-08,0.0003779428294317328,-0.00046723177676296702,-0.00075941881628187932,-0.00084870776361311434
2023-12-11,6.8750810777622116e-07,0.00037574602014860928,0,0.00037643352825638549
2023-12-12,-3.6486630875863475e-07,0.00095420251254025993,0,0.00095383764623150138
2023-12-13,-1.550017749008589e-07,7.667699094023759e-06,0,7.5126973191229005e-06
2023-12-14,5.960287716305945e-07,-5.9181513706875217e-05,0,-5.8585484935244625e-05
2023-12-15,-8.2830182474545202e-07,0.00057684410531193113,0,0.00057601580348718567
2023-12-18,-5.3992131545465187e-08,-0.00047691153075213582,0,-0.00047696552288368122
2023-12-19,1.0341470439378885e-07,2.2639722964807318e-05,0,2.2743137669201108e-05
2023-12-20,-7.6144928445387919e-07,0.00067208600177503586,0,0.00067132455249058198
2023-12-21,6.2727012160168228e-07,-0.00021271986579714236,0,-0.00021209259567554067
2023-12-22,-7.4125437411990459e-07,0.00029782654133969866,0,0.00029708528696557879
2023-12-25,-3.5861776474599595e-07,-0.00077580463125205578,0,-0.00077616324901680182
2023-12-26,-8.7577851607142016e-07,0.0003015510305449818,0.00039140096354658424,0.00069207621557549823
2023-12-27,0.00012193730115335309,-5.0309331719267086e-19,0,0.0001219373011533526
2023-12-28,-0.00045611042395211443,5.3545142639396944e-19,0,-0.00045611042395211389
2023-12-29,-0.0003552862067174715,4.2948563419804034e-19,0,-0.00035528620671747106
2024-01-02,0.00047155914210325264,0,0,0.00047155914210325264
2024-01-03,0.00052104178005975851,-5.4976744942379731e-19,0,0.00052104178005975797
2024-01-04,-0.00038596492626414598,2.1664629213055762e-19,0.00035251147889065908,-3.3453447373486692e-05
2024-01-05,0,0,0,0
2024-01-08,0,0,0,0
2024-01-09,0,0,0,0
2024-01-10,0,0,0,0
2024-01-11,0,0,0,0
2024-01-12,0,0,0,0
2024-01-15,0,0,0,0
2024-01-16,0,0,0,0
2024-01-17,0,0,0,0
2024-01-18,0,0,0,0
2024-01-19,0,0,0,0
2024-01-22,0,0,0,0
2024-01-23,0,0,0,0
2024-01-24,0,0,0,0
2024-01-25,0,0,-4.9708109192553307e-05,-4.9708109192553307e-05
2024-01-26,8.0611946649368802e-05,2.2358350772633715e-19,5.9377865959258255e-06,8.6549733245292609e-05
2024-01-29,0.00021486981227057133,5.3316140730569803e-18,0,0.00021486981227057667
2024-01-30,5.9591523182562093e-06,-1.5317694494887302e-20,8.4258681189807861e-06,1.4385020437236544e-05
2024-01-31,0,0,0,0
2024-02-01,0,0,0,0
2024-02-02,0,0,0,0
2024-02-05,0,0,0,0
2024-02-06,0,0,0,0
2024-02-07,0,0,0,0
2024-02-08,0,0,0,0
2024-02-19,0,0,-9.02679136036387e-05,-9.02679136036387e-05
2024-02-20,1.1260478742985399e-05,-1.2242923528210241e-19,0,1.1260478742985275e-05
2024-02-21,3.3811272952093957e-05,9.1133311173650462e-19,0,3.3811272952094865e-05
2024-02-22,-4.0275372776607395e-06,-1.6623292532294762e-19,-7.8936817598522052e-05,-8.2964354876182735e-05
2024-02-23,-0.00010543410245466959,-1.6656367302346725e-05,0,-0.00012209046975701632
2024-02-26,8.8056061006142248e-06,2.2314382684528319e-05,0,3.1119988785142548e-05
2024-02-27,0.00024735000761238741,-5.6800559053199443e-05,0,0.00019054944855918798
2024-02-28,-0.00018440271361808334,-2.2312169969005788e-05,0,-0.00020671488358708912
2024-02-29,0.00014898405432860778,-9.9610060269635382e-05,0,4.9373994058972415e-05
2024-03-01,5.8664077291773038e-05,5.8804140028904821e-05,0,0.00011746821732067786
2024-03-04,7.757990878812224e-05,-1.3875100021425035e-05,0,6.3704808766697207e-05
2024-03-05,-1.9388587574148741e-05,0.00012499915206883662,0,0.00010561056449468788
2024-03-06,-1.6709709273535902e-05,-2.0176057086618206e-05,0,-3.6885766360154112e-05
