symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sz300502,2025-10-29,2025-10-28,-320436.04008653364,1456655.1999999997,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-11-05,2025-11-04,-320436.04008653364,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.21998070654368562
sz300394,2024-01-25,2024-01-24,-286130.75812090491,2197847.6519999998,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-01-30,2024-01-29,-286130.75812090491,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.13018680246582667
sh603986,2025-05-12,2025-05-09,-185479.13186820853,2223748.5269999998,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-05-26,2025-05-23,-185479.13186820853,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.083408321406932426
sz300308,2023-07-18,2023-07-17,-168238.73944239796,865296.43199999991,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-07-21,2023-07-20,-168238.73944239796,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.19442902249526203
sh603986,2024-06-18,2024-06-17,-125177.05993275438,1849928.0799999998,2,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-07-24,2024-07-23,-125177.05993275438,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.067665906197150322
sz300394,2024-10-23,2024-10-22,-124710.02971783187,1199518.3199999998,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-11-19,2024-11-18,-124710.02971783187,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.10396675702112819
sz300308,2024-04-17,2024-04-16,-118310.33342042542,1988280.294,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-04-23,2024-04-22,-118310.33342042542,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.059503850527236286
sz300502,2023-12-04,2023-12-01,-113678.46663199598,1833391.5599999996,2,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-01-04,2024-01-03,-113678.46663199598,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.06200446708285054
sh603986,2024-10-15,2024-10-14,-103585.22275394807,2742040.3009999995,3,2,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-11-19,2024-11-18,-103585.22275394807,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.037776695957448689
sz300394,2023-07-18,2023-07-17,-100987.97328878328,589188.59999999998,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-07-24,2023-07-21,-100987.97328878328,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.17140177744237292
sz300308,2025-10-24,2025-10-23,-100750.9639561167,4228254.0299999993,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-11-24,2025-11-21,-100750.9639561167,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.023828030019311948
sh688008,2024-12-20,2024-12-19,-94414.045203182846,2348995.0083599994,2,1,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-01-02,2024-12-31,-94414.045203182846,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.040193378388275081
sh603986,2023-08-04,2023-08-03,-84584.738168196753,1089248.1599999999,1,1,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-08-07,2023-08-04,-84584.738168196753,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.077654240121182994
sh603986,2024-12-23,2024-12-20,-83483.018926763791,899180.28200000001,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-01-02,2024-12-31,-83483.018926763791,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.09284347154619188
sz300308,2023-11-22,2023-11-21,-74988.345644621877,1490689.1999999997,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-11-24,2023-11-23,-74988.345644621877,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.050304480400489848
sh688008,2023-07-11,2023-07-10,-65094.842491440475,2597353.7389799994,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-07-13,2023-07-12,-65094.842491440475,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.025061985787505292
sh603986,2025-06-25,2025-06-24,-62969.07934284769,1763980.2179999999,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-07-03,2025-07-02,-62969.07934284769,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.035697157315200512
sz300308,2024-01-26,2024-01-25,-59742.137967393443,448810.36199999996,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-01-30,2024-01-29,-59742.137967393443,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.13311220735004653
sz300502,2025-12-18,2025-12-17,-3414535.7865418796,3413648.2379999994,1,0,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,OPEN,,-53791.161371376831,,-0.015757675548577377
sh603986,2023-11-08,2023-11-07,-52111.805394725059,800825.02499999991,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-11-21,2023-11-20,-52111.805394725059,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.065072648541078082
sz300308,2024-05-06,2024-04-30,-49685.746226842981,477977.49999999994,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-05-16,2024-05-15,-49685.746226842981,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.10394996883084033
sh688008,2023-11-08,2023-11-07,-41782.191947963089,2347224.0091300001,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-12-26,2023-12-25,-41782.191947963089,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.017800683609848419
sh688008,2025-06-04,2025-06-03,-39936.197996543255,1784250.4680000001,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-06-24,2025-06-23,-39936.197996543255,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.022382618759410212
sh688008,2024-05-23,2024-05-22,-32648.701038751751,801471.17049999989,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-05-27,2024-05-24,-32648.701038751751,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.040735964362116447
sh603986,2025-01-21,2025-01-20,-32085.639655907173,2227939.7139999997,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-03-03,2025-02-28,-32085.639655907173,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.014401484678551395
