symbol,control,treatment,difference
sz002371,105272.1430493118,30465.95930991113,-74806.183739400672
sh688256,1368695.9059632279,1343327.7919384236,-25368.114024804207
sh688361,-49472.05740311266,-74395.239861310518,-24923.182458197858
sh600206,-26694.329634943173,-37022.897406737415,-10328.567771794242
sz300223,-76743.776990911749,-81595.395076544111,-4851.6180856323626
sz300604,-69140.977880078513,-73250.756285537456,-4109.7784054589429
sh688008,-111964.47002564734,-115710.10344072012,-3745.633415072778
sh688072,-11879.663399434763,-14589.090774776945,-2709.4273753421821
sh688535,-153713.8247395631,-155719.70356652618,-2005.878826963075
sz002281,-33793.259340812154,-34338.311910825338,-545.05257001318387
sz300054,-49396.970181239951,-49396.970181239951,0
sh688012,-2028.3968013685289,-1235.9197633326085,792.47703803592049
sh688347,-67467.300154531185,-65848.564576178978,1618.7355783522071
sh688120,-2133.7682434427716,0,2133.7682434427716
sh688268,-41189.64273598187,-35368.894583424357,5820.7481525575131
sh688019,9794.7346435770269,17032.425132639692,7237.6904890626647
sh688082,-103346.85457659992,-94235.904072819976,9110.950503779939
sz002409,-28267.161591378877,-18586.626799810794,9680.5347915680832
sh688041,200466.6386195595,219436.678587061,18970.039967501507
sh688300,-55505.152918503736,-33267.291111563223,22237.861806940513
sh688498,594894.50552024134,630348.35530551884,35453.849785277504
sh688409,-115389.99584996808,-70263.056768563416,45126.939081404664
sh688249,-59528.447808160461,0,59528.447808160461
sh603986,-136046.94914617733,-45326.774257667625,90720.174888509704
sh601869,1568167.9841946464,1662017.5515061622,93849.567311515799
sh688037,-158636.22321992877,-54315.086495381242,104321.13672454753
sh688205,221457.55645244027,363475.7105613607,142018.15410892043
