date,participation_log,selection_log,execution_log,total_log
2023-01-03,0,0,0,0
2023-01-04,0,0,0,0
2023-01-05,0,0,0,0
2023-01-06,0,0,0,0
2023-01-09,0,0,0,0
2023-01-10,0,0,0,0
2023-01-11,0,0,0,0
2023-01-12,0,0,0,0
2023-01-13,0,0,0,0
2023-01-16,0,0,0,0
2023-01-17,0,0,0,0
2023-01-18,0,0,0,0
2023-01-19,0,0,-0.00023310603690345454,-0.00023310603690345454
2023-01-20,1.0405902385158484e-06,-0.00012540170763949361,0,-0.00012436111740097774
2023-01-30,1.8198700342927736e-06,3.5381774071107043e-05,0,3.720164410539982e-05
2023-01-31,1.8262064539275945e-06,0.00011520408200901318,0,0.00011703028846294077
2023-02-01,-9.470997335981286e-07,7.411938767291791e-05,0,7.3172287939319777e-05
2023-02-02,-1.3042121841854488e-06,6.6839738040528541e-05,0,6.5535525856343091e-05
2023-02-03,3.5905140392137822e-08,2.8417781040102821e-05,-5.154249079192235e-05,-2.3088804611427391e-05
2023-02-06,0.00011904487374890364,-5.1921788566403168e-05,0,6.7123085182500472e-05
2023-02-07,0.00017209534968123493,4.1380384719483552e-05,0,0.00021347573440071849
2023-02-08,5.8917767297890771e-05,-8.1952014623168986e-05,0,-2.3034247325278215e-05
2023-02-09,-0.000332277028452228,2.7257009662220663e-05,0,-0.00030502001879000734
2023-02-10,5.0643247369082367e-05,-9.354281396792562e-05,0,-4.2899566598843253e-05
2023-02-13,-0.00010437289234429706,7.1606452493722076e-05,5.7550112175386902e-05,2.4783672324810851e-05
2023-02-14,4.1905531517762164e-07,-4.2803372033412003e-07,0,-8.9784051564983924e-09
2023-02-15,-1.254447759983258e-06,-2.0582762857794301e-06,0,-3.3127240457626883e-06
2023-02-16,9.1449112096035681e-07,1.2071262111234264e-06,0,2.1216173320837833e-06
2023-02-17,3.1395924130663543e-06,8.9823434274863376e-07,0,4.0378267558149883e-06
2023-02-20,-5.4956133342758236e-07,-4.7692144811834719e-06,5.8480758393096965e-06,5.2930002469864235e-07
2023-02-21,1.2423427144186925e-06,2.0594712544364782e-19,-1.0025382204886894e-06,2.3980449393020895e-07
2023-02-22,-7.0926761934100354e-08,2.9529354046114839e-20,-9.4126386105713658e-08,-1.650531480397845e-07
2023-02-23,0,0,-3.892919583678954e-05,-3.892919583678954e-05
2023-02-24,-4.2726388762744541e-05,0.00040950635221089502,0,0.00036677996344815049
2023-02-27,4.527226767221232e-05,-0.0001001474081326102,0,-5.4875140460397889e-05
2023-02-28,-3.8142059725673328e-06,-0.00018734013615755011,0,-0.00019115434213011744
2023-03-01,-6.7818846230622692e-05,0.00051641501249547774,0,0.00044859616626485507
2023-03-02,-3.4494691198799801e-06,9.8249587802525852e-05,0,9.4800118682645878e-05
2023-03-03,-5.694445813337858e-05,-0.00010045325983232061,7.3033116993637194e-05,-8.4364600972060277e-05
2023-03-06,-6.2946320220677926e-05,-0.00047996845737171385,0,-0.00054291477759239176
2023-03-07,0.00020916482179055132,6.2249304613857528e-05,0,0.00027141412640440885
2023-03-08,-0.00010287139964789632,3.6093840101172034e-05,0.00014727679069376104,8.0499231147036776e-05
2023-03-09,0,0,0,0
2023-03-10,0,0,0,0
2023-03-13,0,0,0.00053119306123680307,0.00053119306123680307
2023-03-14,3.8982869425473483e-05,0.00053070020603808693,0,0.0005696830754635604
2023-03-15,-1.6994195337844407e-05,0.00043202171090629785,0,0.00041502751556845349
2023-03-16,-3.7885766673898751e-05,0.00016714759238421626,0.00013794430891396893,0.00026720613462428641
2023-03-17,-0.00053740441993028088,0.0010845345213201009,0,0.00054713010138981999
2023-03-20,-0.00024485732841599602,0.00052616725593373267,0,0.00028130992751773665
2023-03-21,-2.1168175056318621e-05,0.00020122241535598575,0,0.00018005424029966712
2023-03-22,-0.00036663982749164707,0.00092930870193093417,0,0.00056266887443928715
2023-03-23,-9.5321832491903407e-05,0.00011303376143327555,0.00016796224263053935,0.00018567417157191318
2023-03-24,0.00023604677185806922,-1.9873418278904663e-18,0,0.00023604677185806722
2023-03-27,4.6419218880177753e-05,-9.501511654117895e-19,0,4.6419218880176805e-05
2023-03-28,-0.00020551921925139228,3.1779932686611982e-18,0,-0.00020551921925138911
2023-03-29,0,0,-2.4446193958323377e-05,-2.4446193958323377e-05
2023-03-30,2.5912551184212623e-05,4.3966175771184939e-05,0,6.9878726955397569e-05
2023-03-31,9.8630556845349815e-05,-2.2867028451389749e-05,0,7.5763528393960056e-05
2023-04-03,0.00020096615027937316,-1.6207105770941887e-05,0,0.00018475904450843128
2023-04-04,2.2375949590647863e-05,3.0722324883651016e-05,0,5.3098274474298879e-05
2023-04-06,-3.9635388705723244e-05,-4.4690827053276851e-05,0,-8.4326215759000095e-05
2023-04-07,0.0001061730413672254,3.6772666336425713e-05,0,0.00014294570770365111
2023-04-10,-9.0043305371933054e-05,-0.00010437683945873594,0,-0.00019442014483066899
2023-04-11,-4.3515652595970297e-05,-2.0041231123475351e-06,0,-4.5519775708317833e-05
2023-04-12,2.584189092481107e-05,2.4393851614273873e-05,0,5.0235742539084943e-05
2023-04-13,-0.00012737405277181237,-4.224925436567736e-05,0,-0.00016962330713748974
2023-04-14,5.4082179562046786e-05,1.1323981299176833e-05,-4.2519554322042183e-05,2.2886606539179732e-05
2023-04-17,-1.8284260883233666e-07,2.2279927754339794e-05,0,2.2097085145507454e-05
2023-04-18,8.8612893859741871e-06,-9.2447194051907238e-05,0,-8.3585904665933047e-05
2023-04-19,1.8902120767762991e-05,6.9855497715956246e-05,2.831373030377239e-05,0.00011707134878748832
2023-04-20,0.0002988548790698315,-6.3003619048540097e-05,0,0.00023585126002129142
2023-04-21,-0.00012068130998729838,1.876093970154653e-05,0,-0.00010192037028575185
2023-04-24,4.6340624778722797e-05,6.3237231422156101e-05,0,0.00010957785620087888
2023-04-25,-1.9179004419471202e-05,-4.3385655684996612e-05,0,-6.2564660104467811e-05
2023-04-26,-6.8733073397285341e-05,1.2540266799094272e-05,0,-5.6192806598191064e-05
2023-04-27,-5.0941868998495632e-05,1.0167332601557986e-05,0,-4.077453639693765e-05
2023-04-28,0.00021700067051953539,3.6742815214154694e-05,0,0.0002537434857336901
2023-05-04,-0.00013510177640331029,7.2548054166779945e-06,0,-0.00012784697098663228
2023-05-05,-0.00022070796820978115,1.4701095032797424e-05,0,-0.00020600687317698374
2023-05-08,-8.7944700299750423e-06,-8.0846716518592171e-06,0,-1.6879141681834259e-05
2023-05-09,7.1315582292148246e-05,2.4804928344882563e-05,0,9.6120510637030809e-05
2023-05-10,-0.00014831199230608153,-1.1064625341677708e-05,-3.5153824907200518e-05,-0.00019453044255495974
2023-05-11,-5.1574211002133081e-05,-3.7260943633053538e-05,-4.3278916332311376e-06,-9.3163046268417756e-05
2023-05-12,9.2231008219119767e-05,-2.6985933813792804e-20,0,9.2231008219119739e-05
2023-05-15,0.00010469934887396963,6.6074622216504414e-19,0,0.00010469934887397028
2023-05-16,-7.7118184750453884e-05,8.1616797974593979e-20,0,-7.7118184750453803e-05
2023-05-17,6.0819371528109508e-05,-9.8675881757609151e-19,5.0511146483891299e-06,6.5870486176497923e-05
2023-05-18,4.0406667407370979e-05,0.00038043156196538918,0,0.00042083822937276014
2023-05-19,-6.711302999996779e-06,-1.9365795551257397e-05,0,-2.6077098551254181e-05
2023-05-22,-2.3078909273607242e-05,-3.2935703688425518e-05,0,-5.6014612962032757e-05
2023-05-23,-2.1647641564771379e-05,8.0401904569487241e-06,0,-1.3607451107822653e-05
2023-05-24,5.7185087342390091e-06,-1.3510872397120457e-05,0,-7.7923636628814477e-06
2023-05-25,2.2916191638370648e-05,0.00012078807652230067,0,0.00014370426816067133
2023-05-26,4.4420246553862396e-06,-0.00011102290535010219,0,-0.00010658088069471594
2023-05-29,2.612013408059113e-05,5.0713797617674396e-05,0,7.6833931698265523e-05
2023-05-30,5.5218962600162156e-05,0.0002614924922383615,-0.0083251755073676693,-0.0080084640525291476
2023-05-31,-0.0017967126060764406,-0.0013879974309706355,0,-0.0031847100370470758
2023-06-01,0.0003137405708228617,-0.00051295054372642052,0,-0.00019920997290355882
2023-06-02,0.00013910798219281151,0.0040847930539681093,0,0.0042239010361609201
2023-06-05,0.0041800093744164676,0.00042168619628833856,0,0.0046016955707048057
2023-06-06,-0.0027681923210266237,0.0016323115436792858,0,-0.0011358807773473381
2023-06-07,-0.0011635733806284701,-0.0056234960935386026,0,-0.0067870694741670734
2023-06-08,-0.00052622313903598957,0.002180549979588962,0,0.0016543268405529725
2023-06-09,0.0051754268096276188,-0.006887888254151063,0,-0.0017124614445234443
2023-06-12,0.0011325188202980011,-0.012745114751870906,0,-0.011612595931572905
2023-06-13,0.00079096615921121066,0.0027706052694753242,0,0.003561571428686535
2023-06-14,0.0037732316041966967,-0.0065779843202567667,0,-0.0028047527160600695
2023-06-15,5.1676900183297523e-05,-0.01290670143580059,0,-0.012855024535617293
2023-06-16,0.0062789336151557341,-0.02013122887237458,0,-0.013852295257218844
2023-06-19,0.00052661767863294785,-0.0087129365776373018,0,-0.0081863188990043551
2023-06-20,0.0017179384514328677,-0.01234172074166545,0,-0.010623782290232583
2023-06-21,-0.0025300356483545267,0.0063303402311369605,-0.0034131824001077983,0.000387122182674636
2023-06-26,-0.0064533135375196074,0.011363076645863952,-0.0062140337323902005,-0.0013042706240458564
2023-06-27,0,0,0,0
2023-06-28,0,0,0,0
2023-06-29,0,0,0,0
2023-06-30,0,0,0,0
2023-07-03,0,0,0,0
2023-07-04,0,0,0,0
2023-07-05,0,0,0,0
2023-07-06,0,0,0,0
2023-07-07,0,0,0,0
2023-07-10,0,0,0,0
2023-07-11,0,0,0,0
2023-07-12,0,0,0,0
2023-07-13,0,0,0,0
2023-07-14,0,0,0,0
2023-07-17,0,0,0,0
2023-07-18,0,0,0,0
2023-07-19,0,0,0,0
2023-07-20,0,0,0,0
2023-07-21,0,0,0,0
2023-07-24,0,0,0,0
2023-07-25,0,0,0,0
2023-07-26,0,0,0,0
2023-07-27,0,0,0,0
2023-07-28,0,0,0,0
2023-07-31,0,0,0,0
2023-08-01,0,0,0,0
2023-08-02,0,0,0,0
2023-08-03,0,0,0,0
2023-08-04,0,0,0,0
2023-08-07,0,0,0,0
2023-08-08,0,0,0,0
2023-08-09,0,0,0,0
2023-08-10,0,0,0,0
2023-08-11,0,0,0,0
2023-08-14,0,0,0,0
2023-08-15,0,0,0,0
2023-08-16,0,0,0,0
2023-08-17,0,0,0,0
2023-08-18,0,0,0,0
2023-08-21,0,0,0,0
2023-08-22,0,0,0,0
2023-08-23,0,0,0,0
2023-08-24,0,0,0,0
2023-08-25,0,0,0,0
2023-08-28,0,0,0,0
2023-08-29,0,0,0,0
2023-08-30,0,0,0,0
2023-08-31,0,0,0,0
2023-09-01,0,0,0,0
2023-09-04,0,0,0.00060587407696562859,0.00060587407696562859
2023-09-05,-0.00018741210368491802,0.00077382552865899387,0,0.00058641342497407593
2023-09-06,0.00032056146369550162,-0.0013953411720395408,0,-0.0010747797083440393
2023-09-07,-0.00036883678871115123,0.0001947029570749382,-0.0034159648917207043,-0.0035900987233569159
2023-09-08,-0.00097263965818377188,0.00034963387237298279,0,-0.0006230057858107891
2023-09-11,0.00069506677743365569,-0.0010408667807226457,0,-0.00034580000328899001
2023-09-12,-0.00094277650462482184,-0.00046601202597286819,0,-0.0014087885305976901
2023-09-13,6.6408917008359131e-05,-0.00017965029673839631,0,-0.00011324137973003716
2023-09-14,-0.0026548527977241195,0.00030233329111139612,0,-0.0023525195066127231
2023-09-15,0.0021028142806473376,-0.00078345082815995087,0,0.0013193634524873866
2023-09-18,-0.0041232371325736518,3.8108032347909429e-06,0,-0.0041194263293388607
2023-09-19,-0.0015254695187411577,-0.00032262096389935738,0.001770650951475571,-7.7439531164943953e-05
2023-09-20,-0.00062063212675569305,1.0854597601767155e-19,0.00048395684816294365,-0.00013667527859274929
2023-09-21,0,0,-0.00017827504249606164,-0.00017827504249606167
2023-09-22,0.001923106847272988,-1.249595633373941e-18,0.0010405008736244922,0.0029636077208974806
2023-09-25,-0.00072393412947065942,-3.2841061724280431e-19,-0.00074477058635381594,-0.0014687047158244756
2023-09-26,0.0013993111905017182,0.001106244935979672,0,0.0025055561264813904
2023-09-27,0.0013311857904953247,0.0012415828505503584,0,0.0025727686410456831
2023-09-28,-0.00044343085630970807,-0.0017526608242746202,0,-0.0021960916805843283
