symbol,control,treatment,difference
sh688041,467954.61234011117,71536.883777144889,-396417.72856296628
sh601869,1848625.3248504889,1503375.0330238407,-345250.29182664817
sz300308,851423.89828433516,690027.06650386425,-161396.83178047091
sh688256,1899276.9938091373,1795920.6231283932,-103356.37068074406
sh688072,-10893.491449118166,-38402.088317118629,-27508.596868000463
sh688361,-67133.660174595716,-92846.422681924203,-25712.762507328487
sz300394,97085.837007204726,85889.770094668318,-11196.066912536407
sh688012,12093.016766672597,4112.0942678364336,-7980.9224988361639
sh600206,35733.235119208388,31317.883703349558,-4415.3514158588296
sh688082,-118850.7143311628,-121309.42860807778,-2458.7142769149796
sh688498,2432980.1865643347,2435504.0348082348,2523.8482439001091
sh688205,114789.14227731767,117493.38985816731,2704.2475808496383
sh603986,1872.0005136890977,5180.6524776040205,3308.6519639149228
sh688120,-3535.1539874860746,0,3535.1539874860746
sz002371,-135804.76250338831,-129370.97119629361,6433.7913070946961
sh688019,-317326.82947714708,-306847.85241377528,10478.9770633718
sh688268,-65066.786402448153,-48512.675266502323,16554.11113594583
sh688535,-142364.00938288984,-125562.23718641426,16801.772196475576
sh688300,0,31601.277819532719,31601.277819532719
sh688249,-100853.80752831139,0,100853.80752831139
sh688037,-235299.88260041119,-127317.74811892267,107982.13448148852
sz300502,-102332.15635134498,17753.500921462786,120085.65727280776
