symbol,signal,settled,turnover_ratio,payoff
sh688012,2023-01-18,2023-02-20,1.0205342249498053,-0.029175547095576466
sh688019,2023-01-18,2023-02-22,1.0241204875728001,-0.04951018410577266
sh688037,2023-02-22,2023-03-08,0.92069402235083098,0.019964257024388983
sh688256,2023-02-22,2023-03-08,1.9206570378660306,0.016664561651618545
sh688037,2023-03-10,2023-03-23,0.94139734055717206,-0.14044589482476791
sh688256,2023-03-10,2023-05-11,1.1685999988989122,1.0065013154001929
sh688041,2023-03-28,2023-05-12,1.4123828092772064,0.25834954930805715
sh688037,2023-05-19,2023-06-21,0.837717229909693,-0.04009010379107103
sh688072,2023-05-16,2023-06-26,0.98470298754749253,-0.0085873211806494123
sh688361,2023-09-01,2023-09-19,1.3197001436217375,-0.1153670061797758
sh688082,2023-09-01,2023-09-20,1.0559434866855448,-0.071222334337039006
sh688205,2023-09-20,2023-10-16,1.7935457574895273,-0.038359878190160436
sh688019,2023-09-21,2023-11-17,1.203645824235728,0.015509467391379995
sh688012,2023-10-16,2023-11-22,1.0543516516100457,0.019249913921253966
sh688535,2023-11-17,2023-11-27,1.5738780333867859,-0.1494416525313248
sh688300,2023-11-22,2023-12-15,3.2255085748755077,-0.054356703254310336
sh688008,2023-12-19,2023-12-26,0.98583062785318964,-0.051997177513158001
sh688041,2023-11-28,2023-12-27,0.88620803892906386,0.014048554153601697
sh688041,2024-02-21,2024-03-22,1.2817045560238416,-0.079805669545658403
sh688012,2024-03-22,2024-03-26,0.89173591829067633,-0.0042180501230012941
sz002371,2024-02-21,2024-03-26,1.1271803292429359,0.14004639943591599
sz002371,2024-04-26,2024-05-13,0.89773735720928838,-0.064714351015900964
sz002409,2024-04-26,2024-05-27,0.9459419154423202,-0.063844620746924985
sz300054,2024-05-13,2024-05-30,1.4356978296001375,-0.057743261860090996
sh688008,2024-05-30,2024-06-25,0.87432702766804682,0.072561727122172501
sh688300,2024-05-27,2024-06-26,1.1735314854127417,-0.0030937782864275849
sz002281,2024-07-11,2024-07-19,0.99813705496967731,-0.07378158021018269
sh688008,2024-07-11,2024-07-24,1.1103668628858381,-0.063410006574518521
sz002371,2024-07-19,2024-07-24,1.2536544718565019,-0.067461054444534874
sh688019,2024-09-26,2024-10-11,0.91105476378919781,0.056290102195162429
sh688041,2024-09-26,2024-11-18,1.0806150265679242,0.32013711269584683
sh600206,2024-11-18,2024-11-28,3.0866050107883582,0.10302944070177197
sh688120,2024-11-29,2024-12-10,0.6388262781872418,-0.01803872900766636
sh688249,2024-12-10,2024-12-20,0.99662194714410179,-0.097540178533134611
sh688205,2024-12-20,2025-01-02,1.0559946022815321,-0.035350825324676934
sh688256,2024-10-11,2025-01-02,1.84252015590023,0.52509816588392866
sh688256,2025-01-15,2025-01-17,1.1315998039727904,-0.1642592136667119
sh688205,2025-01-20,2025-02-25,1.0609433446858723,-0.0013883655080562799
sh603986,2025-01-15,2025-03-12,1.2885064156420099,-0.033495450083071809
sh688256,2025-02-25,2025-03-24,1.0698531876408652,-0.12169678512863993
sh688409,2025-03-14,2025-04-07,1.3771414795304735,-0.12113287917440173
sh688037,2025-03-24,2025-04-08,1.2244580269151666,-0.13761924144470958
sz002371,2025-04-15,2025-05-12,1.2190130488262112,-0.017682537356191616
sh688268,2025-04-15,2025-05-16,2.0525435106001781,-0.088788789722952899
sh600206,2025-05-12,2025-05-26,1.1965574382804571,-0.10800581753066957
sz300604,2025-05-22,2025-05-29,1.0203222870242625,-0.055673158309962271
sh688205,2025-05-26,2025-06-23,1.2116434860645182,0.21445705347697488
sh688008,2025-06-03,2025-06-24,0.79244308319118917,-0.022382618759410368
sh603986,2025-06-24,2025-07-03,0.84916961743778163,-0.03569715731520065
sh601869,2025-06-24,2025-09-05,1.3916986862961456,1.1699480467738592
sh688498,2025-07-03,2025-09-05,1.4114130458864971,0.77435532569136545
sh603986,2025-09-15,2025-10-15,1.582741385207225,-0.041150455513962049
sh688041,2025-09-15,2025-10-15,1.3810997405057766,-0.089434208449686373
sh688347,2025-10-28,2025-11-17,1.1515749447772006,-0.15111971410770744
sz300223,2025-11-17,2025-11-20,1.0195269995660134,-0.047316964564960609
sh688498,2025-10-28,2025-11-24,1.235936322544398,0.017670491874554627
