symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sz300308,2023-02-08,2023-02-07,-33174.421266713878,609546.93799999997,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-03-16,2023-03-15,-33174.421266713878,PORTFOLIO_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.054424719736208209
sz300394,2023-02-08,2023-02-07,62916.961076588137,898771.87400000007,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-03-16,2023-03-15,62916.961076588137,PORTFOLIO_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.070003259889047362
sz300394,2023-03-22,2023-03-21,143221.08762589976,487026.53999999986,1,3,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-04-28,2023-04-27,143221.08762589976,PORTFOLIO_DRAWDOWN_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.29407244957512951
sz300502,2023-03-22,2023-03-21,1133437.2881768853,1023736.7140000002,1,2,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-04-28,2023-04-27,1133437.2881768853,PORTFOLIO_DRAWDOWN_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,1.1071570186715851
sz300308,2023-05-22,2023-05-19,580110.97842230019,1325083.7599999998,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-07-06,2023-07-05,580110.97842230019,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.43779193129821492
sh688008,2023-07-11,2023-07-10,-51540.977393260458,2056540.0455599998,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-07-13,2023-07-12,-51540.977393260458,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.025061985787505417
sz300394,2023-06-01,2023-05-31,8759.9377118389093,36671.634999999995,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-07-13,2023-07-12,8759.9377118389093,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.23887502457523124
sz300308,2023-07-18,2023-07-17,-127736.82068774663,656984.32799999986,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-07-21,2023-07-20,-127736.82068774663,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.19442902249526212
sh603986,2023-07-18,2023-07-17,-96185.048800290329,838922.08399999992,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-08-07,2023-08-04,-96185.048800290329,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.11465313720396748
sz300394,2023-10-11,2023-10-10,-41552.508209384279,961260.29999999993,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-10-17,2023-10-16,-41552.508209384279,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.043227113623005423
