date,symbol,pnl,carry,execution,units_before,units_after,log_contribution,carry_log_contribution,execution_log_contribution
2023-02-08,sz300308,-22634.602455702519,-0,-22634.602455702519,0,27402.484024840247,-0.011525258392516877,-0,-0.011525258392516877
2023-02-08,sz300394,-49103.073363362833,-0,-49103.073363362833,0,84905.342789598129,-0.025002674974611321,-0,-0.025002674974611321
2023-02-09,sz300308,40966.7136171362,40966.7136171362,0,27402.484024840247,27402.484024840247,0.020466409576174904,0.020466409576174904,0
2023-02-09,sz300394,107659.97465721049,107659.97465721049,0,84905.342789598129,84905.342789598129,0.053785450228875618,0.053785450228875618,0
2023-02-10,sz300308,-4521.4098640986176,-4521.4098640986176,0,27402.484024840247,27402.484024840247,-0.0021350499624984776,-0.0021350499624984776,0
2023-02-10,sz300394,86688.354988179606,86688.354988179606,0,84905.342789598129,84905.342789598129,0.040935012447376448,0.040935012447376448,0
2023-02-13,sz300308,20277.838178381739,20277.838178381739,0,27402.484024840247,27402.484024840247,0.009156722284089586,0.009156722284089586,0
2023-02-13,sz300394,91612.864869976431,91612.864869976431,0,84905.342789598129,84905.342789598129,0.041368983906702968,0.041368983906702968,0
2023-02-14,sz300308,-16359.282962829664,-16359.282962829664,0,27402.484024840247,27402.484024840247,-0.0073493201837680931,-0.0073493201837680931,0
2023-02-14,sz300394,-73018.59479905435,-73018.59479905435,0,84905.342789598129,84905.342789598129,-0.032803212326993819,-0.032803212326993819,0
2023-02-15,sz300308,12413.325263252713,12413.325263252713,0,27402.484024840247,27402.484024840247,0.0056233614822352391,0.0056233614822352391,0
2023-02-15,sz300394,39565.889739952669,39565.889739952669,0,84905.342789598129,84905.342789598129,0.017923746913541799,0.017923746913541799,0
2023-02-16,sz300308,-14578.121501215011,-14578.121501215011,0,27402.484024840247,27402.484024840247,-0.0066350146167640876,-0.0066350146167640876,0
2023-02-16,sz300394,-57820.538439716256,-57820.538439716256,0,84905.342789598129,84905.342789598129,-0.026316155868553622,-0.026316155868553622,0
2023-02-17,sz300308,-33266.61560615612,-33266.61560615612,0,27402.484024840247,27402.484024840247,-0.01563437356014899,-0.01563437356014899,0
2023-02-17,sz300394,-33113.083687943319,-33113.083687943319,0,84905.342789598129,84905.342789598129,-0.015562217877371902,-0.015562217877371902,0
2023-02-20,sz300308,16742.91773917741,16742.91773917741,0,27402.484024840247,27402.484024840247,0.0078803160002540867,0.0078803160002540867,0
2023-02-20,sz300394,43301.724822695025,43301.724822695025,0,84905.342789598129,84905.342789598129,0.020380633786453047,0.020380633786453047,0
2023-02-21,sz300308,-9453.8569885698544,-9453.8569885698544,0,27402.484024840247,27402.484024840247,-0.0043931501186776191,-0.0043931501186776191,0
2023-02-21,sz300394,3735.8350827423587,3735.8350827423587,0,84905.342789598129,84905.342789598129,0.0017360199500534614,0.0017360199500534614,0
2023-02-22,sz300308,-411.0372603726193,-411.0372603726193,0,27402.484024840247,27402.484024840247,-0.00019268699190703705,-0.00019268699190703705,0
2023-02-22,sz300394,-31330.07148936169,-31330.07148936169,0,84905.342789598129,84905.342789598129,-0.014686982941752956,-0.014686982941752956,0
2023-02-23,sz300308,-3918.5552155521741,-3918.5552155521741,0,27402.484024840247,27402.484024840247,-0.0018528078870890007,-0.0018528078870890007,0
2023-02-23,sz300394,-933.95877068566506,-933.95877068566506,0,84905.342789598129,84905.342789598129,-0.00044160311169648934,-0.00044160311169648934,0
2023-02-24,sz300308,26964.044280442853,26964.044280442853,0,27402.484024840247,27402.484024840247,0.012390137875851456,0.012390137875851456,0
2023-02-24,sz300394,101801.50600472814,101801.50600472814,0,84905.342789598129,84905.342789598129,0.046778394303511571,0.046778394303511571,0
2023-02-27,sz300308,-5699.7166771668253,-5699.7166771668253,0,27402.484024840247,27402.484024840247,-0.0025732749428205659,-0.0025732749428205659,0
2023-02-27,sz300394,-46697.938534278881,-46697.938534278881,0,84905.342789598129,84905.342789598129,-0.021082913751314103,-0.021082913751314103,0
2023-02-28,sz300308,18113.04194041944,18113.04194041944,0,27402.484024840247,27402.484024840247,0.0082410125623089969,0.0082410125623089969,0
2023-02-28,sz300394,0,0,0,84905.342789598129,84905.342789598129,0,0,0
2023-03-01,sz300308,8056.3303033030461,8056.3303033030461,0,27402.484024840247,27402.484024840247,0.0036137399658585784,0.0036137399658585784,0
2023-03-01,sz300394,36848.91877068553,36848.91877068553,0,84905.342789598129,84905.342789598129,0.016528916447939936,0.016528916447939936,0
2023-03-02,sz300308,13975.266852668472,13975.266852668472,0,27402.484024840247,27402.484024840247,0.0060790476200065849,0.0060790476200065849,0
2023-03-02,sz300394,80744.980992907862,80744.980992907862,0,84905.342789598129,84905.342789598129,0.03512294897171777,0.03512294897171777,0
2023-03-03,sz300308,-23429.123841238423,-23429.123841238423,0,27402.484024840247,27402.484024840247,-0.010270456159108847,-0.010270456159108847,0
2023-03-03,sz300394,-106131.67848699767,-106131.67848699767,0,84905.342789598129,84905.342789598129,-0.046524178982517539,-0.046524178982517539,0
2023-03-06,sz300308,2767.6508865089372,2767.6508865089372,0,27402.484024840247,27402.484024840247,0.0012521994155221174,0.0012521994155221174,0
2023-03-06,sz300394,-16386.731158392406,-16386.731158392406,0,84905.342789598129,84905.342789598129,-0.0074140330627971273,-0.0074140330627971273,0
2023-03-07,sz300308,-22826.26919269198,-22826.26919269198,0,27402.484024840247,27402.484024840247,-0.010528676838425063,-0.010528676838425063,0
2023-03-07,sz300394,-47631.897304964543,-47631.897304964543,0,84905.342789598129,84905.342789598129,-0.021970338196378628,-0.021970338196378628,0
2023-03-08,sz300308,4329.5924759247937,4329.5924759247937,0,27402.484024840247,27402.484024840247,0.0020175785384627027,0.0020175785384627027,0
2023-03-08,sz300394,21650.86241134744,21650.86241134744,0,84905.342789598129,84905.342789598129,0.010089244099356713,0.010089244099356713,0
2023-03-09,sz300308,-3945.9576995770476,-3945.9576995770476,0,27402.484024840247,27402.484024840247,-0.0018275568794201896,-0.0018275568794201896,0
2023-03-09,sz300394,4330.1724822695178,4330.1724822695178,0,84905.342789598129,84905.342789598129,0.0020055046484395633,0.0020055046484395633,0
2023-03-10,sz300308,-2164.7962379623968,-2164.7962379623968,0,27402.484024840247,27402.484024840247,-0.0010070795326688237,-0.0010070795326688237,0
2023-03-10,sz300394,-17320.689929078071,-17320.689929078071,0,84905.342789598129,84905.342789598129,-0.0080577155546500637,-0.0080577155546500637,0
2023-03-13,sz300308,8659.1849518495874,8659.1849518495874,0,27402.484024840247,27402.484024840247,0.0039979703718966307,0.0039979703718966307,0
2023-03-13,sz300394,43641.346193853533,43641.346193853533,0,84905.342789598129,84905.342789598129,0.020149333920329568,0.020149333920329568,0
2023-03-14,sz300308,-23812.758617586169,-23812.758617586169,0,27402.484024840247,27402.484024840247,-0.01104457429965989,-0.01104457429965989,0
2023-03-14,sz300394,-47971.518676123051,-47971.518676123051,0,84905.342789598129,84905.342789598129,-0.022249627218522992,-0.022249627218522992,0
2023-03-15,sz300308,-13591.632076320824,-13591.632076320824,0,27402.484024840247,27402.484024840247,-0.0065235595732120542,-0.0065235595732120542,0
2023-03-15,sz300394,-59773.361323876983,-59773.361323876983,0,84905.342789598129,84905.342789598129,-0.028689349542265857,-0.028689349542265857,0
2023-03-16,sz300308,-5826.5915587388672,-4521.4098640986176,-1305.1816946402496,27402.484024840247,0,-0.0028584705642240409,-0.0022181608020788598,-0.0006403097621451811
2023-03-16,sz300394,-11432.333976124739,-11716.937304964533,284.6033288397939,84905.342789598129,0,-0.0056085946340477888,-0.0057482183282380177,0.00013962369419022911
2023-03-22,sz300394,52790.83751217588,0,52790.83751217588,0,33545.228902371753,0.024656253554994671,0,0.024656253554994671
2023-03-22,sz300502,173868.34968752073,0,173868.34968752073,0,96346.113989637321,0.081206177380596267,0,0.081206177380596267
2023-03-23,sz300394,17477.06425813571,17477.06425813571,0,33545.228902371753,33545.228902371753,0.0076039815096333833,0.0076039815096333833,0
2023-03-23,sz300502,67056.895336787551,67056.895336787551,0,96346.113989637321,96346.113989637321,0.029175345739030023,0.029175345739030023,0
2023-03-24,sz300394,-11472.468284611217,-11472.468284611217,0,33545.228902371753,33545.228902371753,-0.0049003079898013576,-0.0049003079898013576,0
2023-03-24,sz300502,11946.918134715081,11946.918134715081,0,96346.113989637321,96346.113989637321,0.0051029627571579717,0.0051029627571579717,0
2023-03-27,sz300394,-9191.3927192497722,-9191.3927192497722,0,33545.228902371753,33545.228902371753,-0.0038221815180274252,-0.0038221815180274252,0
2023-03-27,sz300502,137004.17409326433,137004.17409326433,0,96346.113989637321,96346.113989637321,0.056972304209696407,0.056972304209696407,0
2023-03-28,sz300394,-28345.718422504153,-28345.718422504153,0,33545.228902371753,33545.228902371753,-0.011585306606986348,-0.011585306606986348,0
2023-03-28,sz300502,-16571.531606217675,-16571.531606217675,0,96346.113989637321,96346.113989637321,-0.0067730255322431881,-0.0067730255322431881,0
2023-03-29,sz300394,24219.655267512389,24219.655267512389,0,33545.228902371753,33545.228902371753,0.0097608611713691819,0.0097608611713691819,0
2023-03-29,sz300502,90661.693264248795,90661.693264248795,0,96346.113989637321,96346.113989637321,0.036537935480056946,0.036537935480056946,0
2023-03-30,sz300394,-6239.4125758411437,-6239.4125758411437,0,33545.228902371753,33545.228902371753,-0.0024560257008409887,-0.0024560257008409887,0
2023-03-30,sz300502,8767.4963730569289,8767.4963730569289,0,96346.113989637321,96346.113989637321,0.0034511576470570315,0.0034511576470570315,0
2023-03-31,sz300394,41663.174296745747,41663.174296745747,0,33545.228902371753,33545.228902371753,0.015941701103425628,0.015941701103425628,0
2023-03-31,sz300502,103186.68808290172,103186.68808290172,0,96346.113989637321,96346.113989637321,0.039482621452550166,0.039482621452550166,0
2023-04-03,sz300394,107713.73000551565,107713.73000551565,0,33545.228902371753,33545.228902371753,0.037079365915188303,0.037079365915188303,0
2023-04-03,sz300502,340583.51295336761,340583.51295336761,0,96346.113989637321,96346.113989637321,0.11724244161660284,0.11724244161660284,0
2023-04-04,sz300394,7442.6192193356237,9292.0284059570095,-1849.4091866213862,33545.228902371753,30236.609251979949,0.0023285784721944233,0.0029072046643092986,-0.00057862619211487539
2023-04-04,sz300502,116042.4374059737,122937.64145077755,-6895.2040448038515,96346.113989637321,86536.374574387577,0.036306294013069271,0.038463602243806815,-0.0021573082307375421
2023-04-06,sz300394,60715.111377975714,60715.111377975714,0,30236.609251979949,30236.609251979949,0.018103102076204816,0.018103102076204816,0
2023-04-06,sz300502,132141.04397508962,132141.04397508962,0,86536.374574387577,86536.374574387577,0.039399792790383796,0.039399792790383796,0
2023-04-07,sz300394,7615.9723724837477,7710.3353592548574,-94.362986771109576,30236.609251979949,29938.793826210891,0.0021621202800769729,0.002188909259528052,-2.678897945107882e-05
