symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sh603986,2023-01-31,2023-01-30,-68154.8344048484,1101108.0079999999,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-02-08,2023-02-07,-68154.8344048484,TREND_OPEN|SCHEDULED_SELECTION,-0.061896593167678066
sz300502,2023-01-19,2023-01-18,186753.19944040338,894638.74499999988,2,2,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-03-17,2023-03-16,186753.19944040338,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,0.20874705067731378
sz300394,2023-02-08,2023-02-07,513851.69279545301,1152529.3779999998,2,5,TREND_OPEN|SCHEDULED_SELECTION,2023-05-08,2023-05-05,513851.69279545301,BROAD_TREND_BREAKDOWN|TREND_EXIT_OR_STALE|RISK_REDUCTION,0.44584693683656634
sz300308,2023-03-22,2023-03-21,1578726.2556324059,1387404.0180000002,2,6,TREND_OPEN|SCHEDULED_SELECTION,2023-07-13,2023-07-12,1578726.2556324059,CROSS_SECTION_SHOCK|RISK_REDUCTION,1.1378994403578306
sz300502,2023-06-06,2023-06-05,57325.357987063588,857296.43999999983,1,3,TREND_OPEN|SCHEDULED_SELECTION,2023-07-13,2023-07-12,57325.357987063588,CROSS_SECTION_SHOCK|RISK_REDUCTION,0.06686760298113871
sz300308,2023-07-18,2023-07-17,-214971.72262084205,1105656.5519999999,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-07-21,2023-07-20,-214971.72262084205,RECOVERY_WAIT|TREND_EXIT_OR_STALE,-0.19442902249526223
sz300394,2023-07-18,2023-07-17,-82286.49675382342,480079.59999999998,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-07-24,2023-07-21,-82286.49675382342,RECOVERY_WAIT|TREND_EXIT_OR_STALE,-0.17140177744237295
sh603986,2023-11-08,2023-11-07,-17050.201264219824,797491.69499999995,2,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-11-17,2023-11-16,-17050.201264219824,TREND_OPEN|SCHEDULED_SELECTION,-0.021379785358416586
sh688008,2023-11-08,2023-11-07,50881.183456980158,2182196.6766599994,2,2,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-12-01,2023-11-30,50881.183456980158,MARKET_WEAK_WARNING|SCHEDULED_SELECTION,0.02331649754634274
sz300502,2023-11-17,2023-11-16,667046.36808787519,2210832.6239999998,1,1,TREND_OPEN|SCHEDULED_SELECTION,2023-12-15,2023-12-14,667046.36808787519,TREND_OPEN|SCHEDULED_SELECTION,0.30171726292015999
sz300308,2023-12-15,2023-12-14,-92502.56917561451,1134933.7999999998,1,1,TREND_OPEN|SCHEDULED_SELECTION,2024-01-04,2024-01-03,-92502.56917561451,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,-0.081504814796787728
sz300394,2023-12-15,2023-12-14,-365512.99661985296,2364159.7979999995,1,1,TREND_OPEN|SCHEDULED_SELECTION,2024-01-08,2024-01-05,-365512.99661985296,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,-0.15460587601949105
sz300308,2024-01-29,2024-01-26,-83407.606433318113,841851.00999999989,1,1,MARKET_WEAK_WARNING|SCHEDULED_SELECTION,2024-01-30,2024-01-29,-83407.606433318113,CROSS_SECTION_SHOCK|TREND_EXIT_OR_STALE|RISK_REDUCTION,-0.099076446357554554
sz300394,2024-01-29,2024-01-26,-233845.54751056782,2316021.7080000001,1,1,MARKET_WEAK_WARNING|SCHEDULED_SELECTION,2024-01-30,2024-01-29,-233845.54751056782,CROSS_SECTION_SHOCK|TREND_EXIT_OR_STALE|RISK_REDUCTION,-0.10096863371479582
sz300308,2024-02-20,2024-02-19,4122.4649230954237,398197.79999999999,1,1,RECOVERY_WAIT|SCHEDULED_SELECTION,2024-03-28,2024-03-27,4122.4649230954237,ACCUMULATED_MARKET_SHOCK|RISK_REDUCTION,0.010352806879132492
sz300394,2024-02-19,2024-02-08,482802.28922030004,1752472.7219999996,2,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-03-28,2024-03-27,482802.28922030004,ACCUMULATED_MARKET_SHOCK|RISK_REDUCTION,0.27549774850093223
sz300308,2024-04-17,2024-04-16,-71186.72604110348,1196338.1429999999,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-04-23,2024-04-22,-71186.72604110348,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,-0.059503850527236335
sz300394,2024-04-18,2024-04-17,7198.7330861692317,2344762.4199999999,2,1,RECOVERY_WAIT|SCHEDULED_SELECTION,2024-04-26,2024-04-25,7198.7330861692317,TREND_OPEN|TREND_EXIT_OR_STALE,0.0030701332573255893
sz300308,2024-05-07,2024-05-06,-76372.11712543061,864651.78799999971,1,1,TREND_OPEN|SCHEDULED_SELECTION,2024-05-16,2024-05-15,-76372.11712543061,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,-0.088327021565623179
sz300502,2024-05-07,2024-05-06,5054.2296300129965,2372264.8949999996,1,1,TREND_OPEN|SCHEDULED_SELECTION,2024-05-27,2024-05-24,5054.2296300129965,CROSS_SECTION_SHOCK|RISK_REDUCTION,0.0021305502773597287
sh603986,2024-06-14,2024-06-13,140494.80569757731,1913511.5999999999,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-06-19,2024-06-18,140494.80569757731,TREND_OPEN|SCHEDULED_SELECTION,0.07342250012886116
sz300308,2024-06-19,2024-06-18,-106447.29618313746,974348.37499999977,1,1,TREND_OPEN|SCHEDULED_SELECTION,2024-07-22,2024-07-19,-106447.29618313746,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,-0.10924972926971575
sz300502,2024-06-14,2024-06-13,146376.85555797163,2332285.9559999998,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-07-24,2024-07-23,146376.85555797163,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,0.062761110052309402
sz300308,2024-09-27,2024-09-26,87438.338005646714,1581016.4369999997,2,3,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-11-01,2024-10-31,87438.338005646714,MARKET_WEAK_WARNING|SCHEDULED_SELECTION,0.055305141654037548
sz300502,2024-09-27,2024-09-26,501146.9552841289,4319451.135999999,3,4,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-11-18,2024-11-15,501146.9552841289,RECOVERY_WAIT|TREND_EXIT_OR_STALE,0.11602098032950847
sz300394,2024-11-01,2024-10-31,-64493.718028329429,1072496.4249999998,1,2,MARKET_WEAK_WARNING|SCHEDULED_SELECTION,2024-11-19,2024-11-18,-64493.718028329429,ACCUMULATED_MARKET_SHOCK|RISK_REDUCTION,-0.060134203270961431
sh603986,2024-12-23,2024-12-20,-108419.50509969331,1167766.5999999999,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2025-01-02,2024-12-31,-108419.50509969331,ACCUMULATED_MARKET_SHOCK|RISK_REDUCTION,-0.092843471546191964
sh688008,2024-12-23,2024-12-20,-173684.5604171725,2539794.4972399995,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2025-01-02,2024-12-31,-173684.5604171725,ACCUMULATED_MARKET_SHOCK|RISK_REDUCTION,-0.068385281016206598
