symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sz002281,2023-02-08,2023-02-07,58263.142311069882,949238.2899999998,2,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-02-20,2023-02-17,58263.142311069882,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.061378837036872892
sh688037,2023-02-21,2023-02-20,22165.976859262213,648581.05311999994,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-03-08,2023-03-07,22165.976859262213,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.034176109142616415
sh688256,2023-02-08,2023-02-07,131236.42530418572,868227.35999999975,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-03-08,2023-03-07,131236.42530418572,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.15115444565601543
sh688037,2023-03-13,2023-03-10,-50252.945985387254,357810.00254999998,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-03-23,2023-03-22,-50252.945985387254,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.14044589482476796
sh688256,2023-03-13,2023-03-10,1162007.7942755031,1154521.4881199999,2,3,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-05-11,2023-05-10,1162007.7942755031,BROAD_TREND_BREAKDOWN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,1.006484336785878
sh688041,2023-03-29,2023-03-28,64743.706677609058,250799.93938999998,1,4,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-05-12,2023-05-11,64743.706677609058,BROAD_TREND_BREAKDOWN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.25814881309413329
sh688498,2023-05-19,2023-05-18,-32457.212606679503,230099.87,1,1,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-05-23,2023-05-22,-32457.212606679503,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.14105706624988315
sz002409,2023-05-24,2023-05-23,-72172.077511367621,1818544.7279999999,2,2,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-06-07,2023-06-06,-72172.077511367621,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.039686721145836795
sh688037,2023-06-08,2023-06-07,-135573.36243961519,1815183.7003299999,2,3,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-06-21,2023-06-20,-135573.36243961519,PORTFOLIO_DRAWDOWN_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.074688508063932027
sh688072,2023-05-17,2023-05-16,8513.5299392481393,321447.12599999999,1,3,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-06-21,2023-06-20,8513.5299392481393,PORTFOLIO_DRAWDOWN_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.026485008732814553
