symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sh688019,2023-01-19,2023-01-18,-16688.131791711727,522401.07919999998,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-01-31,2023-01-30,-16688.131791711727,CONFIRMED_RECOVERY|RISK_RESTORATION,-0.031945056119079565
sh603986,2023-01-31,2023-01-30,-67405.880180619191,1089007.9199999997,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-02-08,2023-02-07,-67405.880180619191,TREND_OPEN|SCHEDULED_SELECTION,-0.061896593167677982
sh688012,2023-01-19,2023-01-18,-20883.214676077245,889733.76491999999,2,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-02-08,2023-02-07,-20883.214676077245,TREND_OPEN|SCHEDULED_SELECTION,-0.023471307372441855
sh688256,2023-02-08,2023-02-07,143923.39987271093,952161.20999999973,1,1,TREND_OPEN|SCHEDULED_SELECTION,2023-03-08,2023-03-07,143923.39987271093,CROSS_SECTION_SHOCK|RISK_REDUCTION,0.15115444565601552
sz002281,2023-02-08,2023-02-07,85972.85191219789,763833.06999999983,1,1,TREND_OPEN|SCHEDULED_SELECTION,2023-03-08,2023-03-07,85972.85191219789,CROSS_SECTION_SHOCK|RISK_REDUCTION,0.11255450344955333
sh688037,2023-03-13,2023-03-10,-115623.97175641696,1013495.9134299997,2,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-03-23,2023-03-22,-115623.97175641696,TREND_OPEN|TREND_EXIT_OR_STALE,-0.11408429992096153
sh688041,2023-04-06,2023-04-04,5192.1983705697057,646674.26823999989,1,3,TREND_OPEN|SCHEDULED_SELECTION,2023-05-12,2023-05-11,5192.1983705697057,BROAD_TREND_BREAKDOWN|TREND_EXIT_OR_STALE,0.0080290783560955422
sh688256,2023-03-13,2023-03-10,1240686.0114151014,1110794.7650799998,2,5,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-05-16,2023-05-15,1240686.0114151014,BROAD_TREND_BREAKDOWN|TREND_EXIT_OR_STALE,1.1169354145504518
sh688037,2023-05-22,2023-05-19,31911.119564224849,728709.42143999995,2,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-06-20,2023-06-19,31911.119564224849,TREND_OPEN|SCHEDULED_SELECTION,0.043791281717156072
sh688072,2023-05-22,2023-05-19,10213.419288026867,1727943.0568399997,2,2,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-06-26,2023-06-21,10213.419288026867,CROSS_SECTION_SHOCK|TREND_EXIT_OR_STALE|RISK_REDUCTION,0.0059107383473068851
sh688256,2023-06-20,2023-06-19,-181538.88055759715,1851369.52,1,1,TREND_OPEN|SCHEDULED_SELECTION,2023-06-26,2023-06-21,-181538.88055759715,CROSS_SECTION_SHOCK|TREND_EXIT_OR_STALE|RISK_REDUCTION,-0.098056535227822664
sh688072,2023-09-01,2023-08-31,-173904.17872279021,1641122.86338,2,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-09-15,2023-09-14,-173904.17872279021,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,-0.10596658093265678
sh688082,2023-09-06,2023-09-05,-39249.914709974895,707837.73059999989,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-09-19,2023-09-18,-39249.914709974895,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,-0.055450441553468247
sh688205,2023-09-28,2023-09-27,-68920.97722225904,581066.2657799999,1,1,TREND_OPEN|SCHEDULED_SELECTION,2023-10-16,2023-10-13,-68920.97722225904,TREND_OPEN|TREND_EXIT_OR_STALE,-0.1186112174826434
sz002281,2023-09-28,2023-09-27,-217451.25331498357,1596980.3849999995,1,2,TREND_OPEN|SCHEDULED_SELECTION,2023-10-23,2023-10-20,-217451.25331498357,PORTFOLIO_WARNING|TREND_EXIT_OR_STALE|RISK_REDUCTION,-0.13616401012651363
sh688019,2023-10-31,2023-10-30,-87238.984521351173,1260970.6108999997,1,2,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-11-17,2023-11-16,-87238.984521351173,RECOVERY_WAIT|TREND_EXIT_OR_STALE|SCHEDULED_SELECTION,-0.069183995064790282
sh688012,2023-10-20,2023-10-19,14675.673051466467,1464705.9927499997,1,3,MARKET_WEAK_WARNING|SCHEDULED_SELECTION,2023-11-23,2023-11-22,14675.673051466467,RECOVERY_WAIT|TREND_EXIT_OR_STALE,0.010019535063083035
sh688072,2023-12-01,2023-11-30,-16928.028044501087,695251.1465899999,1,1,RECOVERY_WAIT|SCHEDULED_SELECTION,2023-12-06,2023-12-05,-16928.028044501087,PORTFOLIO_DRAWDOWN_SHOCK|RISK_REDUCTION,-0.024348076414584901
sh688535,2023-11-17,2023-11-16,3228.450370745617,653613.40043999988,1,1,RECOVERY_WAIT|TREND_EXIT_OR_STALE|SCHEDULED_SELECTION,2023-12-06,2023-12-05,3228.450370745617,PORTFOLIO_DRAWDOWN_SHOCK|RISK_REDUCTION,0.0049393882814708001
sh688041,2023-12-13,2023-12-12,-45781.604913673247,693967.67439999979,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-12-15,2023-12-14,-45781.604913673247,RECOVERY_WAIT|SCHEDULED_SELECTION,-0.065970803255721883
