date,bj920045,sh600206,sh601869,sh603986,sh688008,sh688012,sh688019,sh688037,sh688041,sh688072,sh688082,sh688120,sh688205,sh688249,sh688256,sh688268,sh688300,sh688347,sh688361,sh688409,sh688498,sh688535,sh688825,sz002281,sz002371,sz002409,sz300054,sz300223,sz300604,sz300666,sz300776
2023-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-19,0,0,0,0,0,-0.0065930180320927911,0.00024908310687292467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-20,0,0,0,0,0,0.0013185342447065702,0.0053317331647494363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-30,0,0,0,0,0,0.0033184340931276929,0.002365456112280776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-31,0,0,0,0.030367835406879685,0,0.010012125711947085,0.00039865633384464491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,0,0,0,-0.0021458381158760823,0,-0.0039622677763854353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-02,0,0,0,-0.0098198626340444562,0,-0.013619027742618953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-03,0,0,0,-0.0019979935931969954,0,0.0031321615803256834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-06,0,0,0,0.014686483684995793,0,0.0037697172694205871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-07,0,0,0,0.0042965886071384277,0,0.011815031091843084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-08,0,0,0,-0.0007679045476301652,0,0.0017787033897361209,0,0,0,0,0,0,0,0,0.0030204259612450109,0,0,0,0,0,0,0,0,0.00078806909997442345,0,0,0,0,0,0,0
2023-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0038761897897345819,0,0,0,0,0,0,0,0,-0.0013547450324257158,0,0,0,0,0,0,0
2023-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4898005752820126e-05,0,0,0,0,0,0,0,0,0.0057571693256497289,0,0,0,0,0,0,0
2023-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0069257399039495959,0,0,0,0,0,0,0,0,0.0032397882251362781,0,0,0,0,0,0,0
2023-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001610013315931148,0,0,0,0,0,0,0,0,-0.00068687360668622573,0,0,0,0,0,0,0
2023-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0028612133308931441,0,0,0,0,0,0,0,0,0.0019199060710452485,0,0,0,0,0,0,0
2023-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069836532291078848,0,0,0,0,0,0,0,0,-0.0050260819475714952,0,0,0,0,0,0,0
2023-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042576730211510557,0,0,0,0,0,0,0,0,-0.0041651661747833836,0,0,0,0,0,0,0
2023-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0019720425555624071,0,0,0,0,0,0,0,0,-0.011424215129715195,0,0,0,0,0,0,0
2023-02-21,0,0,0,0,0,0,0,-0.0048040950440275164,0,0,0,0,0,0,-0.0021332846844817326,0,0,0,0,0,0,0,0,0.0054734329720740153,0,0,0,0,0,0,0
2023-02-22,0,0,0,0,0,0,0,0.0070418376909166143,0,0,0,0,0,0,0.00068480150539116866,0,0,0,0,0,0,0,0,-0.00058438513412357172,0,0,0,0,0,0,0
2023-02-23,0,0,0,0,0,0,0,-0.001270213605742133,0,0,0,0,0,0,0.00091068595609900341,0,0,0,0,0,0,0,0,-0.0039118635465393752,0,0,0,0,0,0,0
2023-02-24,0,0,0,0,0,0,0,-0.0022506849232873799,0,0,0,0,0,0,-0.003367444877228648,0,0,0,0,0,0,0,0,-0.0069294814470697418,0,0,0,0,0,0,0
2023-02-27,0,0,0,0,0,0,0,-0.0050225516410774187,0,0,0,0,0,0,0.0018782130734860212,0,0,0,0,0,0,0,0,0.0043956472125398615,0,0,0,0,0,0,0
2023-02-28,0,0,0,0,0,0,0,0.0044842661719501986,0,0,0,0,0,0,0.0008157191629638615,0,0,0,0,0,0,0,0,-0.0090683780994982345,0,0,0,0,0,0,0
2023-03-01,0,0,0,0,0,0,0,-0.00061373807299656795,0,0,0,0,0,0,-0.0040998262870534513,0,0,0,0,0,0,0,0,-0.0086578766363028005,0,0,0,0,0,0,0
2023-03-02,0,0,0,0,0,0,0,-0.0014505334483291951,0,0,0,0,0,0,-0.00049038354555768198,0,0,0,0,0,0,0,0,-0.0063961790672285778,0,0,0,0,0,0,0
2023-03-03,0,0,0,0,0,0,0,0.011540044014455591,0,0,0,0,0,0,-0.0012427851759243009,0,0,0,0,0,0,0,0,0.006703408802517589,0,0,0,0,0,0,0
2023-03-06,0,0,0,0,0,0,0,0.018010267360227747,0,0,0,0,0,0,0.0015673475384637078,0,0,0,0,0,0,0,0,-0.008874600531207472,0,0,0,0,0,0,0
2023-03-07,0,0,0,0,0,0,0,-0.015290464890777055,0,0,0,0,0,0,0.0023118600800932781,0,0,0,0,0,0,0,0,0.01943817359139214,0,0,0,0,0,0,0
2023-03-08,0,0,0,0,0,0,0,-0.00076145042012076543,0,0,0,0,0,0,-0.0012944024457137056,0,0,0,0,0,0,0,0,0.0039188358696764687,0,0,0,0,0,0,0
2023-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-13,0,0,0,0,0,0,0,0.00090323006634244335,0,0,0,0,0,0,-0.004882582490569316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
