symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sh688256,2023-02-08,2023-02-07,131236.42530418572,868227.35999999975,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-03-08,2023-03-07,131236.42530418572,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.15115444565601543
sz300394,2023-02-08,2023-02-07,127722.83730374172,898771.87400000007,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-03-08,2023-03-07,127722.83730374172,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.14210818228579961
sh688037,2023-03-13,2023-03-10,-51354.837824269489,365655.67037999997,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-03-23,2023-03-22,-51354.837824269489,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.14044589482476794
sh688256,2023-03-13,2023-03-10,1173371.7212530347,1179162.1641799998,2,3,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-05-11,2023-05-10,1173371.7212530347,BROAD_TREND_BREAKDOWN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.99508935827245448
sh688072,2023-05-17,2023-05-16,-11335.119480839174,349058.60989999998,1,1,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-06-26,2023-06-21,-11335.119480839174,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.032473398905950246
sz300308,2023-03-29,2023-03-28,1221693.5645027356,1941062.1229999997,3,3,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-06-26,2023-06-21,1221693.5645027356,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.62939436611876842
sh688361,2023-09-04,2023-09-01,-78386.204876648611,679450.8020299999,1,1,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-09-19,2023-09-18,-78386.204876648611,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.11536700617977579
sh688082,2023-09-04,2023-09-01,-130292.694729059,1770185.9174999997,2,3,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-09-21,2023-09-20,-130292.694729059,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.073603960714515748
sh688205,2023-09-25,2023-09-22,-59869.499438611441,470596.2861599999,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-10-16,2023-10-13,-59869.499438611441,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.12722050980711772
sh688019,2023-09-22,2023-09-21,28722.392648700275,2369216.4195699999,2,2,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-11-20,2023-11-17,28722.392648700275,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.012123161232317154
