symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sh688019,2023-01-19,2023-01-18,-16688.131791711727,522401.07919999998,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-01-31,2023-01-30,-16688.131791711727,CONFIRMED_RECOVERY|RISK_RESTORATION,-0.031945056119079565
sh603986,2023-01-31,2023-01-30,-67405.880180619191,1089007.9199999997,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-02-08,2023-02-07,-67405.880180619191,TREND_OPEN|SCHEDULED_SELECTION,-0.061896593167677982
sh688012,2023-01-19,2023-01-18,-20883.214676077245,889733.76491999999,2,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-02-08,2023-02-07,-20883.214676077245,TREND_OPEN|SCHEDULED_SELECTION,-0.023471307372441855
sh688256,2023-02-08,2023-02-07,121319.34029294655,919134.21599999978,1,2,TREND_OPEN|SCHEDULED_SELECTION,2023-03-08,2023-03-07,121319.34029294655,CROSS_SECTION_SHOCK|RISK_REDUCTION,0.13199306279872686
sz300394,2023-02-08,2023-02-07,141110.78210335586,974241.26800000004,1,2,TREND_OPEN|SCHEDULED_SELECTION,2023-03-08,2023-03-07,141110.78210335586,CROSS_SECTION_SHOCK|RISK_REDUCTION,0.14484172118169383
sh688037,2023-03-13,2023-03-10,-80631.794596971129,1029186.2681099997,2,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-03-22,2023-03-21,-80631.794596971129,TREND_OPEN|SCHEDULED_SELECTION,-0.078345190851645902
sz300394,2023-03-22,2023-03-21,185724.68312782922,910920.00999999989,1,4,TREND_OPEN|SCHEDULED_SELECTION,2023-05-08,2023-05-05,185724.68312782922,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,0.20388692869731695
sh688256,2023-03-13,2023-03-10,978330.21812378545,1127629.9234199999,2,6,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-05-16,2023-05-15,978330.21812378545,BROAD_TREND_BREAKDOWN|TREND_EXIT_OR_STALE,0.86759866672977082
sh688072,2023-05-22,2023-05-19,-24167.23742369283,729520.44164999994,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-05-23,2023-05-22,-24167.23742369283,PORTFOLIO_DRAWDOWN_SHOCK|RISK_REDUCTION,-0.033127567157723976
sz300308,2023-05-22,2023-05-19,-35543.468307408039,889613.72499999986,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-05-23,2023-05-22,-35543.468307408039,PORTFOLIO_DRAWDOWN_SHOCK|RISK_REDUCTION,-0.039953821876352061
sh688037,2023-05-26,2023-05-25,19746.42253793776,1397630.0337999999,2,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-06-20,2023-06-19,19746.42253793776,TREND_OPEN|SCHEDULED_SELECTION,0.014128504726139466
sz300308,2023-05-26,2023-05-25,979729.02973069367,1611137.5279999997,2,2,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-06-26,2023-06-21,979729.02973069367,CROSS_SECTION_SHOCK|RISK_REDUCTION,0.60809770283663445
sz300394,2023-06-20,2023-06-19,-106836.0884272767,953218.26599999995,1,1,TREND_OPEN|SCHEDULED_SELECTION,2023-06-26,2023-06-21,-106836.0884272767,CROSS_SECTION_SHOCK|RISK_REDUCTION,-0.1120793549997674
sh688072,2023-09-01,2023-08-31,-227370.35042309412,2145609.4459800003,2,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-09-15,2023-09-14,-227370.35042309412,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,-0.10597005473157928
sh688082,2023-09-06,2023-09-05,-49178.171628282595,878531.61395999987,1,2,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-09-20,2023-09-19,-49178.171628282595,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,-0.055977691464750991
sh688205,2023-09-28,2023-09-27,-90163.74417432514,760162.0326299998,1,1,TREND_OPEN|SCHEDULED_SELECTION,2023-10-16,2023-10-13,-90163.74417432514,TREND_OPEN|TREND_EXIT_OR_STALE,-0.11861121748264336
sz002281,2023-09-28,2023-09-27,-284385.53125645826,2087366.2809999997,1,2,TREND_OPEN|SCHEDULED_SELECTION,2023-10-23,2023-10-20,-284385.53125645826,PORTFOLIO_WARNING|TREND_EXIT_OR_STALE|RISK_REDUCTION,-0.13624131703431416
sh688019,2023-10-31,2023-10-30,-98233.937484887079,1396214.3194999998,1,2,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-11-17,2023-11-16,-98233.937484887079,RECOVERY_WAIT|TREND_EXIT_OR_STALE|SCHEDULED_SELECTION,-0.07035734851943487
sh688012,2023-10-20,2023-10-19,15711.474873434519,1914977.5644999999,1,3,MARKET_WEAK_WARNING|SCHEDULED_SELECTION,2023-11-23,2023-11-22,15711.474873434519,RECOVERY_WAIT|TREND_EXIT_OR_STALE,0.0082045216428093155
sz300502,2023-11-17,2023-11-16,88639.940678316867,916993.07699999982,1,1,RECOVERY_WAIT|TREND_EXIT_OR_STALE|SCHEDULED_SELECTION,2023-12-01,2023-11-30,88639.940678316867,RECOVERY_WAIT|SCHEDULED_SELECTION,0.096663696707839905
