date,bj920045,sh600206,sh601869,sh603986,sh688008,sh688012,sh688019,sh688037,sh688041,sh688072,sh688082,sh688120,sh688205,sh688249,sh688256,sh688268,sh688300,sh688347,sh688361,sh688409,sh688498,sh688535,sh688825,sz002281,sz002371,sz002409,sz300054,sz300223,sz300308,sz300394,sz300502,sz300604,sz300666,sz300776
2023-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-19,0,0,0,0,0,-0.0065930180320927911,0.00024908310687292467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-20,0,0,0,0,0,0.0013185342447065702,0.0053317331647494363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-30,0,0,0,0,0,0.0033184340931276929,0.002365456112280776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-31,0,0,0,0.030367835406879685,0,0.010012125711947085,0.00039865633384464491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,0,0,0,-0.0021458381158760823,0,-0.0039622677763854353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-02,0,0,0,-0.0098198626340444562,0,-0.013619027742618953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-03,0,0,0,-0.0019979935931969954,0,0.0031321615803256834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-06,0,0,0,0.014686483684995793,0,0.0037697172694205871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-07,0,0,0,0.0042965886071384277,0,0.011815031091843084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-08,0,0,0,-0.00077307708909220003,0,0.001790684588519831,0,0,0,0,0,0,0,0,0.0022926861828953295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036857886224547498,0,0,0,0
2023-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0028674665995257857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0078253381219194409,0,0,0,0
2023-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3515835399342416e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0055581187229331447,0,0,0,0
2023-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0042549377044644177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0051707379998886527,0,0,0,0
2023-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009798744877388358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003959483292138688,0,0,0,0
2023-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0017717953965944062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0021624682051684177,0,0,0,0
2023-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043661892240829045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032661004279707535,0,0,0,0
2023-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00031992087958159074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0005460895869749717,0,0,0,0
2023-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095088775961573238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095381637560817273,0,0,0,0
2023-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010593096030182495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7872080811470243e-05,0,0,0,0
2023-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0003345565865550135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00065286638355418862,0,0,0,0
2023-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00044839021739611143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0005636524839858e-05,0,0,0,0
2023-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016982953427569225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020424378324937695,0,0,0,0
2023-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00096694999784305291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00090308876461971457,0,0,0,0
