scope,policy,window,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
union,control,full,MEASURED,2023-01-03,2026-09-11,896,6.5087580441559476,5.5087580441559476,0.66183013609062291,0.33466426752273981,0.33466426752273981,1.3678521124347196,198,53.689309576837417,50.393981650244449,167674.10304096661,310915.85666800366,0.53194120574922554,45
union,control,bull,MEASURED,2023-01-03,2026-06-30,843,9.3060810226261879,8.3060810226261879,0.8955752935512693,0.30557893804803971,0.30557893804803971,1.6613830964488443,180,51.605180533751962,44.713235160212548,124221.77911800415,232078.61610697248,0.55265512141987549,45
union,control,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.79673430028410064,-0.20326569971589936,-0.69446004078541956,0.33466426752273981,0.33466426752273981,-1.9726979256021406,18,93.921428571428578,5.6807464900318987,43452.323922962467,78837.240561031198,0.34727145643351121,0
union,control,july_august,MEASURED,2026-07-01,2026-08-31,44,0.69940913133369309,-0.30059086866630691,-0.88242991564318873,0.32225234384789503,0.33466426752273981,-4.8901060567560535,18,107.77868852459017,5.6807464900318987,43452.323922962467,78837.240561031198,0.24388756805343367,0
union,control,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.3719549760692424,0.37195497606924244,0.59022791119165174,0.33466426752273981,0.33466426752273981,1.1604611157968452,53,77.743975903614455,11.361584749580807,77408.236750972923,145386.63879910353,0.61179474318149507,20
union,treatment,full,MEASURED,2023-01-03,2026-09-11,896,7.3810973657305503,6.3810973657305503,0.71948364133772658,0.42573381634360596,0.42573381634360596,1.2706318412402764,160,43.385300668151451,77.680167632625114,291289.01872698817,551727.56409425021,0.7574159584664395,2
union,treatment,bull,MEASURED,2023-01-03,2026-06-30,843,10.897456142819152,9.8974561428191521,0.98333644426218259,0.42573381634360596,0.42573381634360596,1.5380675778498913,134,38.417189952904238,64.123364196156956,178160.21836260898,322916.00159593881,0.76514870311904415,2
union,treatment,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.9243740449145943,-0.075625955085405705,-0.33656496858991258,0.34728484371826562,0.34728484371826562,-0.32956668293187441,31,161.75357142857143,16.554543179852342,146676.04543489194,287386.52020780952,0.5739960685253539,0
union,treatment,july_august,MEASURED,2026-07-01,2026-08-31,44,0.68681683758484113,-0.31318316241515887,-0.89454876868224908,0.34728484371826562,0.34728484371826562,-3.7615608219801802,26,155.68032786885246,13.556803436468156,113128.80036437917,228811.56249831142,0.56387430264665739,0
union,treatment,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,2.1202333207987385,1.1202333207987385,2.0113522999500386,0.39280393616534692,0.39280393616534692,2.0790848895042373,41,60.141566265060241,20.233091632970879,160751.47445272849,314988.32267865108,0.85635839932794666,0
chatgpt_5,control,full,MEASURED,2023-01-03,2026-09-11,896,9.2303360090729889,8.2303360090729889,0.82694963292584678,0.39135611644665103,0.39135611644665103,1.5656785665390112,194,52.604677060133632,41.078764875135207,176656.84661377349,316601.54949423776,0.50102329221272557,59
chatgpt_5,control,bull,MEASURED,2023-01-03,2026-06-30,843,10.498658559824378,9.4986585598243778,0.96225034907060936,0.39135611644665103,0.39135611644665103,1.7009726842390058,192,55.045525902668757,40.096810534869483,162879.91848431883,298455.86679910071,0.53019299009648435,59
chatgpt_5,control,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.81231274823322586,-0.18768725176677414,-0.66197492774060751,0.18957024685058776,0.18957024685058776,-3.6066290004848174,3,15.653571428571428,0.98839647803585229,13882.842109454672,18285.182695137049,0.17367341344662243,0
chatgpt_5,control,july_august,MEASURED,2026-07-01,2026-08-31,44,0.87919194213964369,-0.12080805786035631,-0.5374169768654975,0.12080805786035631,0.18957024685058776,-3.5897125306034789,2,11.975409836065575,0.98195434026571915,13776.928129454673,18145.682695137053,0.044640435710586152,0
chatgpt_5,control,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.1677786245840085,0.1677786245840085,0.25547756891721085,0.18957024685058776,0.26388554494230732,0.73803009517448814,30,44.006024096385545,4.8561943034335826,42055.503826231376,73467.696526329324,0.55622167772747066,13
chatgpt_5,treatment,full,MEASURED,2023-01-03,2026-09-11,896,19.444952735854894,18.444952735854894,1.2359931341298922,0.43445870201225467,0.43445870201225467,1.6669889774183284,100,27.115812917594656,51.266201609009663,319513.58162781002,578917.34255586017,0.68033685021596824,2
chatgpt_5,treatment,bull,MEASURED,2023-01-03,2026-06-30,843,25.160798670208187,24.160798670208187,1.5210491636329024,0.43445870201225467,0.43445870201225467,1.857572268489381,94,26.949372056514914,48.209718513087381,246835.17000097511,455454.71076760144,0.71572214462066308,2
chatgpt_5,treatment,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.94965259216217868,-0.050347407837821323,-0.23627657345755115,0.2591903318797214,0.2591903318797214,-0.19390338654187503,6,31.307142857142857,3.0564830959222791,72678.411626834917,123462.63178825875,0.25927554105470074,0
chatgpt_5,treatment,july_august,MEASURED,2026-07-01,2026-08-31,44,0.77282732518657371,-0.22717267481342629,-0.7862673598233817,0.2553264158004166,0.2591903318797214,-3.3677777995699758,6,35.926229508196727,3.0564830959222791,72678.411626834917,123462.63178825875,0.1415465881429232,0
chatgpt_5,treatment,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.7425597981574368,0.74255979815743678,1.2583454615816985,0.2591903318797214,0.2591903318797214,1.6340751877751525,22,32.2710843373494,10.216228036246729,162768.44211577144,300059.36589757435,0.69927650674534758,0
joint_optical_leader_removal,control,full,MEASURED,2023-01-03,2026-09-11,896,1.3791126793824653,0.37911267938246529,0.091072494205644672,0.35331033491094144,0.35331033491094144,0.42819974552095613,217,58.841314031180403,58.138335014926838,70027.379840274152,126584.90756616354,0.46184967500255453,54
joint_optical_leader_removal,control,bull,MEASURED,2023-01-03,2026-06-30,843,1.9750586794373197,0.97505867943731972,0.21546215550734726,0.35331033491094144,0.35331033491094144,0.73520869569878278,197,56.479003139717427,52.525849190323349,60887.972230329353,110012.38895609927,0.4776413878445025,54
joint_optical_leader_removal,control,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.74782749550649108,-0.25217250449350892,-0.7804598865298048,0.31153247826094344,0.31153247826094344,-3.308467750831718,25,130.44642857142858,6.2579462207912719,9964.9242593848012,19114.874610063911,0.29184672753756902,2
joint_optical_leader_removal,control,july_august,MEASURED,2026-07-01,2026-08-31,44,0.69826415475177916,-0.30173584524822084,-0.88357767202994919,0.31153247826094344,0.31153247826094344,-5.0255610441323135,20,119.75409836065575,5.6124858246034872,9139.4076099448012,16572.518610064268,0.25376406475848273,0
joint_optical_leader_removal,control,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.1943687393379931,0.19436873933799315,0.29763290757735672,0.31153247826094344,0.31153247826094344,0.87348262663573084,48,70.409638554216869,10.658495605485355,16676.651322953476,31503.21173867703,0.44017172650837649,9
joint_optical_leader_removal,treatment,full,MEASURED,2023-01-03,2026-09-11,896,2.9668776471302727,1.9668776471302727,0.34297486911489772,0.63455809562110799,0.63455809562110799,0.8477098513930148,172,46.639198218262806,80.663881539400194,137368.25576778449,247568.3136236383,0.70035082430563966,4
joint_optical_leader_removal,treatment,bull,MEASURED,2023-01-03,2026-06-30,843,5.3484871586873277,4.3484871586873277,0.61726243901605682,0.63455809562110799,0.63455809562110799,1.2385164617841686,150,43.004317111459969,69.760966401962875,94931.585594648568,164447.34262927913,0.6999110516129301,4
joint_optical_leader_removal,treatment,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.78343814014686397,-0.21656185985313603,-0.72014586928999846,0.3865754919115254,0.3865754919115254,-1.4925231341285641,22,114.79285714285714,10.902915137437315,42436.670173135928,83120.970994359173,0.69996932189708116,0
joint_optical_leader_removal,treatment,july_august,MEASURED,2026-07-01,2026-08-31,44,0.64275346376151665,-0.35724653623848335,-0.92910319502456762,0.3834919775744372,0.3865754919115254,-3.6803763495802722,22,131.72950819672133,10.902915137437315,42436.670173135928,83120.970994359173,0.65239732448046039,0
