candidate,scope,horizon,tail_threshold,positions,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
0,union,20,0.25,2,MEASURED,2023-01-03,2025-12-31,727,2.1708091529462608,1.1708091529462608,0.29565545921742808,0.46731027524342739,0.46731027524342739,0.83182688864195242,136,45.44739249771272,56.421237848422471,109929.08864540023,194351.02564393749,0.77558681145395936,9,0.6165630070325725,-1.3051935593510369
0,chatgpt_5,20,0.25,2,MEASURED,2023-01-03,2025-12-31,727,3.8162049676182601,2.8162049676182601,0.56446203339400025,0.46569262808876488,0.46569262808876488,1.219349242943726,68,22.72369624885636,33.618993856672994,101313.51832562855,182970.03139487511,0.51106908272758733,0,0.40802711918077383,-1.9613489459692492
0,joint_optical_leader_removal,20,0.25,2,MEASURED,2023-01-03,2025-12-31,727,0.94863588695557555,-0.051364113044424453,-0.017466626820757836,0.4653194947964896,0.4653194947964896,0.15058985883464535,123,41.103156450137242,54.337731281158703,58120.621013794014,102528.4022525015,0.78018047602837748,0,0.77466483960975718,-1.5582597036513628
1,union,20,0.25,4,MEASURED,2023-01-03,2025-12-31,727,1.360798497715386,0.36079849771538597,0.10843479240233589,0.67410164422653707,0.67410164422653707,0.46126797047184614,155,51.796660567246114,40.801417267233994,49944.281668151496,87668.145947384692,0.85599599181495956,12,1.1018415668521504,-1.9400139436915538
1,chatgpt_5,20,0.25,4,MEASURED,2023-01-03,2025-12-31,727,5.2612995427284313,4.2612995427284313,0.74168295682057384,0.43638581377042329,0.43638581377042329,1.4840308621530514,66,22.055352241537054,28.90387634280625,81543.708728783036,149613.54093589119,0.53250273312721452,0,0.31941762259850237,-1.6169105544574403
1,joint_optical_leader_removal,20,0.25,4,MEASURED,2023-01-03,2025-12-31,727,1.6737434568921201,0.67374345689212012,0.1878198136180782,0.41347770427062325,0.41347770427062325,0.67056682286167468,175,58.480100640439161,44.091798008880694,55398.888540031803,99658.125376503856,0.80590655239986653,0,0.20687189608470519,-0.98633930561251471
2,union,20,0.5,2,MEASURED,2023-01-03,2025-12-31,727,1.2694912226923751,0.26949122269237513,0.083004211107016168,0.61163110539248544,0.61163110539248544,0.40976445447054077,112,37.427264409881062,48.995947174677227,68590.418084603094,121119.36966882381,0.83200968482415627,0,1.1530467784731455,-1.9338776972277401
2,chatgpt_5,20,0.5,2,MEASURED,2023-01-03,2025-12-31,727,3.4523293523499938,2.4523293523499938,0.51294116295743919,0.52723932274752461,0.52723932274752461,1.0800480399808219,76,25.397072278133578,36.661192401781229,92375.153650478445,168151.04738452265,0.77159687911497177,0,0.59411427184009002,-2.1130630060440159
2,joint_optical_leader_removal,20,0.5,2,MEASURED,2023-01-03,2025-12-31,727,0.92489853163669589,-0.075101468363304114,-0.025751840301048823,0.60659673006139947,0.60659673006139947,0.15249941248774573,99,33.083028362305583,43.901268166701882,41460.880354391833,73824.296083498964,0.84045960667193831,0,0.80000584786449813,-1.6735183821791229
3,union,20,0.5,4,MEASURED,2023-01-03,2025-12-31,727,1.4289359476665295,0.42893594766652954,0.12668088238401776,0.60370759470146607,0.60370759470146607,0.49496566419547794,135,45.113220494053067,38.749365315352208,50862.469647837424,91882.878759495958,0.88118280504871616,4,1.0347329118672832,-1.8249931097719574
3,chatgpt_5,20,0.5,4,MEASURED,2023-01-03,2025-12-31,727,6.1887632473259782,5.1887632473259782,0.83878880501365027,0.54514756598277248,0.54514756598277248,1.4218070926910364,94,31.41216834400732,33.829920372032085,100898.29284307155,179734.0214901721,0.69452831513285529,0,0.64826005515557861,-1.5548382901710986
3,joint_optical_leader_removal,20,0.5,4,MEASURED,2023-01-03,2025-12-31,727,1.4458461191380092,0.4458461191380092,0.13111904336764746,0.48577723476650814,0.48577723476650814,0.50847854861932962,142,47.452424519670636,35.912750449422106,41153.079565835054,73725.247603347801,0.86278834672971949,2,0.35323990507628356,-1.1648766102344699
4,union,60,0.25,2,MEASURED,2023-01-03,2025-12-31,727,1.6914000182829183,0.6914000182829183,0.1919925299260643,0.56192230243544883,0.56192230243544883,0.64437712070635611,134,44.779048490393414,59.042068302307491,95199.723335418588,165887.45113951113,0.79637539241937283,1,0.86610638744862611,-1.6243592721464679
4,chatgpt_5,60,0.25,2,MEASURED,2023-01-03,2025-12-31,727,6.3093550240996992,5.3093550240996992,0.85068531484195975,0.47062302077737561,0.47062302077737561,1.5816702596051955,62,20.718664226898447,32.019685884797276,109312.86957541219,200278.36339587177,0.53570541762819635,0,0.42293421926149755,-1.4582596848259441
4,joint_optical_leader_removal,60,0.25,2,MEASURED,2023-01-03,2025-12-31,727,1.3477704735374549,0.34777047353745494,0.10487721518763515,0.64227875080526908,0.64227875080526908,0.45714467399623682,136,45.44739249771272,61.691068515154093,55146.050764071901,95140.309835760563,0.77919750219516015,0,0.42348287871416596,-1.3484856568575072
5,union,60,0.25,4,MEASURED,2023-01-03,2025-12-31,727,1.9253961113180442,0.92539611131804422,0.2447400078763855,0.58829957524219445,0.58829957524219445,0.75404631352660567,194,64.829368709972556,50.456874079340629,74125.470192550172,135543.51244974768,0.89547414411646642,0,0.8343116525465244,-1.5546677476811708
5,chatgpt_5,60,0.25,4,MEASURED,2023-01-03,2025-12-31,727,5.1028324803941256,4.1028324803941256,0.72397404894277084,0.41158331651709434,0.41158331651709434,1.4857690268937955,62,20.718664226898447,27.556446408767499,75712.52140225601,139536.95993597602,0.49987072718273057,0,0.24442698145518316,-1.6262175892065238
5,joint_optical_leader_removal,60,0.25,4,MEASURED,2023-01-03,2025-12-31,727,0.89546209049624215,-0.10453790950375785,-0.036225307039817078,0.62248655401649189,0.62248655401649189,0.087155419384348759,161,53.801692589204031,43.063429820883265,41138.090879509618,71610.797172428895,0.81298941371317046,11,0.83234999656487696,-1.7592172272996176
6,union,60,0.5,2,MEASURED,2023-01-03,2025-12-31,727,1.7950482750633134,0.79504827506331344,0.21592035941351639,0.62918587030405071,0.62918587030405071,0.667125688177997,103,34.419716376944194,47.304512723873785,66235.496339844904,117299.18824447229,0.85287798860907249,0,0.96179467415255337,-1.5946129672320559
6,chatgpt_5,60,0.5,2,MEASURED,2023-01-03,2025-12-31,727,10.742605744843393,9.7426057448433934,1.2108942668626215,0.48794090244198962,0.48794090244198962,1.783128736919239,58,19.381976212259836,29.803558956340325,133525.59150108171,240706.11295486896,0.81135361584593091,0,0.47529503744883694,-0.93762654385243449
6,joint_optical_leader_removal,60,0.5,2,MEASURED,2023-01-03,2025-12-31,727,1.2014458540347899,0.20144585403478987,0.063248829404575657,0.62053174593235916,0.62053174593235916,0.36000832254566151,91,30.409652333028365,41.237415447872841,38326.905214175014,68398.001711714183,0.84067151091820091,0,0.53840889497702293,-1.4170259391363129
7,union,60,0.5,4,MEASURED,2023-01-03,2025-12-31,727,4.1695132011341123,3.1695132011341123,0.61144380396226983,0.47972355522183319,0.47972355522183319,1.2183443945084065,135,45.113220494053067,36.016689148166549,70592.20394332362,130275.2011803513,0.92352786668354703,0,0.4957728075567398,-0.66113586425978377
7,chatgpt_5,60,0.5,4,MEASURED,2023-01-03,2025-12-31,727,6.5111990521823015,5.5111990521823015,0.87026315174602686,0.46078050953474803,0.46078050953474803,1.4670091713531075,76,25.397072278133578,29.133480685256568,93326.406075283521,165460.58079811319,0.71973543518859073,0,0.39317527116017681,-1.4287444484806795
7,joint_optical_leader_removal,60,0.5,4,MEASURED,2023-01-03,2025-12-31,727,1.0075019646138974,0.007501964613897405,0.0025007113767840927,0.60065056434011233,0.60065056434011233,0.20964049002585472,147,49.123284537968892,38.074859734592962,37627.611540089245,66107.046289174468,0.88655735499676913,4,0.71446064002411569,-1.6155940623991016
