date,symbol,pnl,carry,execution,units_before,units_after
2023-01-19,sh688012,16788.419900688728,0,16788.419900688728,0,8629.8038490533836
2023-01-19,sh688019,-373.61051198904454,-0,-373.61051198904454,0,5623.1177216649376
2023-01-20,sh688012,-3356.9936972818527,-3356.9936972818527,0,8629.8038490533836,8629.8038490533836
2023-01-20,sh688019,-7996.0734002075242,-7996.0734002075242,0,5623.1177216649376,5623.1177216649376
2023-01-30,sh688012,-8396.7991451289327,-8396.7991451289327,0,8629.8038490533836,8629.8038490533836
2023-01-30,sh688019,-3525.6948114839697,-3525.6948114839697,0,5623.1177216649376,5623.1177216649376
2023-01-31,sh688012,-11641.605392372925,-11641.605392372925,0,8629.8038490533836,8629.8038490533836
2023-01-31,sh688019,-1872.4982013144152,-1872.4982013144152,0,5623.1177216649376,5623.1177216649376
2023-02-01,sh688012,5212.4015248282367,5212.4015248282367,0,8629.8038490533836,8629.8038490533836
2023-02-01,sh688019,6736.4950305546372,6736.4950305546372,0,5623.1177216649376,5623.1177216649376
2023-02-02,sh688012,18182.996709955474,18182.996709955474,0,8629.8038490533836,8629.8038490533836
2023-02-02,sh688019,14698.829724432091,14698.829724432091,0,5623.1177216649376,5623.1177216649376
2023-02-03,sh688012,-4228.6038860362369,-4228.6038860362369,0,8629.8038490533836,8629.8038490533836
2023-02-03,sh688019,3109.6165469507291,-1338.3020177562526,4447.9185647069817,5623.1177216649376,15716.056010184662
2023-02-06,sh688012,-5039.8054478470813,-5039.8054478470813,0,8629.8038490533836,8629.8038490533836
2023-02-06,sh688019,-19613.63790071031,-19613.63790071031,0,15716.056010184662,15716.056010184662
2023-02-07,sh688012,-15525.017124447095,-15525.017124447095,0,8629.8038490533836,8629.8038490533836
2023-02-07,sh688019,-19267.884668486382,-19267.884668486382,0,15716.056010184662,15716.056010184662
2023-02-08,sh688012,1743.2203775087678,1743.2203775087678,0,8629.8038490533836,8629.8038490533836
2023-02-08,sh688019,-13201.487048555169,-13201.487048555169,0,15716.056010184662,15716.056010184662
2023-02-09,sh688012,22351.191969048294,22351.191969048294,0,8629.8038490533836,8629.8038490533836
2023-02-09,sh688019,44869.339909077273,44869.339909077273,0,15716.056010184662,15716.056010184662
2023-02-10,sh688012,3132.6187972063744,3132.6187972063744,0,8629.8038490533836,8629.8038490533836
2023-02-10,sh688019,-13500.092112748764,-13500.092112748764,0,15716.056010184662,15716.056010184662
2023-02-13,sh688012,4659.7548632637036,2606.2007624141797,2053.5541008495238,8629.8038490533836,12633.912150006134
2023-02-13,sh688019,19110.724108384678,19110.724108384678,0,15716.056010184662,15716.056010184662
2023-02-14,sh688012,-4156.5570973521153,-4156.5570973521153,0,12633.912150006134,12633.912150006134
2023-02-14,sh688019,-8926.7198137848536,-8926.7198137848536,0,15716.056010184662,15716.056010184662
2023-02-15,sh688012,26796.527670162948,26796.527670162948,0,12633.912150006134,12633.912150006134
2023-02-15,sh688019,12887.165928351316,12887.165928351316,0,15716.056010184662,15716.056010184662
2023-02-16,sh688012,-18407.610002558857,-18407.610002558857,0,12633.912150006134,12633.912150006134
2023-02-16,sh688019,-10671.202030915418,-10671.202030915418,0,15716.056010184662,15716.056010184662
2023-02-17,sh688012,-46454.894975572635,-46454.894975572635,0,12633.912150006134,12633.912150006134
2023-02-17,sh688019,-47415.340982727059,-47415.340982727059,0,15716.056010184662,15716.056010184662
2023-02-20,sh688012,-7834.4508290663689,25937.421643962738,-33771.872473029107,12633.912150006134,0
2023-02-20,sh688019,-10404.029078742344,-10404.029078742344,0,15716.056010184662,15716.056010184662
2023-02-21,sh688019,2844.6502797659377,15700.339954174626,-12855.689674408688,15716.056010184662,1764.7793090423111
2023-02-22,sh688019,-1872.7030799500328,-804.73936492329926,-1067.9637150267336,1764.7793090423111,0
2023-02-23,sh688037,-6465.9181326436801,-0,-6465.9181326436801,0,6171.7090194348057
2023-02-23,sh688256,-9679.7702136969383,-0,-9679.7702136969383,0,8083.0418237364447
2023-02-24,sh688037,-4517.691002226361,-4517.691002226361,0,6171.7090194348057,6171.7090194348057
2023-02-24,sh688256,25550.495204830913,25550.495204830913,0,8083.0418237364447,8083.0418237364447
2023-02-27,sh688037,-10096.915955795315,-10096.915955795315,0,6171.7090194348057,6171.7090194348057
2023-02-27,sh688256,-14977.876499383587,-14977.876499383587,0,8083.0418237364447,8083.0418237364447
2023-02-28,sh688037,8918.1195330833398,8918.1195330833398,0,6171.7090194348057,6171.7090194348057
2023-02-28,sh688256,-6506.848668107893,-6506.848668107893,0,8083.0418237364447,8083.0418237364447
2023-03-01,sh688037,-1240.5135129064429,-1240.5135129064429,0,6171.7090194348057,6171.7090194348057
2023-03-01,sh688256,35969.536115627205,35969.536115627205,0,8083.0418237364447,8083.0418237364447
2023-03-02,sh688037,-2987.1071654064131,-2987.1071654064131,0,6171.7090194348057,6171.7090194348057
2023-03-02,sh688256,4882.1572615368059,4882.1572615368059,0,8083.0418237364447,8083.0418237364447
2023-03-03,sh688037,24075.836884815155,24075.836884815155,0,6171.7090194348057,6171.7090194348057
2023-03-03,sh688256,6669.9097993137666,11987.15102460118,-5317.2412252874137,8083.0418237364447,11385.838909645365
2023-03-06,sh688037,38110.30319500991,38110.30319500991,0,6171.7090194348057,6171.7090194348057
2023-03-06,sh688256,-18946.035945649903,-18946.035945649903,0,11385.838909645365,11385.838909645365
2023-03-07,sh688037,-31926.250757536262,-31926.250757536262,0,6171.7090194348057,6171.7090194348057
2023-03-07,sh688256,-25606.751707792453,-25606.751707792453,0,11385.838909645365,11385.838909645365
2023-03-08,sh688037,-1570.9641907474961,11362.116304779527,-12933.080495527023,6171.7090194348057,0
2023-03-08,sh688256,13686.192692557028,16281.749640792868,-2595.5569482358401,11385.838909645365,0
2023-03-13,sh688037,-3463.5502195514914,-0,-3463.5502195514914,0,2848.5082872928174
2023-03-13,sh688256,19954.00388557704,0,19954.00388557704,0,5622.7084206467616
2023-03-14,sh688037,1062.4935911602342,1062.4935911602342,0,2848.5082872928174,2848.5082872928174
2023-03-14,sh688256,26831.564583326337,26831.564583326337,0,5622.7084206467616,5622.7084206467616
2023-03-15,sh688037,-14233.995911602207,-14233.995911602207,0,2848.5082872928174,2848.5082872928174
2023-03-15,sh688256,4115.8225639134253,4115.8225639134253,0,5622.7084206467616,5622.7084206467616
2023-03-16,sh688037,-11003.787513812153,-11003.787513812153,0,2848.5082872928174,2848.5082872928174
2023-03-16,sh688256,-23306.831332057249,-5813.8805069487053,-17492.950825108543,5622.7084206467616,15381.540386089528
2023-03-17,sh688037,609.58077348065899,609.58077348065899,0,2848.5082872928174,2848.5082872928174
2023-03-17,sh688256,211526.94338950311,211526.94338950311,0,15381.540386089528,15381.540386089528
2023-03-20,sh688037,25.636574585636328,25.636574585636328,0,2848.5082872928174,2848.5082872928174
2023-03-20,sh688256,124590.47712732508,124590.47712732508,0,15381.540386089528,15381.540386089528
2023-03-21,sh688037,-6916.1781215469937,-6916.1781215469937,0,2848.5082872928174,2848.5082872928174
2023-03-21,sh688256,18580.900786396345,18580.900786396345,0,15381.540386089528,15381.540386089528
2023-03-22,sh688037,-6212.5965745856274,-6212.5965745856274,0,2848.5082872928174,2848.5082872928174
2023-03-22,sh688256,241059.50093079504,241059.50093079504,0,15381.540386089528,15381.540386089528
2023-03-23,sh688037,-4010.0574769864133,5204.2246408839719,-9214.2821178703853,2848.5082872928174,0
2023-03-23,sh688256,70708.94115485347,70708.94115485347,0,15381.540386089528,15381.540386089528
2023-03-24,sh688256,165166.98066582935,165166.98066582935,0,15381.540386089528,15381.540386089528
2023-03-27,sh688256,34993.004378353762,34993.004378353762,0,15381.540386089528,15381.540386089528
2023-03-28,sh688256,-148539.53550846651,-148539.53550846651,0,15381.540386089528,15381.540386089528
2023-03-29,sh688041,36024.972694184326,0,36024.972694184326,0,3467.2702494052405
2023-03-29,sh688256,0,0,0,15381.540386089528,15381.540386089528
2023-03-30,sh688041,6934.540498810481,6934.540498810481,0,3467.2702494052405,3467.2702494052405
2023-03-30,sh688256,42314.617602132144,42314.617602132144,0,15381.540386089528,15381.540386089528
2023-03-31,sh688041,2323.0710671015172,2323.0710671015172,0,3467.2702494052405,3467.2702494052405
2023-03-31,sh688256,101687.36349243793,101687.36349243793,0,15381.540386089528,15381.540386089528
2023-04-03,sh688041,26455.27200296197,26455.27200296197,0,3467.2702494052405,3467.2702494052405
2023-04-03,sh688256,258594.45697093732,258594.45697093732,0,15381.540386089528,15381.540386089528
2023-04-04,sh688041,3744.651869357654,3744.651869357654,0,3467.2702494052405,3467.2702494052405
2023-04-04,sh688256,46559.922748692799,46559.922748692799,0,15381.540386089528,15381.540386089528
2023-04-06,sh688041,-16122.806659734339,-16122.806659734339,0,3467.2702494052405,3467.2702494052405
2023-04-06,sh688256,-77522.963545891093,-77522.963545891093,0,15381.540386089528,15381.540386089528
2023-04-07,sh688041,1456.2535047501576,1456.2535047501576,0,3467.2702494052405,3467.2702494052405
2023-04-07,sh688256,180656.19183462157,180656.19183462157,0,15381.540386089528,15381.540386089528
2023-04-10,sh688041,-23750.801208425877,-23750.801208425877,0,3467.2702494052405,3467.2702494052405
2023-04-10,sh688256,-184901.49698118246,-184901.49698118246,0,15381.540386089528,15381.540386089528
2023-04-11,sh688041,4160.7242992862984,4160.7242992862984,0,3467.2702494052405,3467.2702494052405
2023-04-11,sh688256,-62864.355557947732,-62864.355557947732,0,15381.540386089528,15381.540386089528
2023-04-12,sh688041,23196.03796852105,23196.03796852105,0,3467.2702494052405,3467.2702494052405
2023-04-12,sh688256,46452.251965990094,46452.251965990094,0,15381.540386089528,15381.540386089528
2023-04-13,sh688041,-22433.238513651901,-22433.238513651901,0,3467.2702494052405,3467.2702494052405
2023-04-13,sh688256,-185809.00786396125,-185809.00786396125,0,15381.540386089528,15381.540386089528
2023-04-14,sh688041,3935.8475215598282,2843.1616045122737,1092.6859170475545,3467.2702494052405,2259.6287801101053
2023-04-14,sh688256,52790.614040333501,72262.476733848715,-19471.86269351521,15381.540386089528,10024.428930711991
2023-04-17,sh688041,6982.2529305402331,6982.2529305402331,0,2259.6287801101053,2259.6287801101053
2023-04-17,sh688256,12109.510148300069,12109.510148300069,0,10024.428930711991,10024.428930711991
2023-04-18,sh688041,5581.2830868719575,5581.2830868719575,0,2259.6287801101053,2259.6287801101053
2023-04-18,sh688256,-6866.7338175377363,-6866.7338175377363,0,10024.428930711991,10024.428930711991
2023-04-19,sh688041,17964.048801875342,17964.048801875342,0,2259.6287801101053,2259.6287801101053
2023-04-19,sh688256,175056.60241702345,175056.60241702345,0,10024.428930711991,10024.428930711991
2023-04-20,sh688041,15252.494265743211,15252.494265743211,0,2259.6287801101053,2259.6287801101053
2023-04-20,sh688256,298447.29812515731,298447.29812515731,0,10024.428930711991,10024.428930711991
2023-04-21,sh688041,-13354.406090450715,-13354.406090450715,0,2259.6287801101053,2259.6287801101053
2023-04-21,sh688256,-122177.73980751762,-122177.73980751762,0,10024.428930711991,10024.428930711991
2023-04-24,sh688041,-4790.4130138334331,-4790.4130138334331,0,2259.6287801101053,2259.6287801101053
2023-04-24,sh688256,-33631.95906253891,-33631.95906253891,0,10024.428930711991,10024.428930711991
2023-04-25,sh688041,21421.280835443806,21421.280835443806,0,2259.6287801101053,2259.6287801101053
2023-04-25,sh688256,33631.95906253891,33631.95906253891,0,10024.428930711991,10024.428930711991
2023-04-26,sh688041,-14145.27616348927,-14145.27616348927,0,2259.6287801101053,2259.6287801101053
2023-04-26,sh688256,-67273.942554008303,-67273.942554008303,0,10024.428930711991,10024.428930711991
