case,window,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
chatgpt_1,full,MEASURED,2023-01-03,2026-09-11,896,51.467905982931157,50.467905982931157,1.9113675366564942,0.61890212036413483,0.61890212036413483,1.8663182020952152,2,0.54231625835189312,0.9853561619470983,519.61585675999993,1996.5259999997497,0.99857658575018371,0
chatgpt_1,bull,MEASURED,2023-01-03,2026-06-30,843,70.587554910066885,69.587554910066885,2.3886127519118938,0.61890212036413483,0.61890212036413483,2.1106853951867279,2,0.57339089481946626,0.9853561619470983,519.61585675999993,1996.5259999997497,0.99848765741363987,0
chatgpt_1,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.62279092490786558,-0.37720907509213442,-0.91549014169890652,0.38798742468249359,0.38798742468249359,-2.1877355176435089,0,0,0,0,0,0.99999153567484567,0
chatgpt_1,july_august,MEASURED,2026-07-01,2026-08-31,44,0.67078963524735813,-0.32921036475264187,-0.90845171860537133,0.33385600252360714,0.38798742468249359,-1.9803581689272964,0,0,0,0,0,0.99999124837442632,0
chatgpt_1,recovery,MEASURED,2026-09-01,2026-09-11,9,1.0869811603407959,0.086981160340795949,20.038228510318802,0.053880525681733404,0.4118600124820242,4.0443802823543695,0,0,0,0,0,0.99999007822127817,0
chatgpt_3,full,MEASURED,2023-01-03,2026-09-11,896,46.228593777381278,45.228593777381278,1.8278350038640445,0.5600790729609072,0.5600790729609072,1.8364227318173332,4,1.0846325167037862,0.98616499738885399,519.53673772000002,1996.2219999998281,0.99864143923478499,0
chatgpt_3,bull,MEASURED,2023-01-03,2026-06-30,843,62.084473779860609,61.084473779860609,2.2661796203560498,0.5600790729609072,0.5600790729609072,2.0690359105596579,4,1.1467817896389325,0.98616499738885399,519.53673772000002,1996.2219999998281,0.99855686885131434,0
chatgpt_3,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.68448561560303423,-0.31551438439696577,-0.86165783370935634,0.40683344914362363,0.40683344914362363,-1.6195479511250312,0,0,0,0,0,0.99998718159457778,0
chatgpt_3,july_august,MEASURED,2026-07-01,2026-08-31,44,0.70889608539771176,-0.29110391460228824,-0.87255213391962427,0.37975675930995401,0.40683344914362363,-1.6486275033875639,0,0,0,0,0,0.99998676676132336,0
chatgpt_3,recovery,MEASURED,2026-09-01,2026-09-11,9,1.0503767504397612,0.050376750439761198,5.0204615680043743,0.046619788020383912,0.35365659102782887,3.0047146276950336,0,0,0,0,0,0.99998570835680367,0
chatgpt_5,full,MEASURED,2023-01-03,2026-09-11,896,29.062957034788582,28.062957034788582,1.4934259927879689,0.52389470066915012,0.52389470066915012,1.7393530233000127,5,1.3557906458797329,0.98814178338111769,516.52227626999991,1984.6394999998079,0.99724082600483832,0
chatgpt_5,bull,MEASURED,2023-01-03,2026-06-30,843,39.796158989151714,38.796158989151714,1.8751941515179715,0.52389470066915012,0.52389470066915012,1.9944040398217622,5,1.4334772370486657,0.98814178338111769,516.52227626999991,1984.6394999998079,0.99708093580713986,0
chatgpt_5,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.68524325063414127,-0.31475674936585873,-0.86085697431624042,0.40873774998763113,0.40873774998763113,-1.6564595264005573,0,0,0,0,0,0.9997938545356736,0
chatgpt_5,july_august,MEASURED,2026-07-01,2026-08-31,44,0.6997402281714078,-0.3002597718285922,-0.88209626367396099,0.38603879309600231,0.40873774998763113,-1.7722400381276302,0,0,0,0,0,0.99978701618665378,0
chatgpt_5,recovery,MEASURED,2026-09-01,2026-09-11,9,1.0436666364834524,0.04366663648345237,3.7639781104828183,0.04752555855523577,0.35815613620435971,2.6953703404926275,0,0,0,0,0,0.99976916696704243,0
chatgpt_13,full,MEASURED,2023-01-03,2026-09-11,896,13.518339263745947,12.518339263745947,1.0260915138150368,0.42062549138595495,0.42062549138595495,1.5835711435575659,14,3.7962138084632517,0.88356507610340851,473.61016242539995,1819.7577899998253,0.95900135386204288,0
chatgpt_13,bull,MEASURED,2023-01-03,2026-06-30,843,18.51460717382508,17.51460717382508,1.3088229847650519,0.42062549138595495,0.42062549138595495,1.880474718551751,14,4.0137362637362637,0.88356507610340851,473.61016242539995,1819.7577899998253,0.95683107043811222,0
chatgpt_13,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.70158168988193381,-0.29841831011806619,-0.84265306877472779,0.40915117189339334,0.40915117189339334,-1.6792853456391015,0,0,0,0,0,0.99380364820980494,0
chatgpt_13,july_august,MEASURED,2026-07-01,2026-08-31,44,0.70808529942818754,-0.29191470057181246,-0.87342245195940826,0.39395325901976397,0.40915117189339334,-1.8588178186087025,0,0,0,0,0,0.99359396681737411,0
chatgpt_13,recovery,MEASURED,2026-09-01,2026-09-11,9,1.0311533604320615,0.031153360432061517,2.0664234259866143,0.052584046145099039,0.34597171608745303,2.0689998906207356,0,0,0,0,0,0.99316512678860747,0
chatgpt_22,full,MEASURED,2023-01-03,2026-09-11,896,9.4262705527776784,8.4262705527776784,0.83738507653494132,0.38420506549180899,0.38420506549180899,1.4992616599450772,22,5.9654788418708247,0.89516643046113842,487.17517909059995,1871.8788099997921,0.95186175524542416,0
chatgpt_22,bull,MEASURED,2023-01-03,2026-06-30,843,13.066991800522656,12.066991800522656,1.0893080056173781,0.37608218466398968,0.37608218466398968,1.8317713020186654,22,6.3072998430141283,0.89516643046113842,487.17517909059995,1871.8788099997921,0.94924051171567825,0
chatgpt_22,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.74259034338321273,-0.25740965661678727,-0.78836460743335701,0.38420506549180899,0.38420506549180899,-1.4406242697702001,0,0,0,0,0,0.99382722470655027,0
chatgpt_22,july_august,MEASURED,2026-07-01,2026-08-31,44,0.71719826326230807,-0.28280173673769193,-0.86334979018863289,0.38402599625155864,0.38420506549180899,-1.8741591919220668,0,0,0,0,0,0.9936363681283864,0
chatgpt_22,recovery,MEASURED,2026-09-01,2026-09-11,9,1.0058310841747524,0.0058310841747524211,0.23659520391424249,0.063315090656058115,0.32840650490037515,0.58269318267835402,0,0,0,0,0,0.99315345843714553,0
trae_6,full,MEASURED,2023-01-03,2026-09-11,896,25.060678866575397,24.060678866575397,1.395235826084674,0.50699729015563799,0.50699729015563799,1.7288442347558708,6,1.6269487750556795,1.0025564836340797,518.57533467739995,1992.5279899998,0.99820450725236431,0
trae_6,bull,MEASURED,2023-01-03,2026-06-30,843,33.95647086583584,32.95647086583584,1.7473154255316259,0.50699729015563799,0.50699729015563799,1.9898580015514853,6,1.7201726844583987,1.0025564836340797,518.57533467739995,1992.5279899998,0.99809767904416868,0
trae_6,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.698251589896557,-0.301748410103443,-0.84651124913225073,0.39449451547762604,0.39449451547762604,-1.6241915481899842,0,0,0,0,0,0.99990795162236312,0
trae_6,july_august,MEASURED,2026-07-01,2026-08-31,44,0.71041915872257988,-0.28958084127742012,-0.87090374918482172,0.37357001263289258,0.39449451547762604,-1.7541381969135221,0,0,0,0,0,0.99990506253822387,0
trae_6,recovery,MEASURED,2026-09-01,2026-09-11,9,1.0388566379249915,0.038856637924991499,3.0243337241413437,0.049042664101087041,0.34698788290464777,2.4514850230580056,0,0,0,0,0,0.99989692357804927,0
trae_8,full,MEASURED,2023-01-03,2026-09-11,896,22.832587922116872,21.832587922116872,1.3355182743211107,0.46268272057070958,0.46268272057070958,1.7730360745054004,9,2.4404231625835191,0.99194462246112658,519.1767669088,1994.8388799998231,0.99846410173083677,0
trae_8,bull,MEASURED,2023-01-03,2026-06-30,843,31.672004086363231,30.672004086363231,1.6930030589815961,0.46268272057070958,0.46268272057070958,2.0719249202249821,9,2.5802590266875982,0.99194462246112658,519.1767669088,1994.8388799998231,0.99837106552242394,0
trae_8,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.70055292351551413,-0.29944707648448587,-0.84385324766134939,0.39444898701436248,0.39444898701436248,-1.6725913558939765,0,0,0,0,0,0.99994638025638505,0
trae_8,july_august,MEASURED,2026-07-01,2026-08-31,44,0.7076004279363477,-0.2923995720636523,-0.87394055547272265,0.38183823913791837,0.39444898701436248,-1.8573660998501271,0,0,0,0,0,0.9999446370972066,0
trae_8,recovery,MEASURED,2026-09-01,2026-09-11,9,1.0188060305979534,0.018806030597953383,0.9748871933546448,0.050961976042985691,0.34215996760813228,1.4349563758850175,0,0,0,0,0,0.9999403203499182,0
trae_10,full,MEASURED,2023-01-03,2026-09-11,896,16.920302329771186,15.920302329771186,1.153242024709221,0.4443483598070963,0.4443483598070963,1.6643306980710075,11,2.9827394209354123,0.95684344463948112,518.21258949460002,1991.1342099997803,0.9901441259593976,0
trae_10,bull,MEASURED,2023-01-03,2026-06-30,843,23.026931179503801,22.026931179503801,1.4578019109649585,0.4443483598070963,0.4443483598070963,1.9549892908912869,11,3.1536499215070641,0.95684344463948112,518.21258949460002,1991.1342099997803,0.98953596357481943,0
trae_10,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.72167061925933529,-0.27832938074066471,-0.81768043848055805,0.38637762853130198,0.38637762853130198,-1.5042542431815631,0,0,0,0,0,0.9998251444233327,0
trae_10,july_august,MEASURED,2026-07-01,2026-08-31,44,0.72023573402401253,-0.27976426597598747,-0.85984766118576128,0.37353310043831767,0.38637762853130198,-1.7403215507603569,0,0,0,0,0,0.99981974527237161,0
trae_10,recovery,MEASURED,2026-09-01,2026-09-11,9,1.020228357984855,0.020228357984855005,1.0781275616811805,0.059473214745944913,0.33648783667909499,1.436402402274592,0,0,0,0,0,0.99980564156258422,0
trae_15,full,MEASURED,2023-01-03,2026-09-11,896,14.137428482471384,13.137428482471384,1.050842416781288,0.41085908325102805,0.41085908325102805,1.6646689361228775,15,4.0673719376391988,0.97804546335306219,514.87942405899992,1978.3271499997775,0.99015942676002855,0
trae_15,bull,MEASURED,2023-01-03,2026-06-30,843,19.834609331108307,18.834609331108307,1.3548619590939266,0.41085908325102805,0.41085908325102805,1.9976443611728159,15,4.3004317111459969,0.97804546335306219,514.87942405899992,1978.3271499997775,0.98958146077549014,0
trae_15,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.7307992976478408,-0.2692007023521592,-0.80532147177273161,0.37451344105452211,0.37451344105452211,-1.5410445477712673,0,0,0,0,0,0.99938052958308876,0
trae_15,july_august,MEASURED,2026-07-01,2026-08-31,44,0.71224283287948476,-0.28775716712051524,-0.86890670600472597,0.37329436973635499,0.37451344105452211,-1.9378197307149003,0,0,0,0,0,0.99936152572592762,0
