candidate,scope,leader_rule,market_span,minimum_breadth,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
0,union,responsive,10,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,4.4719972274949455,3.4719972274949455,0.64960284976197724,0.3654287113860083,0.3654287113860083,1.3867270309210746,77,25.731244281793231,29.625992798377037,98457.121530520482,178678.58021310694,0.50298525421261564,0,0.13940273234849565,-0.46661495373473072
0,chatgpt_5,responsive,10,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,7.705494161973184,6.705494161973184,0.97853573452539044,0.47307960078717815,0.47307960078717815,1.6025899238456234,78,26.065416285452883,36.874664932225862,111979.83881798251,201249.71426775405,0.61629171344458544,0,0.4303617177135024,-1.2708954784491591
0,joint_optical_leader_removal,responsive,10,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,1.7343243235491799,0.73432432354917987,0.20201712902691082,0.42902358665999285,0.42902358665999285,0.67188433601271835,76,25.397072278133578,32.610188825241508,63524.498595044199,113840.96444385368,0.51907149541720166,0,0.17131670617863928,-0.89627747077386477
1,union,responsive,10,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,6.8635760667778314,5.8635760667778314,0.90349500028975904,0.31133259712559269,0.31133259712559269,1.6636396098831872,66,22.055352241537054,26.839516003488466,102475.56024323734,187406.6696742145,0.48941614205583078,1,0,0.0097023986035658857
1,chatgpt_5,responsive,10,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,6.6710354073453697,5.6710354073453697,0.88548164233129478,0.47064578842639104,0.47064578842639104,1.5195272518706029,72,24.060384263494971,34.352643770795801,100454.15498036127,180205.60305764418,0.57593310135980957,0,0.42300305751514422,-1.4092185757184104
1,joint_optical_leader_removal,responsive,10,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,2.1565685142717763,1.1565685142717763,0.29280891250674723,0.38399511301329037,0.38399511301329037,0.84155031974421135,72,24.060384263494971,31.464365637029047,69693.875173338194,126545.1937597025,0.54268428750106346,1,0,-0.64193233052860876
2,union,responsive,20,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,4.4897587351576336,3.4897587351576336,0.65178937455371955,0.4059777158833896,0.4059777158833896,1.365575866526467,87,29.072964318389754,34.917742222511798,113444.92449436637,203621.09610121776,0.55019428954714455,0,0.26583408565703226,-0.49974629657119068
2,chatgpt_5,responsive,20,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,9.6698601262610264,8.6698601262610264,1.1345180912080055,0.53713726959850061,0.53713726959850061,1.7471330171722814,76,25.397072278133578,36.321589951553854,113589.58306777038,202787.52048034346,0.61734308134184146,0,0.62404083015298584,-1.0905217993406107
2,joint_optical_leader_removal,responsive,20,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,1.8427246821671777,0.84272468216717766,0.22661833332823655,0.49306671102474398,0.49306671102474398,0.70116228904872768,85,28.404620311070449,37.627237944306493,73608.396604295398,133263.15510662508,0.60229549979143426,0,0.11068932301470165,-0.88969752694936433
3,union,responsive,20,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,7.1311730350341227,6.1311730350341227,0.92797994627340996,0.32135395621024876,0.32135395621024876,1.6720622625940087,70,23.392040256175665,28.363533845735891,105600.34828008305,193532.32388574071,0.5159720391290914,1,0.0019781269189447226,0.037760146752298406
