candidate,scope,leadership_window,exit_span,positions,pressure_guard,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
0,union,60,20,2,False,MEASURED,2023-01-03,2025-12-31,727,4.1271184924816007,3.1271184924816007,0.60594981906749856,0.57931709406583787,0.57931709406583787,1.1388779253291434,145,48.454940530649587,62.166823227414142,133444.33984913529,233772.71556567634,0.84546344104346449,0,0.80630437430943314,-0.75273428723747693
0,chatgpt_5,60,20,2,False,MEASURED,2023-01-03,2025-12-31,727,9.5931697705634633,8.5931697705634633,1.1288460329781231,0.52056358924960389,0.52056358924960389,1.6692566267225053,92,30.743824336688014,44.791790228830379,158546.31612749887,285394.55632728204,0.68055898703038142,0,0.57393011336613564,-1.0967475248301128
0,joint_optical_leader_removal,60,20,2,False,MEASURED,2023-01-03,2025-12-31,727,0.91451438807210073,-0.085485611927899274,-0.029420831422895533,0.75476549035272367,0.75476549035272367,0.19688743276702958,151,50.459972552607503,70.397856866697879,90703.082014981672,153524.08022919152,0.86619688262205419,0,0.81129668285850287,-1.8306896757722244
1,union,60,20,2,True,MEASURED,2023-01-03,2025-12-31,727,2.5135950374194724,1.5135950374194724,0.36071598249526216,0.60319999223978982,0.60319999223978982,0.8544755146048254,220,73.517840805123512,72.327573208991851,136471.28855994521,237213.74391386507,0.76465901841689665,107,0.88077099006217585,-1.3166377090793004
1,chatgpt_5,60,20,2,True,MEASURED,2023-01-03,2025-12-31,727,8.3819886598942031,7.3819886598942031,1.0349640443119661,0.5063849123554951,0.5063849123554951,1.63735326749299,167,55.80672461116194,52.079809604718513,169280.66452021169,302222.31672473642,0.61457372613874461,39,0.53106071759549511,-1.2712054841354237
1,joint_optical_leader_removal,60,20,2,True,MEASURED,2023-01-03,2025-12-31,727,0.50345545293148775,-0.49654454706851225,-0.2049330026269055,0.80093605695246739,0.80093605695246739,-0.26045718578331117,233,77.862076852698991,80.914261466021387,87385.295081988152,145202.75207777097,0.76583171346600687,168,1.408194650400874,-2.5170197768645863
2,union,60,20,4,False,MEASURED,2023-01-03,2025-12-31,727,5.2781879692270977,4.2781879692270977,0.74354921533311291,0.5737080512096171,0.5737080512096171,1.3145315541938887,234,78.19624885635865,61.938951432150624,122235.43181649066,217770.0015246362,0.8782002459380791,0,0.78881543992330361,-0.56200673246491972
2,chatgpt_5,60,20,4,False,MEASURED,2023-01-03,2025-12-31,727,5.5990577277028128,4.5990577277028128,0.77827560287405406,0.53457007138457047,0.53457007138457047,1.4208200221122547,107,35.756404391582798,42.805584911069722,102518.03046674732,180712.75574967571,0.68293708486352578,0,0.61627887626429967,-1.6557305888852449
2,joint_optical_leader_removal,60,20,4,False,MEASURED,2023-01-03,2025-12-31,727,1.3846196203805954,0.38461962038059538,0.11488145165542507,0.73580175164532458,0.73580175164532458,0.4725123336042511,238,79.532936870997261,63.95029608481164,72268.978903348092,123446.27975125087,0.86592119348541485,11,0.60414235834531826,-1.4598252627761352
3,union,60,20,4,True,MEASURED,2023-01-03,2025-12-31,727,4.1048114023399034,3.1048114023399034,0.60304391592088558,0.65188626045381626,0.65188626045381626,1.1786053193961983,378,126.31701738334858,74.245844549306668,127265.54765501195,224791.56544458977,0.83019387905031794,269,1.1600000000000001,-0.96830497917327207
3,chatgpt_5,60,20,4,True,MEASURED,2023-01-03,2025-12-31,727,5.7595772305043145,4.7595772305043145,0.79515210394157032,0.51126948015793228,0.51126948015793228,1.4659744656076845,225,75.188700823421783,52.124121499476651,121822.68362885284,215673.52000917553,0.62950194544864624,105,0.89075630252100835,-1.6888539844698611
3,joint_optical_leader_removal,60,20,4,True,MEASURED,2023-01-03,2025-12-31,727,0.87042156655555913,-0.12957843344444087,-0.045316681496008426,0.72208094964236702,0.72208094964236702,0.11465785537029394,373,124.64615736505033,79.787144053757984,91981.991194657297,156601.44121502625,0.79020825310429754,341,1.0837988826815641,-2.0039641872909066
4,union,60,60,2,False,MEASURED,2023-01-03,2025-12-31,727,4.2835221387037654,3.2835221387037654,0.62603620534351223,0.63478301967465534,0.63478301967465534,1.1513337992552497,136,45.44739249771272,59.537863912293581,121189.25622744528,214287.58338327621,0.87245877652029979,0,0.97924652478038476,-0.75112249648936225
4,chatgpt_5,60,60,2,False,MEASURED,2023-01-03,2025-12-31,727,11.508257317800222,10.508257317800222,1.2623494683955747,0.59090338388965691,0.59090338388965691,1.7420174077150385,89,29.74130832570906,43.75542977166797,184543.73388097651,330521.33067021717,0.70916023682560436,0,0.786603306878495,-0.96548389645991828
4,joint_optical_leader_removal,60,60,2,False,MEASURED,2023-01-03,2025-12-31,727,0.84464481136240233,-0.15535518863759767,-0.054859130351028962,0.75632226111848444,0.75632226111848444,0.12983833702023356,140,46.784080512351331,64.193962352254729,77289.472833700434,134416.94148193893,0.85901155592785972,0,0.89077368642610188,-1.9039824733336317
5,union,60,60,2,True,MEASURED,2023-01-03,2025-12-31,727,3.1319744837855463,2.1319744837855463,0.46449726994471585,0.62480758941964931,0.62480758941964931,0.99579854824563285,211,70.510292772186645,67.634318488706299,133977.43239024488,235617.57227076756,0.7620593292667166,92,0.94814324215708923,-1.1068786939676405
5,chatgpt_5,60,60,2,True,MEASURED,2023-01-03,2025-12-31,727,11.002590795755831,10.002590795755831,1.2286324920451266,0.55912062449481392,0.55912062449481392,1.7816518442758091,165,55.138380603842634,51.072409834359924,198650.8509690449,354965.03320349538,0.63971676166494662,30,0.69050776133808656,-1.037375004862386
5,joint_optical_leader_removal,60,60,2,True,MEASURED,2023-01-03,2025-12-31,727,0.51785575976201359,-0.48214424023798641,-0.19740474886283244,0.78136358837618203,0.78136358837618203,-0.29273095427701373,210,70.176120768526999,73.964481638004173,78916.599733673982,135076.22877106929,0.75038165136185975,168,1.379993136406525,-2.4587669992696788
6,union,60,60,4,False,MEASURED,2023-01-03,2025-12-31,727,3.8106331875002701,2.8106331875002701,0.56369835837780302,0.58749281660034947,0.58749281660034947,1.1449360513126436,213,71.17863677950595,53.225694072359467,86118.909009153504,153339.10007390415,0.87110803644755785,1,0.83179618790944776,-0.88409756724831645
6,chatgpt_5,60,60,4,False,MEASURED,2023-01-03,2025-12-31,727,6.0842716579513372,5.0842716579513372,0.82835514434041047,0.5826280622954414,0.5826280622954414,1.4491006941185902,97,32.414684354986278,38.938187607729645,123946.06195514496,217429.98429019202,0.70804206180773666,0,0.76158277504740757,-1.6019819380597877
6,joint_optical_leader_removal,60,60,4,False,MEASURED,2023-01-03,2025-12-31,727,1.3557082347027813,0.35570823470278135,0.10704749927631063,0.6871054085059034,0.6871054085059034,0.4565812318428899,202,67.502744739249778,55.397237220165124,63979.190934191865,112687.65232384302,0.86405359374993573,0,0.49797807353383305,-1.4203440805335306
7,union,60,60,4,True,MEASURED,2023-01-03,2025-12-31,727,2.9236578517639416,1.9236578517639416,0.43119762783247872,0.63770834801268106,0.63770834801268106,0.97366556700900131,340,113.6184812442818,68.895258392468193,105952.95512997539,186959.71547011376,0.83139356090358474,259,0.98836766659959507,-1.2715987497322279
7,chatgpt_5,60,60,4,True,MEASURED,2023-01-03,2025-12-31,727,6.5200309936277066,5.5200309936277066,0.87111051958526597,0.56601109309105402,0.56601109309105402,1.5229522132185878,225,75.188700823421783,50.433906268265979,152388.88668874971,268806.69289862138,0.65317859499017916,87,0.89075630252100835,-1.605895139150741
7,joint_optical_leader_removal,60,60,4,True,MEASURED,2023-01-03,2025-12-31,727,0.99871828138775109,-0.0012817186122489055,-0.0004284973696407901,0.72956432445408437,0.72956432445408437,0.20906548615042292,332,110.94510521500457,68.751457329778347,68968.224100609747,118471.17379334471,0.80468386122481206,347,0.85474860335195535,-1.8446795293805267
8,union,120,20,2,False,MEASURED,2023-01-03,2025-12-31,727,1.8033589367751368,0.80335893677513681,0.21779866600196085,0.77462633650135981,0.77462633650135981,0.63430209126027759,180,60.150960658737425,85.040612300330579,104804.9355139285,180702.36231692811,0.84054672111335393,1,1.4152764598357952,-1.750536719276387
8,chatgpt_5,120,20,2,False,MEASURED,2023-01-03,2025-12-31,727,10.088733407663073,9.0887334076630726,1.1649810700317729,0.52272562197447847,0.52272562197447847,1.6838977290721084,102,34.085544373284542,48.969238572072825,168866.49122703046,307877.34367232409,0.71695268672104173,0,0.58046704464991694,-1.0546845554466215
