case_id,core_fraction,candidate_wealth,passive_wealth,wealth_ratio_to_passive,candidate_max_drawdown,passive_max_drawdown,drawdown_margin_to_passive,candidate_orders,passive_orders,candidate_turnover,passive_turnover,candidate_average_exposure,passive_average_exposure,candidate_blocked_attempts,passive_blocked_attempts,state_transitions,systemic_protection_signals,acute_damage_signals,funded_recovery_completions,minimum_exposure,final_exposure
chatgpt_original,0.69999999999999996,5.478154079759384,5.783832209789896,0.94714955086125918,0.36969364463283105,0.37608218466398968,0.0063885400311586293,165,22,5.1441829238356389,0.89516643046113842,0.91970015090818591,0.94248490240663774,13,0,140,12,0,12,0,0.96703414328458703
common_five,0.69999999999999996,18.737765465908382,19.027561764836872,0.98476965664281613,0.49275938932424246,0.52389470066915012,0.031135311344907657,38,5,5.3204585357787897,0.98814178338111769,0.9606171075953579,0.99665781524121355,2,0,146,10,0,10,0,0.98800093572772563
dumate_original,0.69999999999999996,8.3234022687403275,8.5933316178786754,0.96858851012141178,0.401182453566856,0.41778881912834964,0.016606365561493641,99,18,4.8480777445565586,0.98076724524668779,0.96761759034391837,0.98841077861597082,2,0,135,9,0,9,0,0.99747632300620848
remove_optical_leaders,0.69999999999999996,2.9367201467134794,3.0475364255241244,0.96363742271215458,0.44202644738674468,0.45691302126687872,0.014886573880134035,183,30,4.5502615496426051,0.89350629870933129,0.91216500680491197,0.91864379321066902,24,6,151,13,0,13,0,0.98572440298510411
trae_original,0.69999999999999996,6.3869369855326941,6.5952446401719929,0.96841547721058208,0.39920368292614716,0.41300817174346627,0.013804488817319105,119,25,3.928485415602772,0.94866185012470583,0.9441598522425273,0.96759080952844023,8,0,133,8,0,8,0,0.984795365006913
union_34,0.69999999999999996,5.1020109616558917,5.3597431143899605,0.95191333852510507,0.39092701845862921,0.39879079738928846,0.0078637789306592598,191,32,4.4036481594323167,0.88683408344639536,0.91176644448862676,0.93533130222781979,24,0,135,10,0,10,0,0.93388888404703041
workbuddy_original,0.69999999999999996,6.2756624056949146,6.5872297678564582,0.95270130644570938,0.40485248086928849,0.41864834427969044,0.013795863410401954,137,26,4.6332482876806909,0.9835285732336313,0.95488992885578916,0.98464169183614703,10,0,131,9,0,9,0,0.98637133803588717
chatgpt_original,0.80000000000000004,5.5942432202909647,5.783832209789896,0.9672208697240513,0.36931629839733848,0.37608218466398968,0.0067658862666511999,116,22,3.2305968177859836,0.89516643046113842,0.92450336056410232,0.94248490240663774,10,0,140,12,0,12,0,0.96398438684599386
common_five,0.80000000000000004,18.976424092667234,19.027561764836872,0.99731244219298021,0.50232345732462669,0.52389470066915012,0.021571243344523428,35,5,3.7918977286774465,0.98814178338111769,0.97149786707682495,0.99665781524121355,2,0,146,10,0,10,0,0.99378424845903501
dumate_original,0.80000000000000004,8.3609596557004409,8.5933316178786754,0.97295903701717068,0.40801193923975798,0.41778881912834964,0.0097768798885916608,74,18,3.389695744727077,0.98076724524668779,0.96849204384947263,0.98841077861597082,29,0,135,9,0,9,0,0.992128499996215
