case_id,core_fraction,candidate_wealth,passive_wealth,wealth_ratio_to_passive,candidate_max_drawdown,passive_max_drawdown,drawdown_margin_to_passive,candidate_orders,passive_orders,candidate_turnover,passive_turnover,candidate_average_exposure,passive_average_exposure,candidate_blocked_attempts,passive_blocked_attempts,state_transitions,systemic_protection_signals,acute_damage_signals,funded_recovery_completions,minimum_exposure,final_exposure
chatgpt_original,0.5,4.7118381368599485,5.783832209789896,0.81465678220826376,0.31112086117081361,0.37608218466398968,0.064961323493176071,43,22,1.1827765940045107,0.89516643046113842,0.73550980758312345,0.94248490240663774,0,0,11,1,0,0,0,0.90596542319444295
common_five,0.5,14.699863344101585,19.027561764836872,0.77255633305929305,0.47883089953537206,0.52389470066915012,0.045063801133778059,15,5,1.7136962062196401,0.98814178338111769,0.88010239994996531,0.99665781524121355,0,0,17,1,0,0,0,0.9708665610459728
dumate_original,0.5,6.7352414551071842,8.5933316178786754,0.78377534518676306,0.31834197348678961,0.41778881912834964,0.099446845641560033,46,18,1.5575157986252737,0.98076724524668779,0.76897795593443319,0.98841077861597082,9,0,13,1,0,0,0,0.92072621339601668
remove_optical_leaders,0.5,2.5747540460670861,3.0475364255241244,0.84486407594759827,0.36600555827704351,0.45691302126687872,0.090907462989835208,57,30,1.0528047021200038,0.89350629870933129,0.71250454885527015,0.91864379321066902,23,6,4,1,0,0,0,0.85850614207167686
trae_original,0.5,5.0297516032839722,6.5952446401719929,0.76263306028823896,0.33750092481359573,0.41300817174346627,0.075507246929870542,60,25,1.3662571680347535,0.94866185012470583,0.7977055214637131,0.96759080952844023,34,0,6,1,0,0,0,0.93045807144511017
union_34,0.5,4.3369627284974124,5.3597431143899605,0.8091736182007373,0.33504390264262085,0.39879079738928846,0.063746894746667615,61,32,1.0738523398622721,0.88683408344639536,0.76395337942955122,0.93533130222781979,30,0,4,1,0,0,0,0.91645495121877929
workbuddy_original,0.5,4.9826846351635279,6.5872297678564582,0.75641579400758274,0.34034864010643662,0.41864834427969044,0.078299704173253826,65,26,1.4525739693912774,0.9835285732336313,0.81009322336997536,0.98464169183614703,37,0,6,1,0,0,0,0.94803827455810019
chatgpt_original,0.59999999999999998,4.9687301198960636,5.783832209789896,0.85907231393847061,0.32935794906529892,0.37608218466398968,0.046724235598690766,39,22,1.0407499467777364,0.89516643046113842,0.7661872228339921,0.94248490240663774,1,0,11,1,0,0,0,0.91930806618600014
common_five,0.59999999999999998,15.561805202849435,19.027561764836872,0.81785598150614391,0.48939051341974993,0.52389470066915012,0.034504187249400187,15,5,1.5569889995162569,0.98814178338111769,0.90482646591166116,0.99665781524121355,0,0,17,1,0,0,0,0.97760886830503968
dumate_original,0.59999999999999998,7.1661177229502995,8.5933316178786754,0.83391611561236434,0.34796389903445302,0.41778881912834964,0.069824920093896625,41,18,1.3552428457249215,0.98076724524668779,0.82902978555655293,0.98841077861597082,10,0,13,1,0,0,0,0.94325668311739352
